x1,y1,x2,y2
0.0,1.0,6.0,1.0
6.0,1.0,6.0,2.0
6.0,2.0,0.0,2.0
0.0,2.0,0.0,1.0
0.0,0.0,2.0,0.0
2.0,0.0,2.0,1.0
2.0,1.0,0.0,1.0
0.0,1.0,0.0,0.0
0.0,2.0,2.0,2.0
2.0,2.0,2.0,3.0
2.0,3.0,0.0,3.0
0.0,3.0,0.0,2.0
2.0,0.0,4.0,0.0
4.0,0.0,4.0,1.0
4.0,1.0,2.0,1.0
2.0,1.0,2.0,0.0
2.0,2.0,4.0,2.0
4.0,2.0,4.0,3.0
4.0,3.0,2.0,3.0
2.0,3.0,2.0,2.0
4.0,0.0,6.0,0.0
6.0,0.0,6.0,1.0
6.0,1.0,4.0,1.0
4.0,1.0,4.0,0.0
4.0,2.0,6.0,2.0
6.0,2.0,6.0,3.0
6.0,3.0,4.0,3.0
4.0,3.0,4.0,2.0
1.4693341,0.18679607,1.7193341,0.18679607
1.7193341,0.18679607,1.7193341,0.43679607
1.7193341,0.43679607,1.4693341,0.43679607
1.4693341,0.43679607,1.4693341,0.18679607
1.0023141,2.7156122,1.2523141,2.7156122
1.2523141,2.7156122,1.2523141,2.965612
1.2523141,2.965612,1.0023141,2.965612
1.0023141,2.965612,1.0023141,2.7156122
2.039937,0.08206839,2.2899368,0.08206839
2.2899368,0.08206839,2.2899368,0.33206838
2.2899368,0.33206838,2.039937,0.33206838
2.039937,0.33206838,2.039937,0.08206839
2.1399028,2.6992242,2.3899026,2.6992242
2.3899026,2.6992242,2.3899026,2.949224
2.3899026,2.949224,2.1399028,2.949224
2.1399028,2.949224,2.1399028,2.6992242
5.3228736,0.6950492,5.5728736,0.6950492
5.5728736,0.6950492,5.5728736,0.9450493
5.5728736,0.9450493,5.3228736,0.9450493
5.3228736,0.9450493,5.3228736,0.6950492
4.029056,2.0127606,4.279056,2.0127606
4.279056,2.0127606,4.279056,2.2627604
4.279056,2.2627604,4.029056,2.2627604
4.029056,2.2627604,4.029056,2.0127606
0.363257,-0.0660244,1.063257,-0.0660244
1.063257,-0.0660244,1.063257,0.4339756
1.063257,0.4339756,0.363257,0.4339756
0.363257,0.4339756,0.363257,-0.0660244
0.19934356,2.5832565,0.8993436,2.5832565
0.8993436,2.5832565,0.8993436,3.0832562
0.8993436,3.0832562,0.19934356,3.0832562
0.19934356,3.0832562,0.19934356,2.5832565
3.1918786,-0.058528017,3.8918784,-0.058528017
3.8918784,-0.058528017,3.8918784,0.441472
3.8918784,0.441472,3.1918786,0.441472
3.1918786,0.441472,3.1918786,-0.058528017
2.4647617,2.4741635,3.1647615,2.4741635
3.1647615,2.4741635,3.1647615,2.9741633
3.1647615,2.9741633,2.4647617,2.9741633
2.4647617,2.9741633,2.4647617,2.4741635
4.8657875,-0.08350767,5.5657873,-0.08350767
5.5657873,-0.08350767,5.5657873,0.41649234
5.5657873,0.41649234,4.8657875,0.41649234
4.8657875,0.41649234,4.8657875,-0.08350767
4.362941,2.4105384,5.0629406,2.4105384
5.0629406,2.4105384,5.0629406,2.9105382
5.0629406,2.9105382,4.362941,2.9105382
4.362941,2.9105382,4.362941,2.4105384
