x1,y1,x2,y2
0.0,0.0,6.0,0.0
6.0,0.0,6.0,3.0
6.0,3.0,0.0,3.0
0.0,3.0,0.0,0.0
0.0,0.95,0.8,0.95
0.8,0.95,0.8,1.05
0.8,1.05,0.0,1.05
0.0,1.05,0.0,0.95
1.2,0.95,2.0,0.95
2.0,0.95,2.0,1.05
2.0,1.05,1.2,1.05
1.2,1.05,1.2,0.95
0.0,1.95,0.8,1.95
0.8,1.95,0.8,2.05
0.8,2.05,0.0,2.05
0.0,2.05,0.0,1.95
1.2,1.95,2.0,1.95
2.0,1.95,2.0,2.05
2.0,2.05,1.2,2.05
1.2,2.05,1.2,1.95
2.0,0.95,2.8,0.95
2.8,0.95,2.8,1.05
2.8,1.05,2.0,1.05
2.0,1.05,2.0,0.95
3.2,0.95,4.0,0.95
4.0,0.95,4.0,1.05
4.0,1.05,3.2,1.05
3.2,1.05,3.2,0.95
2.0,1.95,2.8,1.95
2.8,1.95,2.8,2.05
2.8,2.05,2.0,2.05
2.0,2.05,2.0,1.95
3.2,1.95,4.0,1.95
4.0,1.95,4.0,2.05
4.0,2.05,3.2,2.05
3.2,2.05,3.2,1.95
4.0,0.95,4.8,0.95
4.8,0.95,4.8,1.05
4.8,1.05,4.0,1.05
4.0,1.05,4.0,0.95
5.2,0.95,6.0,0.95
6.0,0.95,6.0,1.05
6.0,1.05,5.2,1.05
5.2,1.05,5.2,0.95
4.0,1.95,4.8,1.95
4.8,1.95,4.8,2.05
4.8,2.05,4.0,2.05
4.0,2.05,4.0,1.95
5.2,1.95,6.0,1.95
6.0,1.95,6.0,2.05
6.0,2.05,5.2,2.05
5.2,2.05,5.2,1.95
1.95,0.0,2.05,0.0
2.05,0.0,2.05,0.95
2.05,0.95,1.95,0.95
1.95,0.95,1.95,0.0
1.95,2.05,2.05,2.05
2.05,2.05,2.05,3.0
2.05,3.0,1.95,3.0
1.95,3.0,1.95,2.05
3.95,0.0,4.05,0.0
4.05,0.0,4.05,0.95
4.05,0.95,3.95,0.95
3.95,0.95,3.95,0.0
3.95,2.05,4.05,2.05
4.05,2.05,4.05,3.0
4.05,3.0,3.95,3.0
3.95,3.0,3.95,2.05
0.46325698,0.0339756,0.96325696,0.0339756
0.96325696,0.0339756,0.96325696,0.3339756
0.96325696,0.3339756,0.46325698,0.3339756
0.46325698,0.3339756,0.46325698,0.0339756
0.29934356,2.6832564,0.7993436,2.6832564
0.7993436,2.6832564,0.7993436,2.9832563
0.7993436,2.9832563,0.29934356,2.9832563
0.29934356,2.9832563,0.29934356,2.6832564
3.2918785,0.041471984,3.7918785,0.041471984
3.7918785,0.041471984,3.7918785,0.341472
3.7918785,0.341472,3.2918785,0.341472
3.2918785,0.341472,3.2918785,0.041471984
2.5647616,2.5741634,3.0647616,2.5741634
3.0647616,2.5741634,3.0647616,2.8741634
3.0647616,2.8741634,2.5647616,2.8741634
2.5647616,2.8741634,2.5647616,2.5741634
4.9657874,0.016492333,5.4657874,0.016492333
5.4657874,0.016492333,5.4657874,0.31649235
5.4657874,0.31649235,4.9657874,0.31649235
4.9657874,0.31649235,4.9657874,0.016492333
4.4629407,2.5105383,4.9629407,2.5105383
4.9629407,2.5105383,4.9629407,2.8105383
4.9629407,2.8105383,4.4629407,2.8105383
4.4629407,2.8105383,4.4629407,2.5105383
