iterations,sampled,rrgsize,movement,remaining,total,time,

25,13563,1251,61.350006,25.795486,87.14549,7200.986369,

3,1838,151,54.89999,27.464582,82.36457,3642.263237,

5,2898,251,69.75,26.733982,96.48398,3711.97782,

4,2695,201,56.1,26.847254,82.94725,3895.206149,

19,11901,951,57.349995,23.355305,80.7053,6477.553909,

7,4564,351,67.74999,25.968319,93.71831,4185.465347,

8,5208,401,68.14998,27.844023,95.994,4541.888108,

3,1645,151,50.649994,24.5547,75.2047,3452.86929,

20,11529,1001,58.99999,25.180586,84.18057,5409.642799,

4,2343,201,57.5,24.499765,81.99976,3736.366323,

3,2007,151,59.90001,27.614965,87.51498,3443.611457,

4,2857,201,61.85,27.081953,88.93195,3995.263459,

6,3665,301,63.399998,28.45793,91.857925,4199.798532,

4,2292,201,60.949986,21.91919,82.86917,3575.709071,

7,4625,351,62.1,30.569614,92.66962,3886.690654,

7,4617,351,59.75,24.05517,83.80517,4037.736746,

9,5318,451,62.500008,30.22423,92.724236,4018.570169,

4,2549,201,65.35,27.94736,93.297356,3890.226134,

3,2052,151,63.000004,28.346113,91.346115,3997.781397,

7,4233,351,64.5,26.048088,90.54809,4230.439592,

3,1907,151,56.499992,25.871119,82.37111,3578.978499,

4,2373,201,58.099995,24.736176,82.83617,3605.314909,

4,2736,201,63.14999,27.463095,90.61308,4204.366142,

3,1703,151,66.049995,24.347107,90.3971,3601.50857,

13,7450,651,65.899994,24.29,90.189995,4710.18408,

10,6881,501,55.949997,25.002796,80.95279,4421.507726,

5,2756,251,56.69999,26.651653,83.35164,4265.612783,

3,1741,151,46.949997,26.887396,73.837395,3327.539014,

5,3706,251,69.149994,24.1353,93.28529,3976.958338,

18,10729,901,53.750004,24.625746,78.37575,5500.355712,

2,1336,101,62.04999,29.353981,91.40398,3498.193304,

21,11970,1051,67.64999,27.117765,94.76775,6188.147404,

12,7746,601,67.0,24.628271,91.62827,5040.055373,

6,4415,301,57.049995,28.396147,85.446144,3349.567342,

2,1211,101,63.65001,25.935577,89.58559,3605.358006,

3,2081,151,70.65001,27.745243,98.39525,3851.273626,

3,1969,151,58.949993,27.437227,86.38722,4054.40032,

7,4429,351,62.34999,26.841818,89.19181,3996.107189,

10,6781,501,52.85,24.267277,77.11728,4766.807721,

11,6740,551,51.599987,24.81188,76.411865,4470.97956,

11,7679,551,73.05,25.947454,98.99746,5266.669989,

5,3142,251,64.90001,27.87874,92.77875,4109.379247,

6,3944,301,58.04999,24.279057,82.32905,4407.849982,

23,13891,1151,62.649998,26.544447,89.19444,6840.513593,

5,3806,251,62.20001,25.57515,87.77516,3999.921285,

3,1647,151,59.14999,23.969797,83.11979,4004.156645,

3,1876,151,62.099995,30.31392,92.41391,3589.897108,

12,7994,601,60.449997,26.67682,87.126816,4593.80293,

11,6729,551,68.25,27.735573,95.98557,5203.995364,

3,1773,151,64.74999,25.930367,90.68036,3688.609251,

5,2968,251,55.6,27.162813,82.76281,3603.322961,

3,1771,151,53.800003,25.02371,78.823715,3605.49297,

10,6097,501,54.749992,26.48562,81.23561,4234.844795,

3,1810,151,59.600002,25.263569,84.86357,3657.472494,

10,6189,501,66.55002,23.726234,90.27625,4262.117708,

3,1915,151,58.45,28.13345,86.58345,3686.248917,

5,2996,251,61.80001,25.901056,87.701065,3874.984876,

5,3262,251,62.29999,28.120874,90.42087,4189.073258,

4,2821,201,62.94999,24.220488,87.17048,3682.163952,

4,2386,201,62.949997,30.773014,93.72301,3780.008194,

3,1983,151,61.24999,26.90104,88.15103,3922.065562,

3,2127,151,68.100006,27.214033,95.31404,3661.21259,

8,4603,401,59.75,25.33193,85.08193,4474.392029,

9,5615,451,64.15,25.437908,89.587906,4800.39217,

