x1,y1,x2,y2
0.0,1.0,6.0,1.0
6.0,1.0,6.0,2.0
6.0,2.0,0.0,2.0
0.0,2.0,0.0,1.0
0.0,0.0,2.0,0.0
2.0,0.0,2.0,1.0
2.0,1.0,0.0,1.0
0.0,1.0,0.0,0.0
0.0,2.0,2.0,2.0
2.0,2.0,2.0,3.0
2.0,3.0,0.0,3.0
0.0,3.0,0.0,2.0
2.0,0.0,4.0,0.0
4.0,0.0,4.0,1.0
4.0,1.0,2.0,1.0
2.0,1.0,2.0,0.0
2.0,2.0,4.0,2.0
4.0,2.0,4.0,3.0
4.0,3.0,2.0,3.0
2.0,3.0,2.0,2.0
4.0,0.0,6.0,0.0
6.0,0.0,6.0,1.0
6.0,1.0,4.0,1.0
4.0,1.0,4.0,0.0
4.0,2.0,6.0,2.0
6.0,2.0,6.0,3.0
6.0,3.0,4.0,3.0
4.0,3.0,4.0,2.0
0.5472928,0.6385859,0.7972929,0.6385859
0.7972929,0.6385859,0.7972929,0.888586
0.7972929,0.888586,0.5472928,0.888586
0.5472928,0.888586,0.5472928,0.6385859
1.6605561,2.1911383,1.9105561,2.1911383
1.9105561,2.1911383,1.9105561,2.441138
1.9105561,2.441138,1.6605561,2.441138
1.6605561,2.441138,1.6605561,2.1911383
2.728576,-0.09865643,2.9785757,-0.09865643
2.9785757,-0.09865643,2.9785757,0.15134357
2.9785757,0.15134357,2.728576,0.15134357
2.728576,0.15134357,2.728576,-0.09865643
2.5616689,2.0108306,2.8116686,2.0108306
2.8116686,2.0108306,2.8116686,2.2608304
2.8116686,2.2608304,2.5616689,2.2608304
2.5616689,2.2608304,2.5616689,2.0108306
5.202901,0.42365882,5.452901,0.42365882
5.452901,0.42365882,5.452901,0.67365885
5.452901,0.67365885,5.202901,0.67365885
5.202901,0.67365885,5.202901,0.42365882
4.0941844,2.6034846,4.3441844,2.6034846
4.3441844,2.6034846,4.3441844,2.8534844
4.3441844,2.8534844,4.0941844,2.8534844
4.0941844,2.8534844,4.0941844,2.6034846
0.40519187,0.096630685,1.1051918,0.096630685
1.1051918,0.096630685,1.1051918,0.5966307
1.1051918,0.5966307,0.40519187,0.5966307
0.40519187,0.5966307,0.40519187,0.096630685
-0.050730906,2.435064,0.6492691,2.435064
0.6492691,2.435064,0.6492691,2.9350638
0.6492691,2.9350638,-0.050730906,2.9350638
-0.050730906,2.9350638,-0.050730906,2.435064
3.120411,-0.015665717,3.8204107,-0.015665717
3.8204107,-0.015665717,3.8204107,0.4843343
3.8204107,0.4843343,3.120411,0.4843343
3.120411,0.4843343,3.120411,-0.015665717
2.5138295,2.593641,3.2138293,2.593641
3.2138293,2.593641,3.2138293,3.0936408
3.2138293,3.0936408,2.5138295,3.0936408
2.5138295,3.0936408,2.5138295,2.593641
5.2098975,-0.016471356,5.9098973,-0.016471356
5.9098973,-0.016471356,5.9098973,0.48352864
5.9098973,0.48352864,5.2098975,0.48352864
5.2098975,0.48352864,5.2098975,-0.016471356
4.6497793,2.4710789,5.349779,2.4710789
5.349779,2.4710789,5.349779,2.9710786
5.349779,2.9710786,4.6497793,2.9710786
4.6497793,2.9710786,4.6497793,2.4710789
