x1,y1,x2,y2
0.0,0.0,6.0,0.0
6.0,0.0,6.0,3.0
6.0,3.0,0.0,3.0
0.0,3.0,0.0,0.0
0.0,0.95,0.8,0.95
0.8,0.95,0.8,1.05
0.8,1.05,0.0,1.05
0.0,1.05,0.0,0.95
1.2,0.95,2.0,0.95
2.0,0.95,2.0,1.05
2.0,1.05,1.2,1.05
1.2,1.05,1.2,0.95
0.0,1.95,0.8,1.95
0.8,1.95,0.8,2.05
0.8,2.05,0.0,2.05
0.0,2.05,0.0,1.95
1.2,1.95,2.0,1.95
2.0,1.95,2.0,2.05
2.0,2.05,1.2,2.05
1.2,2.05,1.2,1.95
2.0,0.95,2.8,0.95
2.8,0.95,2.8,1.05
2.8,1.05,2.0,1.05
2.0,1.05,2.0,0.95
3.2,0.95,4.0,0.95
4.0,0.95,4.0,1.05
4.0,1.05,3.2,1.05
3.2,1.05,3.2,0.95
2.0,1.95,2.8,1.95
2.8,1.95,2.8,2.05
2.8,2.05,2.0,2.05
2.0,2.05,2.0,1.95
3.2,1.95,4.0,1.95
4.0,1.95,4.0,2.05
4.0,2.05,3.2,2.05
3.2,2.05,3.2,1.95
4.0,0.95,4.8,0.95
4.8,0.95,4.8,1.05
4.8,1.05,4.0,1.05
4.0,1.05,4.0,0.95
5.2,0.95,6.0,0.95
6.0,0.95,6.0,1.05
6.0,1.05,5.2,1.05
5.2,1.05,5.2,0.95
4.0,1.95,4.8,1.95
4.8,1.95,4.8,2.05
4.8,2.05,4.0,2.05
4.0,2.05,4.0,1.95
5.2,1.95,6.0,1.95
6.0,1.95,6.0,2.05
6.0,2.05,5.2,2.05
5.2,2.05,5.2,1.95
1.95,0.0,2.05,0.0
2.05,0.0,2.05,0.95
2.05,0.95,1.95,0.95
1.95,0.95,1.95,0.0
1.95,2.05,2.05,2.05
2.05,2.05,2.05,3.0
2.05,3.0,1.95,3.0
1.95,3.0,1.95,2.05
3.95,0.0,4.05,0.0
4.05,0.0,4.05,0.95
4.05,0.95,3.95,0.95
3.95,0.95,3.95,0.0
3.95,2.05,4.05,2.05
4.05,2.05,4.05,3.0
4.05,3.0,3.95,3.0
3.95,3.0,3.95,2.05
0.50519186,0.19663069,1.0051918,0.19663069
1.0051918,0.19663069,1.0051918,0.4966307
1.0051918,0.4966307,0.50519186,0.4966307
0.50519186,0.4966307,0.50519186,0.19663069
0.049269095,2.535064,0.5492691,2.535064
0.5492691,2.535064,0.5492691,2.835064
0.5492691,2.835064,0.049269095,2.835064
0.049269095,2.835064,0.049269095,2.535064
3.2204108,0.084334284,3.7204108,0.084334284
3.7204108,0.084334284,3.7204108,0.3843343
3.7204108,0.3843343,3.2204108,0.3843343
3.2204108,0.3843343,3.2204108,0.084334284
2.6138294,2.693641,3.1138294,2.693641
3.1138294,2.693641,3.1138294,2.993641
3.1138294,2.993641,2.6138294,2.993641
2.6138294,2.993641,2.6138294,2.693641
5.3098974,0.083528645,5.8098974,0.083528645
5.8098974,0.083528645,5.8098974,0.38352865
5.8098974,0.38352865,5.3098974,0.38352865
5.3098974,0.38352865,5.3098974,0.083528645
4.749779,2.5710788,5.249779,2.5710788
5.249779,2.5710788,5.249779,2.8710787
5.249779,2.8710787,4.749779,2.8710787
4.749779,2.8710787,4.749779,2.5710788
