iterations,sampled,rrgsize,movement,remaining,total,time,

10,671,501,63.45,27.257906,90.70791,4670.637964,

55,3164,2751,62.649998,22.341797,84.99179,12548.853856,

8,502,401,64.450005,25.502542,89.952545,3872.163778,

25,1497,1251,62.900017,28.298706,91.19872,6187.945302,

7,467,351,55.2,24.897284,80.09728,4019.957516,

12,768,601,64.7,25.941195,90.64119,4852.197857,

16,1008,801,64.39999,26.844385,91.24437,5292.687625,

14,857,701,61.550003,25.15971,86.70972,4277.596012,

20,1222,1001,71.40001,26.304543,97.70455,5404.836051,

11,732,551,69.250015,25.35943,94.60944,4847.574972,

9,673,451,63.399998,27.967594,91.36759,4482.538448,

45,2585,2251,58.899998,26.544136,85.44414,10136.883788,

12,763,601,69.049995,24.752579,93.802574,4427.369424,

23,1406,1151,49.749985,24.15592,73.90591,5847.563737,

12,756,601,58.249992,22.735462,80.98546,4831.483864,

23,1579,1151,58.299995,25.817474,84.11747,5714.301599,

16,1094,801,67.799995,22.206432,90.006424,5013.13546,

25,1795,1251,56.94999,23.64144,80.59143,5976.25669,

13,863,651,57.699997,22.946257,80.646255,4645.756305,

43,2553,2151,55.89999,27.253233,83.15322,10295.577137,

18,1164,901,68.45001,22.624386,91.0744,5504.264281,

13,827,651,59.749996,24.617079,84.36707,4902.409389,

22,1403,1101,67.04999,26.334492,93.384476,5642.37271,

20,1274,1001,65.25,27.154839,92.40484,5882.528663,

15,937,751,64.85,24.401232,89.25123,4932.402762,

39,2277,1951,54.75,24.751879,79.50188,8620.492161,

16,984,801,56.94999,24.459206,81.409195,4653.817981,

45,2580,2251,72.84999,27.045942,99.895935,10075.397746,

24,1413,1201,58.249992,23.927393,82.17738,5719.763063,

21,1348,1051,58.049995,25.984436,84.03443,6273.036256,

21,1359,1051,70.200005,25.662003,95.86201,5506.079019,

24,1436,1201,57.899994,21.45732,79.357315,6529.852178,

23,1428,1151,67.100006,24.515984,91.61599,6071.630436,

20,1331,1001,56.750015,26.791098,83.541115,5776.302413,

6,422,301,61.29998,24.978952,86.27893,3865.639186,

30,1945,1501,52.999992,21.732222,74.732216,7016.910214,

32,2074,1601,63.750008,24.05393,87.80394,7004.941648,

16,1007,801,58.19999,23.16664,81.36663,5215.826722,

15,963,751,61.800003,30.202965,92.00297,4366.04055,

8,518,401,63.450005,21.59342,85.04343,4167.751251,

6,407,301,54.2,24.014708,78.21471,3927.606214,

