x1,y1,x2,y2
0.0,1.0,6.0,1.0
6.0,1.0,6.0,2.0
6.0,2.0,0.0,2.0
0.0,2.0,0.0,1.0
0.0,0.0,2.0,0.0
2.0,0.0,2.0,1.0
2.0,1.0,0.0,1.0
0.0,1.0,0.0,0.0
0.0,2.0,2.0,2.0
2.0,2.0,2.0,3.0
2.0,3.0,0.0,3.0
0.0,3.0,0.0,2.0
2.0,0.0,4.0,0.0
4.0,0.0,4.0,1.0
4.0,1.0,2.0,1.0
2.0,1.0,2.0,0.0
2.0,2.0,4.0,2.0
4.0,2.0,4.0,3.0
4.0,3.0,2.0,3.0
2.0,3.0,2.0,2.0
4.0,0.0,6.0,0.0
6.0,0.0,6.0,1.0
6.0,1.0,4.0,1.0
4.0,1.0,4.0,0.0
4.0,2.0,6.0,2.0
6.0,2.0,6.0,3.0
6.0,3.0,4.0,3.0
4.0,3.0,4.0,2.0
1.6378708,0.20995924,1.8878708,0.20995924
1.8878708,0.20995924,1.8878708,0.45995924
1.8878708,0.45995924,1.6378708,0.45995924
1.6378708,0.45995924,1.6378708,0.20995924
1.3103722,2.1815572,1.5603722,2.1815572
1.5603722,2.1815572,1.5603722,2.431557
1.5603722,2.431557,1.3103722,2.431557
1.3103722,2.431557,1.3103722,2.1815572
2.3296993,0.15779841,2.579699,0.15779841
2.579699,0.15779841,2.579699,0.4077984
2.579699,0.4077984,2.3296993,0.4077984
2.3296993,0.4077984,2.3296993,0.15779841
3.037929,2.7517915,3.2879288,2.7517915
3.2879288,2.7517915,3.2879288,3.0017912
3.2879288,3.0017912,3.037929,3.0017912
3.037929,3.0017912,3.037929,2.7517915
5.464763,0.7879554,5.714763,0.7879554
5.714763,0.7879554,5.714763,1.0379554
5.714763,1.0379554,5.464763,1.0379554
5.464763,1.0379554,5.464763,0.7879554
4.9615297,2.0145414,5.2115297,2.0145414
5.2115297,2.0145414,5.2115297,2.2645411
5.2115297,2.2645411,4.9615297,2.2645411
4.9615297,2.2645411,4.9615297,2.0145414
0.13356286,-0.099818684,0.8335629,-0.099818684
0.8335629,-0.099818684,0.8335629,0.40018132
0.8335629,0.40018132,0.13356286,0.40018132
0.13356286,0.40018132,0.13356286,-0.099818684
0.7358973,2.4889112,1.4358974,2.4889112
1.4358974,2.4889112,1.4358974,2.988911
1.4358974,2.988911,0.7358973,2.988911
0.7358973,2.988911,0.7358973,2.4889112
2.604424,-0.05198191,3.3044238,-0.05198191
3.3044238,-0.05198191,3.3044238,0.4480181
3.3044238,0.4480181,2.604424,0.4480181
2.604424,0.4480181,2.604424,-0.05198191
2.4712873,2.5533712,3.171287,2.5533712
3.171287,2.5533712,3.171287,3.053371
3.171287,3.053371,2.4712873,3.053371
2.4712873,3.053371,2.4712873,2.5533712
4.6821747,-0.061081182,5.3821745,-0.061081182
5.3821745,-0.061081182,5.3821745,0.43891883
5.3821745,0.43891883,4.6821747,0.43891883
4.6821747,0.43891883,4.6821747,-0.061081182
5.047465,2.5017478,5.7474647,2.5017478
5.7474647,2.5017478,5.7474647,3.0017476
5.7474647,3.0017476,5.047465,3.0017476
5.047465,3.0017476,5.047465,2.5017478
