x1,y1,x2,y2
0.0,0.0,6.0,0.0
6.0,0.0,6.0,3.0
6.0,3.0,0.0,3.0
0.0,3.0,0.0,0.0
0.0,0.95,0.8,0.95
0.8,0.95,0.8,1.05
0.8,1.05,0.0,1.05
0.0,1.05,0.0,0.95
1.2,0.95,2.0,0.95
2.0,0.95,2.0,1.05
2.0,1.05,1.2,1.05
1.2,1.05,1.2,0.95
0.0,1.95,0.8,1.95
0.8,1.95,0.8,2.05
0.8,2.05,0.0,2.05
0.0,2.05,0.0,1.95
1.2,1.95,2.0,1.95
2.0,1.95,2.0,2.05
2.0,2.05,1.2,2.05
1.2,2.05,1.2,1.95
2.0,0.95,2.8,0.95
2.8,0.95,2.8,1.05
2.8,1.05,2.0,1.05
2.0,1.05,2.0,0.95
3.2,0.95,4.0,0.95
4.0,0.95,4.0,1.05
4.0,1.05,3.2,1.05
3.2,1.05,3.2,0.95
2.0,1.95,2.8,1.95
2.8,1.95,2.8,2.05
2.8,2.05,2.0,2.05
2.0,2.05,2.0,1.95
3.2,1.95,4.0,1.95
4.0,1.95,4.0,2.05
4.0,2.05,3.2,2.05
3.2,2.05,3.2,1.95
4.0,0.95,4.8,0.95
4.8,0.95,4.8,1.05
4.8,1.05,4.0,1.05
4.0,1.05,4.0,0.95
5.2,0.95,6.0,0.95
6.0,0.95,6.0,1.05
6.0,1.05,5.2,1.05
5.2,1.05,5.2,0.95
4.0,1.95,4.8,1.95
4.8,1.95,4.8,2.05
4.8,2.05,4.0,2.05
4.0,2.05,4.0,1.95
5.2,1.95,6.0,1.95
6.0,1.95,6.0,2.05
6.0,2.05,5.2,2.05
5.2,2.05,5.2,1.95
1.95,0.0,2.05,0.0
2.05,0.0,2.05,0.95
2.05,0.95,1.95,0.95
1.95,0.95,1.95,0.0
1.95,2.05,2.05,2.05
2.05,2.05,2.05,3.0
2.05,3.0,1.95,3.0
1.95,3.0,1.95,2.05
3.95,0.0,4.05,0.0
4.05,0.0,4.05,0.95
4.05,0.95,3.95,0.95
3.95,0.95,3.95,0.0
3.95,2.05,4.05,2.05
4.05,2.05,4.05,3.0
4.05,3.0,3.95,3.0
3.95,3.0,3.95,2.05
0.23356287,1.8132076E-4,0.7335629,1.8132076E-4
0.7335629,1.8132076E-4,0.7335629,0.30018133
0.7335629,0.30018133,0.23356287,0.30018133
0.23356287,0.30018133,0.23356287,1.8132076E-4
0.8358973,2.588911,1.3358973,2.588911
1.3358973,2.588911,1.3358973,2.888911
1.3358973,2.888911,0.8358973,2.888911
0.8358973,2.888911,0.8358973,2.588911
2.704424,0.04801809,3.204424,0.04801809
3.204424,0.04801809,3.204424,0.3480181
3.204424,0.3480181,2.704424,0.3480181
2.704424,0.3480181,2.704424,0.04801809
2.5712872,2.653371,3.0712872,2.653371
3.0712872,2.653371,3.0712872,2.953371
3.0712872,2.953371,2.5712872,2.953371
2.5712872,2.953371,2.5712872,2.653371
4.7821746,0.03891882,5.2821746,0.03891882
5.2821746,0.03891882,5.2821746,0.33891883
5.2821746,0.33891883,4.7821746,0.33891883
4.7821746,0.33891883,4.7821746,0.03891882
5.1474648,2.6017478,5.6474648,2.6017478
5.6474648,2.6017478,5.6474648,2.9017477
5.6474648,2.9017477,5.1474648,2.9017477
5.1474648,2.9017477,5.1474648,2.6017478
