iterations,sampled,rrgsize,movement,remaining,total,time,

46,24949,2301,25.026636,0.0,25.026636,11914.859627,

67,37897,3352,26.392855,1.422091,27.814945,26656.819842,

77,42928,3851,28.62992,0.5598001,29.189718,36362.401126,

30,15936,1501,21.362032,4.1030087,25.46504,6734.837237,

209,111932,10451,31.452442,0.0,31.452442,257307.12711,

47,25081,2351,30.824749,0.3598139,31.184563,13301.322566,

45,25377,2251,26.43289,0.0,26.43289,11058.527525,

50,26932,2501,38.168976,0.0,38.168976,14818.648041,

91,50990,4551,21.85741,1.3293931,23.186804,41220.564417,

54,29167,2701,29.330896,1.549339,30.880236,16576.924936,

52,28795,2601,28.054604,0.0,28.054604,12661.322308,

77,43710,3851,28.43474,1.5116812,29.94642,23701.331181,

52,28473,2601,23.016996,0.21998869,23.236984,19853.260899,

49,26069,2451,28.172365,0.0,28.172365,13200.370275,

34,18250,1702,23.261168,4.1793876,27.440556,7284.199471,

56,30045,2801,49.691998,4.814757,54.506756,19615.892363,

84,43674,4202,46.56702,6.300578,52.8676,36162.441031,

56,30573,2801,38.056362,5.749459,43.80582,16655.311045,

45,26538,2251,22.641203,1.3912827,24.032486,14970.029745,

40,21912,2002,21.019827,3.9281127,24.947939,11795.845807,

53,29439,2651,27.462555,5.050628,32.513184,17465.199528,

48,25683,2401,32.417015,1.2962977,33.713314,13453.376663,

307,160587,15351,34.108658,1.952155,36.060814,633986.550146,

49,26746,2451,24.65931,3.0737815,27.733091,15451.173874,

44,23179,2201,31.713955,4.222177,35.93613,10375.572754,

31,17404,1551,23.051497,0.0,23.051497,7125.333617,

69,37943,3453,43.303204,3.1345756,46.43778,16808.490196,

79,42375,3951,24.920795,5.2766166,30.197412,35250.634204,

48,25738,2402,28.01459,0.57621133,28.590801,10239.647054,

43,23004,2151,25.447193,1.6305144,27.077707,12524.829986,

113,59439,5651,37.37299,1.3599082,38.7329,82649.705552,

45,23967,2251,23.57234,0.0,23.57234,13750.249322,

117,61916,5851,25.64463,0.6221955,26.266827,61874.759682,

30,16479,1501,22.923584,0.0,22.923584,11970.023156,

58,30956,2901,32.991325,0.33813062,33.329456,13976.587591,

75,45469,3751,23.756657,0.71827024,24.474926,35727.52696,

48,27712,2401,28.337822,0.0,28.337822,15777.370417,

60,32649,3001,25.193077,0.0,25.193077,25975.038211,

46,24531,2301,23.251204,0.6257725,23.876976,14743.940211,

103,54605,5152,34.81533,1.2886584,36.10399,72207.433784,

76,41091,3801,45.39599,5.1540947,50.550083,29171.56973,

83,44694,4151,32.081905,1.0999357,33.181843,36604.108791,

90,48200,4501,32.583702,1.5239652,34.107666,36398.773631,

80,42588,4001,30.88666,0.0,30.88666,34983.781144,

50,26264,2501,25.44434,0.55391407,25.998253,12330.97761,

58,32619,2901,26.029202,0.31048205,26.339684,16157.467264,

60,32691,3001,23.445461,0.0,23.445461,19258.304809,

90,48327,4502,28.638336,1.9116423,30.549978,37364.749795,

112,61884,5601,36.472897,2.5134313,38.98633,48897.813615,

38,20684,1901,23.577168,0.35405076,23.93122,8601.613769,

36,19750,1801,25.918673,5.6640334,31.582706,9877.514153,

43,22702,2152,22.745806,0.0,22.745806,13583.130938,

50,27961,2501,25.525858,3.6541843,29.180042,14228.024033,

50,26877,2501,30.80355,0.0,30.80355,13297.061434,

59,32713,2951,20.482107,0.2271529,20.70926,21812.182466,

129,68121,6451,30.387316,0.0,30.387316,92557.691081,

79,42365,3951,43.15663,0.0,43.15663,31496.931541,

50,26584,2501,33.726646,0.22090283,33.947548,13630.491115,

47,25718,2351,24.695715,0.0,24.695715,11970.024427,

41,22316,2051,26.149857,3.793748,29.943604,10277.141968,

50,27278,2501,28.146942,1.1350574,29.282,10078.99529,

39,21304,1952,29.175245,0.0,29.175245,10034.238806,

53,29425,2651,26.324696,0.21036501,26.53506,13399.887509,

