x1,y1,x2,y2
0.0,1.0,6.0,1.0
6.0,1.0,6.0,2.0
6.0,2.0,0.0,2.0
0.0,2.0,0.0,1.0
0.0,0.0,2.0,0.0
2.0,0.0,2.0,1.0
2.0,1.0,0.0,1.0
0.0,1.0,0.0,0.0
0.0,2.0,2.0,2.0
2.0,2.0,2.0,3.0
2.0,3.0,0.0,3.0
0.0,3.0,0.0,2.0
2.0,0.0,4.0,0.0
4.0,0.0,4.0,1.0
4.0,1.0,2.0,1.0
2.0,1.0,2.0,0.0
2.0,2.0,4.0,2.0
4.0,2.0,4.0,3.0
4.0,3.0,2.0,3.0
2.0,3.0,2.0,2.0
4.0,0.0,6.0,0.0
6.0,0.0,6.0,1.0
6.0,1.0,4.0,1.0
4.0,1.0,4.0,0.0
4.0,2.0,6.0,2.0
6.0,2.0,6.0,3.0
6.0,3.0,4.0,3.0
4.0,3.0,4.0,2.0
0.14347845,0.62783295,0.39347845,0.62783295
0.39347845,0.62783295,0.39347845,0.877833
0.39347845,0.877833,0.14347845,0.877833
0.14347845,0.877833,0.14347845,0.62783295
0.39765626,2.382607,0.64765626,2.382607
0.64765626,2.382607,0.64765626,2.6326067
0.64765626,2.6326067,0.39765626,2.6326067
0.39765626,2.6326067,0.39765626,2.382607
2.3935006,0.6849479,2.6435003,0.6849479
2.6435003,0.6849479,2.6435003,0.93494797
2.6435003,0.93494797,2.3935006,0.93494797
2.3935006,0.93494797,2.3935006,0.6849479
2.313266,2.1204493,2.5632658,2.1204493
2.5632658,2.1204493,2.5632658,2.370449
2.5632658,2.370449,2.313266,2.370449
2.313266,2.370449,2.313266,2.1204493
5.3973236,0.5397642,5.6473236,0.5397642
5.6473236,0.5397642,5.6473236,0.7897643
5.6473236,0.7897643,5.3973236,0.7897643
5.3973236,0.7897643,5.3973236,0.5397642
5.084895,2.4699187,5.334895,2.4699187
5.334895,2.4699187,5.334895,2.7199185
5.334895,2.7199185,5.084895,2.7199185
5.084895,2.7199185,5.084895,2.4699187
0.19924009,-0.0020832494,0.89924014,-0.0020832494
0.89924014,-0.0020832494,0.89924014,0.49791676
0.89924014,0.49791676,0.19924009,0.49791676
0.19924009,0.49791676,0.19924009,-0.0020832494
0.916746,2.594247,1.6167461,2.594247
1.6167461,2.594247,1.6167461,3.0942469
1.6167461,3.0942469,0.916746,3.0942469
0.916746,3.0942469,0.916746,2.594247
2.0682812,0.089798905,2.768281,0.089798905
2.768281,0.089798905,2.768281,0.5897989
2.768281,0.5897989,2.0682812,0.5897989
2.0682812,0.5897989,2.0682812,0.089798905
1.9619123,2.5906637,2.6619122,2.5906637
2.6619122,2.5906637,2.6619122,3.0906634
2.6619122,3.0906634,1.9619123,3.0906634
1.9619123,3.0906634,1.9619123,2.5906637
4.387508,-0.045887906,5.0875077,-0.045887906
5.0875077,-0.045887906,5.0875077,0.4541121
5.0875077,0.4541121,4.387508,0.4541121
4.387508,0.4541121,4.387508,-0.045887906
3.9799228,2.5815022,4.6799226,2.5815022
4.6799226,2.5815022,4.6799226,3.081502
4.6799226,3.081502,3.9799228,3.081502
3.9799228,3.081502,3.9799228,2.5815022
