iterations,sampled,rrgsize,movement,remaining,total,time,

77,4247,3851,27.356762,9.861072,37.217834,36004.964545,

52,2862,2601,24.31701,16.478283,40.795296,27083.475122,

78,4323,3901,25.89656,11.69163,37.588192,37287.635059,

84,4604,4201,32.803318,20.79418,53.597496,35106.229334,

98,5227,4901,54.68454,23.650757,78.3353,43276.636418,

237,13239,11851,44.118576,5.13231,49.250885,433041.015269,

110,5958,5501,46.39714,20.46184,66.85898,48268.902441,

66,3487,3301,22.38327,20.829649,43.21292,28865.838774,

110,5988,5501,24.919695,16.911497,41.831192,75723.577107,

101,5572,5051,40.49815,17.515074,58.01322,52820.392885,

98,5581,4901,26.416437,9.926128,36.342567,53049.111789,

38,2111,1901,19.016281,14.1496105,33.165894,8459.774532,

35,1979,1751,21.066067,25.239635,46.305702,6753.353032,

124,6905,6201,33.564266,17.540852,51.105118,77462.224324,

45,2475,2251,30.829927,15.746235,46.576164,12126.407431,

341,18257,17051,28.817816,17.026941,45.844757,548422.55533,

46,2539,2301,24.254057,14.090121,38.344177,15025.915402,

30,1625,1501,26.201942,20.502016,46.703957,6150.39568,

40,2170,2001,24.181538,23.31991,47.50145,9320.838551,

99,5532,4951,31.034153,14.965813,45.999966,52191.375578,

65,3522,3251,26.287846,26.55043,52.838276,23465.230842,

57,3182,2851,39.348465,19.472605,58.821068,13122.458472,

59,3303,2951,26.01655,9.570347,35.5869,16537.079858,

63,3432,3151,26.479296,16.924023,43.40332,19630.588926,

67,3710,3351,38.328915,12.001984,50.3309,30915.89267,

56,3144,2801,27.212671,10.870477,38.08315,18748.273952,

64,3516,3201,23.66742,11.457765,35.125183,18500.306232,

97,5130,4851,25.784142,14.219441,40.003582,54210.626634,

72,3944,3601,28.439419,26.817394,55.256813,25187.286103,

45,2445,2251,27.488306,18.267618,45.755924,11074.460035,

34,1880,1701,21.066206,12.079954,33.14616,6667.361039,

46,2589,2301,26.31197,16.020456,42.332428,9364.822174,

67,3817,3351,37.852314,11.051006,48.90332,24144.34096,

40,2160,2001,21.504452,13.9711685,35.47562,9148.348771,

84,4544,4201,26.122696,17.995369,44.118065,32629.868904,

52,2820,2601,28.978487,14.406154,43.38464,15470.557588,

37,2028,1851,25.890253,19.643005,45.533257,6583.06026,

29,1569,1451,18.349625,20.572418,38.922043,5336.946427,

42,2294,2101,28.646744,23.696463,52.34321,9672.283872,

57,3105,2851,27.65788,20.36484,48.02272,17462.400512,

24,1325,1201,18.779007,19.669485,38.448494,4334.608855,

43,2333,2151,24.332718,21.416208,45.748924,12565.839871,

31,1681,1551,20.698708,20.58272,41.281425,5794.861584,

57,3064,2851,25.387102,12.469598,37.8567,18784.46158,

132,7280,6601,44.327274,13.603682,57.930954,95981.506744,

51,2793,2551,23.02741,20.461107,43.488518,15636.561957,

76,4131,3801,50.552685,14.842599,65.39529,24681.443839,

43,2334,2151,43.924812,23.139194,67.06401,11332.142894,

105,5641,5251,50.24518,20.628542,70.87372,52492.578598,

90,5039,4501,45.91831,10.134161,56.052467,37613.981473,

45,2482,2251,26.13443,24.164574,50.299004,11932.918469,

98,5292,4901,31.841879,17.684628,49.526505,53440.272195,

174,9170,8701,22.185522,22.887775,45.073296,164659.330144,

345,18199,17251,37.79204,19.931574,57.723618,894600.804026,

71,3859,3551,40.228878,12.697018,52.925896,27701.381693,

111,5924,5551,22.406742,27.44689,49.85363,75778.191036,

57,3275,2851,22.927177,12.047288,34.974464,21046.593416,

43,2417,2151,29.664873,19.954071,49.618942,10773.569835,

32,1765,1601,21.809578,22.103817,43.913395,6050.899964,

120,6474,6001,32.436638,20.126755,52.563393,61636.522647,

51,2760,2551,37.64103,16.598684,54.239716,13741.473384,

53,2853,2651,24.167614,14.775981,38.943596,13594.149454,

72,3946,3601,21.314665,20.73475,42.049416,29080.574513,

355,18596,17751,39.262306,14.529126,53.79143,791255.349975,

226,12077,11301,28.657263,19.667418,48.32468,287945.099189,

309,16612,15451,48.368015,20.66769,69.035706,370643.344413,

94,5141,4701,38.0095,14.148847,52.158344,45266.786005,

191,10075,9551,30.332235,11.065503,41.39774,219656.257698,

34,1861,1701,25.435562,18.83239,44.267952,7433.243012,

114,6124,5701,25.863804,18.475817,44.339622,72891.134405,

108,5891,5401,25.12309,13.685182,38.808273,63185.257041,

40,2184,2001,24.080292,21.429766,45.510056,11700.471042,

82,4362,4101,30.43949,21.18225,51.62174,32115.112605,

46,2489,2301,20.837992,18.220268,39.058258,12727.15973,

56,3102,2801,26.021473,7.585941,33.607414,15732.999605,

101,5482,5051,54.007393,17.247124,71.25452,53146.432514,

58,3398,2901,21.512123,12.334169,33.84629,14467.967787,

55,3191,2751,23.643959,18.219923,41.863884,15311.679371,

35,1892,1751,20.511154,26.239145,46.750298,7483.096722,

56,3101,2801,26.386168,22.96828,49.354446,17842.776669,

114,6105,5701,27.470924,18.359188,45.830112,71989.414885,

47,2540,2351,27.132952,25.171135,52.304085,12414.064995,

185,9996,9251,35.33062,4.6199913,39.95061,207236.989403,

102,5818,5101,30.28244,7.4047647,37.687206,46990.377961,

49,2724,2451,23.244095,12.314499,35.558594,11641.901159,

51,2820,2551,45.22464,25.143213,70.36785,13411.999868,

30,1653,1501,21.53329,14.502916,36.03621,6303.252234,

64,3583,3201,28.810629,21.229591,50.040222,18858.593658,

69,3773,3451,26.221317,19.010885,45.2322,23728.805538,

79,4299,3951,26.206833,18.464376,44.67121,30629.791858,

199,10431,9951,31.186522,25.66419,56.85071,316413.244624,

88,4738,4401,35.72189,19.476923,55.198814,41322.132377,

72,3931,3601,44.269142,19.956408,64.22555,22526.875829,

106,6458,5301,25.722254,11.64856,37.37081,54900.118993,

47,2583,2351,30.974844,20.7024,51.677246,10821.555269,

93,5088,4651,38.334404,8.921,47.2554,47544.772695,

61,3332,3051,26.021729,20.725,46.746727,16313.996506,

87,4668,4351,31.690964,16.487438,48.178402,40003.936805,

39,2118,1951,27.348234,18.454542,45.802776,9524.888673,

53,2932,2651,30.680904,13.991103,44.67201,13653.741742,
