iterations,sampled,rrgsize,movement,remaining,total,time,

7,4289,351,57.249985,30.18269,87.43268,2784.357678,

21,11455,1051,57.249985,27.919426,85.16941,4903.016344,

35,20012,1751,57.249985,29.314545,86.56453,6971.84879,

44,24770,2201,57.249985,27.581638,84.83162,9383.561594,

49,27772,2451,57.249985,28.114365,85.36435,11061.224689,

20,11832,1001,57.249985,27.809082,85.05907,4790.223584,

16,9818,801,57.249985,28.192732,85.44272,3848.739202,

29,17283,1451,57.249985,28.759151,86.00914,5950.024401,

20,11158,1001,57.249985,27.9951,85.24509,4679.691201,

16,9552,801,57.249985,29.422836,86.67282,3883.297904,

26,14941,1301,57.249985,28.296577,85.54656,5718.563981,

25,13743,1251,57.249985,28.112589,85.36257,5151.645935,

37,20837,1851,57.249985,28.788042,86.038025,7522.486622,

14,8259,701,57.249985,27.791447,85.04143,3687.519632,

31,17359,1551,57.249985,28.427767,85.67775,6315.924214,

62,33202,3101,57.249985,29.41992,86.66991,14698.7071,

21,12866,1051,57.249985,28.586554,85.83654,4913.299778,

17,9782,851,57.249985,29.079676,86.32966,3882.162549,

14,7917,701,57.249985,28.740356,85.99034,3502.942548,

30,17061,1501,57.249985,27.78059,85.03058,7005.583427,

18,10318,901,57.249985,29.70107,86.95106,4507.031976,

39,22763,1951,57.249985,27.379967,84.62995,8528.254286,

12,7010,601,57.249985,29.106506,86.35649,3381.200147,

14,8132,701,57.249985,28.386112,85.63609,3465.630823,

67,37896,3351,57.249985,29.586128,86.83611,15727.981671,

12,7152,601,57.249985,29.407372,86.65736,3717.15145,

11,6412,551,57.249985,29.427778,86.677765,3288.176727,

10,5746,501,57.249985,28.410109,85.660095,3266.536591,

15,9111,751,57.249985,27.879154,85.129135,3556.997781,

32,17927,1601,57.249985,28.156366,85.40635,6799.302505,

48,27680,2401,57.249985,28.384008,85.633995,10850.546928,

27,15052,1351,57.249985,28.72454,85.974525,5575.274695,

5,3165,251,57.249985,31.866936,89.11692,2569.657929,

15,9295,751,57.249985,28.237719,85.4877,3772.099874,

14,8338,701,57.249985,28.815311,86.06529,4039.63554,

21,12144,1051,57.249985,29.08309,86.33308,5143.215923,

17,10264,851,57.249985,29.108465,86.35845,4015.947259,

59,33328,2951,57.249985,29.208256,86.45824,14463.895035,

8,4573,401,57.249985,29.418808,86.66879,2920.121449,

27,15247,1351,57.249985,28.042393,85.29237,5489.408047,

6,3574,301,57.249985,28.946726,86.19671,2610.739098,

12,6636,601,57.249985,29.778362,87.02835,3355.862578,

39,22245,1951,57.249985,27.727179,84.977165,8401.437401,

67,36619,3351,57.249985,28.01197,85.261955,16800.582682,

