iterations,sampled,rrgsize,movement,remaining,total,time,

34,1998,1701,57.249985,28.763332,86.01332,6518.94854,

32,1930,1601,57.249985,29.04393,86.293915,5516.723548,

40,2331,2001,57.249985,28.847612,86.097595,7524.39139,

48,2734,2401,57.249985,28.421312,85.671295,9576.367725,

29,1680,1451,57.249985,28.460714,85.7107,5663.809726,

36,2064,1801,57.249985,28.170044,85.42003,6419.221981,

66,3753,3301,57.249985,28.113972,85.36395,14645.478279,

51,2857,2551,57.249985,28.229298,85.47928,9855.205727,

7,434,351,57.249985,28.811832,86.06181,2427.383196,

61,3430,3051,57.249985,28.737001,85.986984,13078.420329,

35,2009,1751,57.249985,28.897556,86.14754,6092.60282,

72,3996,3601,57.249985,28.287838,85.53783,17466.023051,

16,956,801,57.249985,28.671122,85.921104,3057.048819,

35,1996,1751,57.249985,28.110632,85.36062,6381.930499,

39,2256,1951,57.249985,28.056166,85.30615,7546.029895,

59,3294,2951,57.249985,27.950455,85.20044,12764.589844,

28,1649,1401,57.249985,28.453157,85.70314,5190.031322,

72,4054,3601,57.249985,28.795547,86.04553,16834.880711,

54,3091,2701,57.249985,28.672663,85.922646,11632.182646,

58,3222,2901,57.249985,28.26629,85.51627,12485.511007,

38,2259,1901,57.249985,28.034592,85.28458,7288.110309,

29,1700,1451,57.249985,27.576115,84.826096,5458.602402,

36,2173,1801,57.249985,28.578459,85.828445,6657.65717,

23,1318,1151,57.249985,29.73031,86.98029,4179.578896,

23,1342,1151,57.249985,27.804111,85.05409,3899.260036,

29,1684,1451,57.249985,28.45152,85.70151,5048.836718,

50,2893,2501,57.249985,28.921103,86.17109,10010.76389,

28,1591,1401,57.249985,28.14496,85.39494,4978.710332,

39,2268,1951,57.249985,28.373537,85.62352,7331.557473,

33,1936,1651,57.249985,27.445507,84.695496,6029.340446,

29,1826,1451,57.249985,28.44656,85.69655,5389.687414,

27,1679,1351,57.249985,28.807606,86.05759,5083.84745,

33,1917,1651,57.249985,28.031971,85.28195,6147.016476,

37,2116,1851,57.249985,27.825323,85.07531,6643.369158,

38,2173,1901,57.249985,27.347698,84.59769,7127.530966,

69,3888,3451,57.249985,27.913345,85.16333,16113.581722,

60,3390,3001,57.249985,28.541777,85.79176,12559.579052,

