iterations,sampled,rrgsize,movement,remaining,total,time,

60,32120,3001,70.57092,0.0,70.57092,18106.263816,

64,35383,3201,78.85319,0.0,78.85319,20537.934705,

71,38489,3551,88.27788,0.0,88.27788,22632.738741,

50,26963,2501,53.708855,0.0,53.708855,13627.091247,

51,27724,2551,56.16524,0.07961888,56.24486,15874.206333,

54,29814,2701,65.566864,0.0,65.566864,16223.160156,

55,30249,2751,66.62297,0.0,66.62297,17952.217601,

147,79200,7351,67.04462,4.579796,71.62441,68848.35905,

62,33038,3102,66.07549,0.0,66.07549,21662.327058,

74,38810,3701,82.05817,1.7809913,83.83916,24313.321392,

72,39127,3601,72.06664,0.0,72.06664,21303.93815,

71,38857,3551,72.07637,1.8009908,73.87736,20971.730314,

62,32777,3101,58.97334,5.7562413,64.72958,16658.955918,

50,26320,2503,58.850513,0.06908744,58.9196,14671.011357,

54,29408,2702,73.060486,0.0,73.060486,16658.116323,

55,29979,2751,65.94952,0.0,65.94952,16928.511771,

56,30221,2801,56.613766,5.3275247,61.94129,13386.38229,

61,32378,3051,67.1716,0.20068167,67.372284,21518.978324,

63,34706,3151,81.451805,0.0,81.451805,25751.286743,

46,24309,2301,65.84467,0.0,65.84467,10739.345635,

74,40976,3702,62.129623,0.0,62.129623,19720.244438,

70,37482,3501,66.98607,0.36033013,67.3464,21632.260968,

65,35808,3252,71.52962,4.5962925,76.12591,17025.446789,

51,26851,2552,53.30725,0.0,53.30725,12956.665611,

57,28709,2852,59.607365,4.6229744,64.23034,16423.361909,

65,35682,3252,62.292694,0.117920436,62.410614,19000.061364,

60,32124,3001,62.55458,0.0,62.55458,14297.065732,

54,28895,2701,51.436253,5.4822197,56.918472,14648.643623,

73,38401,3651,79.82865,0.24242917,80.07108,28637.563299,

53,28142,2651,56.24722,0.14156002,56.38878,13659.470303,

48,25400,2402,60.281963,5.135513,65.41747,11302.794703,

65,34446,3251,62.382553,0.08373316,62.466286,15986.832178,

67,35814,3352,71.494865,0.0,71.494865,21894.09692,

52,28355,2601,49.925808,0.0,49.925808,14524.420002,

81,41984,4052,91.94545,1.7088143,93.65427,25502.835027,

69,37602,3451,77.4776,1.7420652,79.219666,20625.172184,

94,50308,4701,59.48124,4.8823476,64.36359,26953.101413,

59,32559,2952,73.16746,0.0,73.16746,16570.262805,

59,31691,2952,66.69555,5.1607194,71.85627,15121.254062,

60,31230,3001,61.052746,0.0,61.052746,15722.917805,

61,31887,3051,61.21248,4.8908625,66.10334,15914.078222,

68,36063,3401,77.09756,0.0,77.09756,20412.573265,

63,32925,3151,63.199203,4.801491,68.000694,21302.030645,

71,37772,3551,61.919353,0.0,61.919353,19124.848461,

69,37424,3452,77.38118,4.961414,82.34259,20460.375939,

78,41332,3901,77.41341,0.0,77.41341,24994.730446,

67,35132,3351,61.58086,6.948253,68.52911,18177.244159,

57,31082,2851,75.711624,4.9999185,80.71154,16826.036055,

61,33468,3051,67.33909,4.864315,72.2034,15230.628948,

56,29856,2801,68.684746,1.533025,70.21777,15051.335928,

111,61285,5552,73.24395,3.2331007,76.47705,33548.662236,

69,37165,3451,69.43791,3.6330462,73.07096,20701.070605,

64,35114,3202,67.11255,0.0,67.11255,18373.471969,

48,26530,2402,47.863438,0.0,47.863438,12454.989569,

57,29946,2851,56.92716,1.5619798,58.48914,13592.701934,

61,31555,3052,76.15532,4.354771,80.51009,16771.997732,

106,56655,5301,97.17912,1.5020939,98.68121,33932.688886,

42,21843,2101,44.562973,5.3134165,49.87639,9902.58666,

61,33096,3051,70.847,4.8270607,75.67406,19920.323302,

72,38154,3601,55.687866,9.261614,64.94948,18685.797929,

71,39058,3551,83.10342,1.5070684,84.61048,19839.082186,

66,35195,3301,71.24409,1.6756068,72.91969,17197.431415,

61,32574,3051,71.867775,0.0,71.867775,16384.940495,

55,29648,2752,62.438477,0.0,62.438477,13891.392553,

53,28844,2651,64.95172,8.710454,73.66218,11821.279509,

58,31793,2901,60.408646,0.0,60.408646,15839.716323,

65,34075,3251,70.827934,0.0,70.827934,20098.548602,

62,33791,3102,71.02084,0.21400744,71.23485,17133.161617,

54,28963,2703,67.18613,0.0,67.18613,13895.949642,

60,31417,3001,60.038036,5.1747003,65.21274,15374.994074,

62,34312,3101,83.401344,0.0,83.401344,19160.527818,

55,29718,2751,53.988724,0.0,53.988724,12528.046423,

61,32811,3051,66.1311,6.1968207,72.32793,15628.155446,

66,36247,3301,75.60699,0.0,75.60699,20935.479912,

59,31074,2951,74.745995,0.15694338,74.90294,18085.982931,

72,38706,3602,63.32275,1.940808,65.26356,19026.672014,

53,28426,2651,70.425705,0.0,70.425705,13391.719089,

84,46110,4203,83.22502,4.887026,88.112045,26810.541158,

71,37940,3551,71.973625,0.0,71.973625,19249.897573,

55,29023,2751,60.051266,0.0,60.051266,16273.881898,

61,33014,3051,61.175777,0.0,61.175777,18397.356885,

71,38532,3552,76.76905,10.951634,87.72069,25402.219774,

55,30015,2751,80.895226,0.04978384,80.94501,13998.361619,

71,38915,3551,58.48452,5.367156,63.851677,18251.466708,

61,32460,3051,71.6939,0.0,71.6939,15411.717596,

59,31539,2951,76.579475,0.0,76.579475,17737.837481,

74,39398,3701,75.82373,0.0,75.82373,22968.258676,

47,25198,2352,60.63705,6.8393188,67.47637,12017.998085,

84,46058,4201,72.816025,5.137667,77.95369,27010.441951,

102,54372,5101,107.019325,0.32329053,107.34261,37312.783027,

57,30374,2852,57.535507,0.11432206,57.64983,15086.202812,

57,30635,2851,56.016506,5.6786423,61.69515,12796.024302,

69,36132,3451,69.86225,5.156041,75.018295,18714.162527,

57,31108,2851,72.9284,0.0,72.9284,17515.801489,

76,40216,3802,69.01863,0.0,69.01863,26410.373007,

68,36713,3402,70.33536,5.274894,75.61025,18075.235795,

61,32922,3051,71.65948,0.06106515,71.72054,17838.762192,

65,34092,3251,73.66901,0.19564666,73.864655,18150.997337,

54,29821,2701,45.674347,5.322393,50.99674,16806.814505,

51,27817,2551,71.799805,0.0,71.799805,14256.4043,
