iterations,sampled,rrgsize,movement,remaining,total,time,

62,3370,3101,61.35426,15.053609,76.40787,19030.177256,

61,3313,3051,60.481937,23.552427,84.03436,15944.197615,

73,3953,3651,83.05081,19.077038,102.12785,21215.483058,

61,3351,3051,73.42605,19.711489,93.137535,18812.820753,

93,5024,4651,91.63917,16.78719,108.42636,32304.300889,

60,3297,3001,61.328712,23.828594,85.1573,14170.956327,

104,5611,5201,99.42576,17.292963,116.71872,56939.728474,

84,4599,4201,65.8041,17.934212,83.73831,27637.011581,

120,6464,6001,94.59954,10.344608,104.94415,47890.214907,

87,4753,4351,92.23775,16.67831,108.91606,29319.32045,

112,6038,5601,97.23896,13.3819275,110.62089,39286.269209,

50,2725,2501,60.763813,15.106057,75.86987,11975.283125,

78,4272,3901,83.27851,17.099209,100.377716,21594.412958,

88,4723,4401,94.119965,20.973125,115.093094,36340.5175,

104,5608,5201,96.654015,24.108175,120.76219,47548.571403,

55,2993,2751,83.76872,16.663544,100.43227,14512.923039,

84,4547,4201,69.52246,28.026443,97.548904,27479.566625,

65,3523,3251,75.55748,16.157495,91.71497,20634.328568,

54,2921,2701,65.98147,18.329433,84.3109,13569.439598,

86,4668,4301,67.697365,21.875557,89.57292,24735.887418,

43,2327,2151,48.124214,16.824697,64.94891,9196.398323,

95,5166,4751,72.6782,23.096859,95.775055,24728.552807,

127,6853,6351,73.32008,23.00317,96.32326,46273.862571,

89,4801,4451,77.707634,17.686888,95.39452,24462.739856,

67,3669,3351,62.259354,15.926879,78.18623,15156.976332,

74,4029,3701,91.46128,11.442851,102.90413,22928.229283,

100,5421,5001,93.014175,25.373463,118.387634,36483.359949,

106,5670,5301,118.9063,16.397789,135.3041,42275.178506,

58,3156,2901,56.865623,16.531996,73.39762,12329.550062,

80,4339,4001,78.91728,14.513126,93.430405,25700.5307,

92,5031,4601,80.914795,15.473812,96.38861,29212.035697,

89,4805,4451,106.87301,18.940746,125.81375,25983.232253,

127,6796,6351,113.42155,26.589373,140.01093,61629.687424,

69,3697,3451,64.06578,28.525425,92.5912,16083.434539,

84,4509,4201,101.44682,22.121435,123.56826,35300.824366,

57,3053,2851,65.567955,15.0881195,80.656075,13584.76823,

54,2936,2701,65.936714,17.77259,83.709305,12037.71683,

56,3034,2801,62.674854,21.195389,83.87024,12884.443931,

89,4760,4451,78.6253,21.62365,100.24895,25455.003963,

77,4181,3851,70.22883,21.120546,91.34937,20896.110118,

57,3118,2851,64.12908,24.021343,88.15042,13280.874209,

94,5096,4701,67.57688,12.612957,80.189835,28621.542034,

78,4190,3901,76.02544,18.00141,94.02685,34239.11982,

70,3772,3501,70.10404,18.731268,88.83531,18710.213783,

114,6111,5701,85.832214,11.068891,96.90111,43421.502278,

74,3989,3701,61.972305,18.141186,80.113495,20948.312479,

96,5221,4801,64.907104,19.059332,83.96644,31808.641172,

69,3738,3451,69.160995,22.541744,91.70274,17636.220705,

117,6372,5851,91.35242,15.6187725,106.97119,40688.963893,

91,4886,4551,101.87941,16.710638,118.59005,35639.083993,

95,5138,4751,71.12676,26.370651,97.49741,26467.433889,

94,5064,4701,85.08241,19.837776,104.92019,29573.262805,

92,4962,4601,85.14591,16.754658,101.90057,33174.666372,

88,4752,4401,147.73027,12.054612,159.78488,30561.137321,

69,3727,3451,55.461975,18.260292,73.72227,14721.685269,

75,4072,3751,70.3131,26.696829,97.00993,17491.280891,

65,3513,3251,59.814865,9.097364,68.91223,14290.923002,

73,3985,3651,54.31656,16.19113,70.50769,17004.310007,

61,3296,3051,68.3479,18.253315,86.60121,15696.743752,

77,4141,3851,82.1754,13.065219,95.240616,22742.632957,

57,3096,2851,67.30107,10.695774,77.99684,13307.337674,

101,5459,5051,74.14275,14.911685,89.054436,33921.253275,

54,2968,2701,55.2102,27.190428,82.40063,11267.495307,

96,5159,4801,102.75674,17.627848,120.38458,46694.033986,

87,4678,4351,97.43112,20.843405,118.27453,34595.822566,

73,3999,3651,75.662926,17.077618,92.74054,18156.384243,

138,7362,6901,113.05355,24.677492,137.73105,77805.042553,

96,5176,4801,70.2851,20.59506,90.880165,29608.937373,

83,4481,4151,71.55511,26.68654,98.241646,23064.63273,

72,3866,3601,66.48106,8.378405,74.85946,19136.785607,

85,4617,4251,89.3425,26.278894,115.62139,29106.419741,

81,4399,4051,78.90603,19.231882,98.13791,24836.178421,

79,4291,3951,57.55581,26.445787,84.001595,18957.287925,

63,3383,3151,71.384056,21.765461,93.14952,18419.817471,

96,5233,4801,66.88725,21.497707,88.384964,32882.266012,

58,3193,2901,52.55189,20.815542,73.36743,18302.224539,

171,9049,8551,138.81131,22.942083,161.75339,115300.824863,

79,4302,3951,79.470726,15.479698,94.950424,23008.75584,

90,4861,4501,85.70149,19.670221,105.37171,39616.329158,

89,4883,4451,55.492397,14.950871,70.44327,22619.860445,

102,5496,5101,99.1087,17.95247,117.06117,39593.760096,

54,2920,2701,54.563866,25.642197,80.20606,14185.033017,

61,3272,3051,74.55797,17.35727,91.91524,15138.312585,

79,4250,3951,98.71489,18.660633,117.37552,22094.787627,

57,3078,2851,62.125694,13.252298,75.37799,13285.283986,

62,3360,3101,81.66097,17.908,99.56897,14819.870364,

97,5270,4851,93.50015,23.858686,117.35884,32803.47043,

74,4085,3701,71.59613,15.088133,86.684265,23613.6704,

65,3498,3251,62.5486,24.402866,86.95146,16569.487074,

55,3017,2751,80.82335,17.965445,98.788795,12166.742855,

77,4210,3851,80.44304,17.034573,97.477615,19710.302048,

67,3600,3351,71.334045,16.461035,87.79508,18712.384,

66,3605,3301,64.154655,15.015972,79.17062,14999.372364,

40,2170,2001,41.834064,25.828922,67.66299,10105.087065,

55,2992,2751,75.946594,7.459983,83.40658,12592.000732,

92,4947,4601,98.214165,10.435339,108.649506,34415.484095,

67,3721,3351,63.262108,17.95481,81.21692,17916.543329,

79,4281,3951,90.77754,26.003359,116.7809,25766.987987,

52,2831,2601,57.0507,15.456846,72.507545,11823.689571,

66,3575,3301,76.257484,15.141397,91.39888,18813.402365,
