x1,y1,x2,y2
0.0,1.0,6.0,1.0
6.0,1.0,6.0,2.0
6.0,2.0,0.0,2.0
0.0,2.0,0.0,1.0
0.0,0.0,2.0,0.0
2.0,0.0,2.0,1.0
2.0,1.0,0.0,1.0
0.0,1.0,0.0,0.0
0.0,2.0,2.0,2.0
2.0,2.0,2.0,3.0
2.0,3.0,0.0,3.0
0.0,3.0,0.0,2.0
2.0,0.0,4.0,0.0
4.0,0.0,4.0,1.0
4.0,1.0,2.0,1.0
2.0,1.0,2.0,0.0
2.0,2.0,4.0,2.0
4.0,2.0,4.0,3.0
4.0,3.0,2.0,3.0
2.0,3.0,2.0,2.0
4.0,0.0,6.0,0.0
6.0,0.0,6.0,1.0
6.0,1.0,4.0,1.0
4.0,1.0,4.0,0.0
4.0,2.0,6.0,2.0
6.0,2.0,6.0,3.0
6.0,3.0,4.0,3.0
4.0,3.0,4.0,2.0
1.4618888,0.5027389,1.7118888,0.5027389
1.7118888,0.5027389,1.7118888,0.75273895
1.7118888,0.75273895,1.4618888,0.75273895
1.4618888,0.75273895,1.4618888,0.5027389
0.19623557,1.9789509,0.44623557,1.9789509
0.44623557,1.9789509,0.44623557,2.2289507
0.44623557,2.2289507,0.19623557,2.2289507
0.19623557,2.2289507,0.19623557,1.9789509
1.9732012,0.52465653,2.223201,0.52465653
2.223201,0.52465653,2.223201,0.7746566
2.223201,0.7746566,1.9732012,0.7746566
1.9732012,0.7746566,1.9732012,0.52465653
2.4629707,2.0660524,2.7129705,2.0660524
2.7129705,2.0660524,2.7129705,2.3160522
2.7129705,2.3160522,2.4629707,2.3160522
2.4629707,2.3160522,2.4629707,2.0660524
4.2601585,0.05033306,4.5101585,0.05033306
4.5101585,0.05033306,4.5101585,0.30033305
4.5101585,0.30033305,4.2601585,0.30033305
4.2601585,0.30033305,4.2601585,0.05033306
5.083161,2.1941955,5.333161,2.1941955
5.333161,2.1941955,5.333161,2.4441953
5.333161,2.4441953,5.083161,2.4441953
5.083161,2.4441953,5.083161,2.1941955
0.09122308,-0.06364647,0.7912231,-0.06364647
0.7912231,-0.06364647,0.7912231,0.43635353
0.7912231,0.43635353,0.09122308,0.43635353
0.09122308,0.43635353,0.09122308,-0.06364647
1.251256,2.357647,1.951256,2.357647
1.951256,2.357647,1.951256,2.8576467
1.951256,2.8576467,1.251256,2.8576467
1.251256,2.8576467,1.251256,2.357647
3.1441755,0.097967096,3.8441753,0.097967096
3.8441753,0.097967096,3.8441753,0.59796715
3.8441753,0.59796715,3.1441755,0.59796715
3.1441755,0.59796715,3.1441755,0.097967096
2.5743933,2.486858,3.274393,2.486858
3.274393,2.486858,3.274393,2.9868577
3.274393,2.9868577,2.5743933,2.9868577
2.5743933,2.9868577,2.5743933,2.486858
5.102739,-0.09813365,5.8027387,-0.09813365
5.8027387,-0.09813365,5.8027387,0.40186635
5.8027387,0.40186635,5.102739,0.40186635
5.102739,0.40186635,5.102739,-0.09813365
5.115616,2.450089,5.8156157,2.450089
5.8156157,2.450089,5.8156157,2.9500887
5.8156157,2.9500887,5.115616,2.9500887
5.115616,2.9500887,5.115616,2.450089
