iterations,sampled,rrgsize,movement,remaining,total,time,

8,5156,401,58.549995,27.282772,85.83276,3782.400494,

5,3421,251,51.19999,24.37931,75.5793,3088.259405,

4,2660,201,51.09999,26.278408,77.3784,3119.105084,

10,6579,501,62.549995,24.507404,87.0574,3981.487256,

9,5606,451,54.89999,20.793774,75.69376,3570.031995,

7,4461,351,58.85,30.22299,89.07299,3546.829567,

5,3085,251,56.85,28.011736,84.86173,3350.945369,

4,3087,201,55.099987,24.34194,79.441925,3065.739905,

4,2490,201,58.75,27.424576,86.174576,3325.190376,

16,10330,801,59.150017,22.656595,81.80661,4793.089422,

3,1851,151,56.65,24.37098,81.02098,3042.16393,

7,5088,351,57.049988,28.1842,85.23419,3592.101017,

4,2649,201,56.449997,25.367176,81.81717,3229.269895,

3,1841,151,58.85,23.108673,81.95867,3182.075657,

15,9103,751,56.34999,25.935516,82.28551,4778.712768,

4,2697,201,56.950005,26.324131,83.27414,3178.600754,

3,1869,151,51.19999,27.017473,78.21746,2971.926637,

7,4989,351,55.799995,28.583614,84.383606,3559.910162,

6,3970,301,56.449997,23.29638,79.746376,3494.03558,

10,6124,501,59.15,28.641144,87.791145,3985.420471,

17,10700,851,58.75,22.730782,81.48078,5056.233311,

8,5132,401,58.35001,21.221798,79.57181,3980.815188,

3,2048,151,56.85,30.723701,87.5737,3130.346078,

5,3135,251,55.350006,25.538967,80.88898,3335.758951,

24,14010,1201,56.75,27.26558,84.01558,6418.445581,

5,2936,251,58.75,25.905746,84.65575,3425.255176,

5,3134,251,61.449997,27.082407,88.5324,3379.782934,

14,8944,701,53.4,25.210947,78.61095,4112.093064,

8,4777,401,55.549995,24.374922,79.92492,3824.661587,

3,1892,151,56.949997,29.556463,86.50646,3211.160738,

8,5140,401,59.75,25.576567,85.32657,3789.550414,

3,2212,151,56.75,27.49458,84.24458,2979.669933,

9,5757,451,56.549995,23.353752,79.90375,3731.084413,

35,19961,1751,57.149986,24.03407,81.18405,7986.221075,

11,7529,551,51.09999,24.029333,75.129326,3931.375637,

4,2815,201,56.85,27.345781,84.19578,3361.565853,

4,2365,201,58.550003,23.801218,82.35122,3397.508127,

7,4366,351,59.550003,25.485014,85.03502,3606.179695,

3,1827,151,56.549995,26.323584,82.87358,3298.496362,

6,4082,301,56.75,26.523096,83.273094,3457.046316,

14,8218,701,57.050003,26.275396,83.3254,4455.625579,

