x1,y1,x2,y2
0.0,0.0,6.0,0.0
6.0,0.0,6.0,3.0
6.0,3.0,0.0,3.0
0.0,3.0,0.0,0.0
0.9815038,0.057627037,1.4815037,0.057627037
1.4815037,0.057627037,1.4815037,0.35762703
1.4815037,0.35762703,0.9815038,0.35762703
0.9815038,0.35762703,0.9815038,0.057627037
0.1141488,2.595366,0.6141488,2.595366
0.6141488,2.595366,0.6141488,2.895366
0.6141488,2.895366,0.1141488,2.895366
0.1141488,2.895366,0.1141488,2.595366
2.2819786,0.109396085,2.7819786,0.109396085
2.7819786,0.109396085,2.7819786,0.4093961
2.7819786,0.4093961,2.2819786,0.4093961
2.2819786,0.4093961,2.2819786,0.109396085
2.5264368,2.4792798,3.0264368,2.4792798
3.0264368,2.4792798,3.0264368,2.7792797
3.0264368,2.7792797,2.5264368,2.7792797
2.5264368,2.7792797,2.5264368,2.4792798
5.0893564,0.1020213,5.5893564,0.1020213
5.5893564,0.1020213,5.5893564,0.40202132
5.5893564,0.40202132,5.0893564,0.40202132
5.0893564,0.40202132,5.0893564,0.1020213
4.865957,2.6317525,5.365957,2.6317525
5.365957,2.6317525,5.365957,2.9317524
5.365957,2.9317524,4.865957,2.9317524
4.865957,2.9317524,4.865957,2.6317525
0.0,0.95,0.8,0.95
0.8,0.95,0.8,1.05
0.8,1.05,0.0,1.05
0.0,1.05,0.0,0.95
1.2,0.95,2.0,0.95
2.0,0.95,2.0,1.05
2.0,1.05,1.2,1.05
1.2,1.05,1.2,0.95
0.0,1.95,0.8,1.95
0.8,1.95,0.8,2.05
0.8,2.05,0.0,2.05
0.0,2.05,0.0,1.95
1.2,1.95,2.0,1.95
2.0,1.95,2.0,2.05
2.0,2.05,1.2,2.05
1.2,2.05,1.2,1.95
2.0,0.95,2.8,0.95
2.8,0.95,2.8,1.05
2.8,1.05,2.0,1.05
2.0,1.05,2.0,0.95
3.2,0.95,4.0,0.95
4.0,0.95,4.0,1.05
4.0,1.05,3.2,1.05
3.2,1.05,3.2,0.95
2.0,1.95,2.8,1.95
2.8,1.95,2.8,2.05
2.8,2.05,2.0,2.05
2.0,2.05,2.0,1.95
3.2,1.95,4.0,1.95
4.0,1.95,4.0,2.05
4.0,2.05,3.2,2.05
3.2,2.05,3.2,1.95
4.0,0.95,4.8,0.95
4.8,0.95,4.8,1.05
4.8,1.05,4.0,1.05
4.0,1.05,4.0,0.95
5.2,0.95,6.0,0.95
6.0,0.95,6.0,1.05
6.0,1.05,5.2,1.05
5.2,1.05,5.2,0.95
4.0,1.95,4.8,1.95
4.8,1.95,4.8,2.05
4.8,2.05,4.0,2.05
4.0,2.05,4.0,1.95
5.2,1.95,6.0,1.95
6.0,1.95,6.0,2.05
6.0,2.05,5.2,2.05
5.2,2.05,5.2,1.95
1.95,0.0,2.05,0.0
2.05,0.0,2.05,0.95
2.05,0.95,1.95,0.95
1.95,0.95,1.95,0.0
1.95,2.05,2.05,2.05
2.05,2.05,2.05,3.0
2.05,3.0,1.95,3.0
1.95,3.0,1.95,2.05
3.95,0.0,4.05,0.0
4.05,0.0,4.05,0.95
4.05,0.95,3.95,0.95
3.95,0.95,3.95,0.0
3.95,2.05,4.05,2.05
4.05,2.05,4.05,3.0
4.05,3.0,3.95,3.0
3.95,3.0,3.95,2.05
