iterations,sampled,rrgsize,movement,remaining,total,time,

25,1561,1251,57.149994,22.739206,79.8892,5462.486818,

38,2195,1901,55.65,23.881222,79.53122,7492.15808,

38,2174,1901,58.65,25.47512,84.12512,8665.870068,

9,591,451,56.85,25.247135,82.09714,3906.763388,

4,278,201,58.850006,26.947485,85.79749,3153.42593,

30,1829,1501,57.35,25.472746,82.82275,6894.454687,

18,1200,901,57.350006,22.59063,79.940636,4806.713726,

17,1108,851,57.95,24.314043,82.264046,4519.362305,

17,1110,851,58.85,22.936033,81.78603,4552.976454,

15,889,751,56.65,24.525799,81.1758,4142.942692,

31,1846,1551,56.949997,24.436893,81.38689,6750.006452,

22,1309,1101,60.850006,24.394264,85.24427,5383.018185,

14,845,701,57.149994,26.327621,83.477615,4167.548008,

31,1900,1551,56.649994,27.366144,84.016136,6756.339915,

14,867,701,62.649994,21.207909,83.8579,4084.696339,

9,559,451,56.34999,26.884315,83.23431,3960.503183,

17,1077,851,58.75,22.188044,80.93804,4681.994989,

12,752,601,56.949997,22.79099,79.74099,3997.949052,

14,931,701,56.75,24.36256,81.112564,4439.081866,

9,619,451,55.449986,26.693584,82.14357,3729.287389,

26,1519,1301,56.65,24.825724,81.47572,5673.230088,

8,604,401,56.75,20.971796,77.721794,3508.540798,

24,1470,1201,55.749996,24.679178,80.42918,5426.857525,

29,1717,1451,55.75,24.092865,79.842865,5852.349895,

24,1443,1201,56.749992,26.837105,83.5871,5764.393271,

11,673,551,59.649998,22.723852,82.37385,3837.929786,

27,1681,1351,54.6,25.19395,79.793945,6050.677414,

22,1333,1101,56.75,23.439365,80.18936,5152.461311,

9,597,451,56.949997,22.15516,79.105156,3661.495058,

23,1449,1151,56.549995,25.213139,81.76314,5580.607447,

30,1752,1501,56.950005,23.038023,79.98803,6611.976351,

18,1092,901,54.449997,25.107399,79.557396,4959.750182,

33,1982,1651,57.15,27.191303,84.34131,6650.802695,

9,559,451,55.65,23.962784,79.612785,3427.433643,

13,833,651,61.950005,23.248444,85.19845,3906.449058,

17,1002,851,60.749992,23.62892,84.378914,4664.232899,

8,523,401,53.800003,22.27226,76.072266,3364.770717,

17,1076,851,52.75,24.42991,77.17991,4282.568323,

18,1102,901,55.75,25.50644,81.25644,4434.447902,

23,1445,1151,55.649998,22.16538,77.81538,5387.348782,

27,1591,1351,57.8,25.186821,82.98682,5876.826711,

7,479,351,59.65,27.609196,87.2592,3457.455764,

24,1396,1201,57.950005,25.233625,83.18363,5401.564557,

17,1038,851,57.050003,23.088491,80.1385,4132.623578,

23,1431,1151,61.25,27.262188,88.51219,5273.796943,

13,852,651,58.549995,23.41333,81.963326,4003.810966,

14,908,701,61.750004,20.602379,82.35239,4470.25793,

15,938,751,56.449997,29.519249,85.969246,4337.121579,

24,1533,1201,52.700005,20.569447,73.269455,5726.495426,

16,987,801,58.850006,25.505318,84.35532,4384.672319,

23,1440,1151,56.94999,22.626139,79.576126,5336.878868,

6,406,301,63.050003,29.54964,92.59964,3603.705171,

12,774,601,54.99999,23.1687,78.168686,3956.56298,

18,1116,901,59.049995,28.542156,87.59215,5055.038048,

7,449,351,51.299988,26.038082,77.33807,3468.875001,

15,1019,751,56.950005,25.285416,82.23542,4583.170227,

21,1260,1051,56.75,22.02702,78.77702,4989.064396,

10,622,501,52.85,22.762856,75.612854,3711.978597,

7,503,351,56.75,22.49491,79.24491,3444.869245,

24,1417,1201,53.049988,27.129227,80.179214,5868.649883,

8,514,401,60.650005,26.882524,87.53253,3529.568222,

17,1048,851,57.049988,25.949593,82.99958,4696.432085,

7,451,351,51.19999,29.486729,80.68672,3811.265394,

12,796,601,56.65,24.658842,81.308846,4121.03748,

18,1200,901,60.950005,25.168945,86.11895,4998.765751,

26,1572,1301,55.850006,24.684475,80.534485,6362.532663,

16,968,801,57.050003,23.04382,80.09383,4429.464037,

38,2286,1901,56.749992,24.746412,81.49641,8420.244176,

17,1048,851,55.300003,21.83297,77.13297,4261.579809,

13,776,651,55.65,22.800304,78.4503,3674.948036,

9,597,451,55.59999,28.109941,83.70993,3331.794302,

44,2651,2201,56.950005,26.379894,83.329895,9878.059069,

28,1695,1401,58.75,27.253368,86.00337,6150.890456,

18,1087,901,56.649994,23.616365,80.26636,4528.120412,

20,1244,1001,56.950005,29.41189,86.36189,5280.460503,

10,691,501,56.75,23.920551,80.67055,3968.087005,

7,491,351,56.85,31.329105,88.17911,3316.27115,

19,1127,951,58.150005,24.303398,82.4534,4716.088704,

15,913,751,60.75,23.1352,83.8852,4549.519007,

23,1374,1151,57.149994,27.263058,84.413055,5130.576325,

37,2370,1851,56.949997,27.26568,84.215675,8586.436703,

11,665,551,58.35,21.961926,80.31192,4038.962748,

18,1073,901,58.649994,23.713427,82.36342,4566.618911,

10,601,501,57.15,26.153557,83.30356,3653.333353,

11,700,551,58.05001,26.6223,84.67231,4083.053147,

16,951,801,56.449997,26.628824,83.07882,4404.246512,

15,937,751,56.649994,23.243105,79.8931,4497.23741,

20,1151,1001,56.75,28.29621,85.04621,4658.795511,

20,1219,1001,51.499992,25.78074,77.28073,5064.680186,

7,463,351,56.949997,25.539898,82.4899,3419.128417,

65,3841,3251,53.049995,26.82867,79.87866,14730.657075,

13,819,651,52.649994,22.873444,75.52344,4282.118623,

14,931,701,59.75,22.440634,82.190636,4036.306582,

8,508,401,56.950005,23.846405,80.79641,3611.992356,

24,1562,1201,57.95,23.928316,81.87832,5308.264061,

46,2624,2301,59.95,25.282827,85.23283,9705.625636,

15,924,751,59.449997,24.945972,84.395966,5043.84234,

14,885,701,56.75,24.744143,81.49414,4465.407757,
