x1,y1,x2,y2
0.0,0.0,6.0,0.0
6.0,0.0,6.0,3.0
6.0,3.0,0.0,3.0
0.0,3.0,0.0,0.0
1.254849,0.14007908,1.754849,0.14007908
1.754849,0.14007908,1.754849,0.4400791
1.754849,0.4400791,1.254849,0.4400791
1.254849,0.4400791,1.254849,0.14007908
0.89742655,2.5542555,1.3974266,2.5542555
1.3974266,2.5542555,1.3974266,2.8542554
1.3974266,2.8542554,0.89742655,2.8542554
0.89742655,2.8542554,0.89742655,2.5542555
2.8828726,0.21593818,3.3828726,0.21593818
3.3828726,0.21593818,3.3828726,0.51593816
3.3828726,0.51593816,2.8828726,0.51593816
2.8828726,0.51593816,2.8828726,0.21593818
3.158374,2.561512,3.658374,2.561512
3.658374,2.561512,3.658374,2.861512
3.658374,2.861512,3.158374,2.861512
3.158374,2.861512,3.158374,2.561512
4.6812677,0.10607306,5.1812677,0.10607306
5.1812677,0.10607306,5.1812677,0.40607306
5.1812677,0.40607306,4.6812677,0.40607306
4.6812677,0.40607306,4.6812677,0.10607306
4.592826,2.6831486,5.092826,2.6831486
5.092826,2.6831486,5.092826,2.9831486
5.092826,2.9831486,4.592826,2.9831486
4.592826,2.9831486,4.592826,2.6831486
0.0,0.95,0.8,0.95
0.8,0.95,0.8,1.05
0.8,1.05,0.0,1.05
0.0,1.05,0.0,0.95
1.2,0.95,2.0,0.95
2.0,0.95,2.0,1.05
2.0,1.05,1.2,1.05
1.2,1.05,1.2,0.95
0.0,1.95,0.8,1.95
0.8,1.95,0.8,2.05
0.8,2.05,0.0,2.05
0.0,2.05,0.0,1.95
1.2,1.95,2.0,1.95
2.0,1.95,2.0,2.05
2.0,2.05,1.2,2.05
1.2,2.05,1.2,1.95
2.0,0.95,2.8,0.95
2.8,0.95,2.8,1.05
2.8,1.05,2.0,1.05
2.0,1.05,2.0,0.95
3.2,0.95,4.0,0.95
4.0,0.95,4.0,1.05
4.0,1.05,3.2,1.05
3.2,1.05,3.2,0.95
2.0,1.95,2.8,1.95
2.8,1.95,2.8,2.05
2.8,2.05,2.0,2.05
2.0,2.05,2.0,1.95
3.2,1.95,4.0,1.95
4.0,1.95,4.0,2.05
4.0,2.05,3.2,2.05
3.2,2.05,3.2,1.95
4.0,0.95,4.8,0.95
4.8,0.95,4.8,1.05
4.8,1.05,4.0,1.05
4.0,1.05,4.0,0.95
5.2,0.95,6.0,0.95
6.0,0.95,6.0,1.05
6.0,1.05,5.2,1.05
5.2,1.05,5.2,0.95
4.0,1.95,4.8,1.95
4.8,1.95,4.8,2.05
4.8,2.05,4.0,2.05
4.0,2.05,4.0,1.95
5.2,1.95,6.0,1.95
6.0,1.95,6.0,2.05
6.0,2.05,5.2,2.05
5.2,2.05,5.2,1.95
1.95,0.0,2.05,0.0
2.05,0.0,2.05,0.95
2.05,0.95,1.95,0.95
1.95,0.95,1.95,0.0
1.95,2.05,2.05,2.05
2.05,2.05,2.05,3.0
2.05,3.0,1.95,3.0
1.95,3.0,1.95,2.05
3.95,0.0,4.05,0.0
4.05,0.0,4.05,0.95
4.05,0.95,3.95,0.95
3.95,0.95,3.95,0.0
3.95,2.05,4.05,2.05
4.05,2.05,4.05,3.0
4.05,3.0,3.95,3.0
3.95,3.0,3.95,2.05
