iterations,sampled,rrgsize,movement,remaining,total,time,

38,20927,1901,28.022457,0.30266225,28.325119,7758.251916,

34,19113,1701,22.96954,1.1386205,24.10816,6194.318413,

32,17472,1603,22.120398,3.5794656,25.699863,5815.131999,

36,20503,1801,25.298527,0.8475278,26.146055,6832.85556,

32,16971,1601,22.602821,0.49827164,23.101093,6399.467357,

42,23835,2101,42.198654,5.732323,47.930977,8655.257675,

26,15198,1302,23.013899,4.4257574,27.439655,4858.054154,

35,19527,1752,23.144098,0.11608434,23.260183,7371.431911,

30,17275,1501,24.8476,0.91435117,25.761951,5150.741176,

37,21157,1852,24.963192,0.0,24.963192,7321.57511,

33,17678,1651,25.090097,0.12740804,25.217506,6035.192425,

35,19853,1751,24.832115,0.072245516,24.90436,6735.993688,

35,19987,1751,26.285711,0.7854352,27.071146,6872.252086,

45,24887,2251,37.4713,0.21095462,37.68225,9209.309296,

38,20605,1901,24.267519,1.4555097,25.723028,6963.086025,

28,14913,1401,21.945635,3.9024987,25.848133,5717.688846,

39,21333,1951,24.697973,3.3221366,28.02011,7671.247859,

47,24527,2351,35.359592,0.0,35.359592,9609.165137,

39,21962,1953,23.235928,0.37811074,23.614038,8185.76904,

38,20937,1901,28.431643,0.31182274,28.743465,7794.35011,

45,25172,2252,35.524673,7.1748323,42.699505,9813.892464,

39,22451,1951,27.982311,0.1601628,28.142473,8779.501763,

34,18784,1701,22.869806,0.0,22.869806,6513.921468,

49,28267,2451,31.759464,3.7475321,35.506996,13756.724462,

32,19182,1601,25.34419,3.6833372,29.027527,6306.935372,

38,20540,1901,25.394882,0.07064264,25.465525,6836.462658,

35,18939,1751,27.603418,0.24691708,27.850336,7055.643412,

38,21476,1902,26.064405,4.0257964,30.090202,6992.02605,

37,20149,1851,27.925112,0.0,27.925112,8167.152698,

29,16173,1451,23.51154,11.213688,34.725227,5173.032792,

35,18976,1751,24.188978,3.062244,27.251223,7116.780681,

37,19809,1851,30.948114,1.672451,32.620567,7630.872138,

47,26507,2351,37.434307,4.865756,42.300064,9140.706971,

38,21401,1901,25.42092,0.0,25.42092,6893.113534,

30,16690,1501,22.7765,7.4802394,30.25674,5100.118087,

34,18654,1701,26.806807,0.0,26.806807,5708.195474,

33,19079,1651,22.074373,8.758048,30.83242,6730.761798,

38,20456,1901,22.266336,0.58883655,22.855173,7437.67795,

31,17798,1551,27.147493,1.6164204,28.763914,5729.911551,

45,25043,2251,25.618818,1.8865064,27.505325,10009.70065,

22,12025,1101,19.694216,3.4153948,23.109612,3558.857412,

31,17319,1551,20.44587,8.152454,28.598324,5343.477554,

39,22204,1951,36.390728,0.0,36.390728,6692.236329,

39,22207,1951,26.15543,0.0,26.15543,7490.839515,

37,20845,1851,31.878185,0.0,31.878185,6858.87824,

36,19300,1801,31.243044,1.3840761,32.62712,6504.130409,

43,23470,2151,31.083975,0.0,31.083975,8812.460765,

50,27467,2501,39.19014,1.5673835,40.757523,9468.7618,

40,21441,2001,31.464678,0.0,31.464678,9975.527758,

33,18604,1651,25.92762,1.2268783,27.1545,5881.320672,

32,18178,1601,24.380934,0.0,24.380934,5952.6762,

34,18605,1701,24.716682,0.0,24.716682,6017.954771,

32,17821,1601,25.347305,4.7180653,30.06537,5425.669885,

40,22086,2001,41.315784,6.8663263,48.18211,8472.874548,

34,18357,1701,32.11217,0.0,32.11217,6263.48307,

30,16259,1501,23.956835,5.0783257,29.03516,4880.486344,

36,20063,1801,23.91457,0.0,23.91457,7781.725025,

37,20147,1854,29.542171,0.15104918,29.69322,6479.732992,

39,21885,1951,28.539446,6.677477,35.216923,7774.27964,

42,22902,2101,39.470596,6.5316133,46.00221,8251.060322,

51,28302,2551,27.453289,0.0,27.453289,11691.669065,

29,16473,1451,20.825233,0.4637369,21.28897,5603.560069,

33,19104,1651,27.420351,0.28768775,27.708038,6116.943948,

37,20242,1851,22.757944,8.423361,31.181305,7685.636739,

36,22040,1801,25.023415,0.0,25.023415,7293.182452,

40,22063,2001,26.05136,0.98684025,27.0382,8088.138688,

32,19059,1602,23.303478,6.0466614,29.35014,5697.798383,

37,19949,1851,29.705835,0.15206933,29.857904,6836.053842,

38,21718,1901,28.737988,1.3887568,30.126743,7749.598203,

32,17803,1602,23.27646,0.0,23.27646,6316.595945,

45,24569,2251,28.346846,1.2753644,29.62221,10101.435253,

34,18494,1702,23.500422,0.9380595,24.43848,6347.480301,

40,22077,2001,32.669643,3.9667628,36.636406,8104.702064,

31,16813,1551,16.353558,10.576223,26.929781,6824.880629,

41,22807,2051,20.589533,0.0,20.589533,8597.315472,

28,15011,1401,20.4465,3.3050003,23.751501,4922.455136,

28,15825,1402,19.474743,3.8116028,23.286346,6319.918054,

37,20108,1851,24.870647,1.3198342,26.190481,8187.783692,

37,19941,1851,23.622875,4.945109,28.567984,7752.376266,

37,20651,1851,25.43454,0.71518403,26.149723,8212.501291,

52,29411,2601,43.967457,4.2967134,48.26417,13179.466682,

35,19193,1752,24.942583,0.27985343,25.222437,7736.274007,

38,20881,1901,25.282694,0.23096296,25.513657,8204.916485,

35,20470,1751,28.712488,0.12980643,28.842295,8136.21435,

27,14211,1351,22.45877,0.5812681,23.04004,5357.25111,

37,20488,1851,25.903429,1.2397051,27.143135,8045.235637,

34,18638,1701,26.541187,5.942641,32.48383,6898.3577,

37,20901,1851,24.850374,0.24704365,25.097418,8560.51021,

34,20211,1701,27.495134,5.026786,32.52192,7471.883046,

32,17705,1601,23.162067,4.3368583,27.498926,6620.096626,

41,24046,2051,39.370003,0.0,39.370003,9313.889569,

35,19874,1751,25.166796,1.0535429,26.220339,6922.86271,

42,22968,2101,36.747547,0.0,36.747547,9871.321935,

39,21407,1952,41.89758,0.11242601,42.010006,9029.709091,

47,26249,2352,41.878487,6.6662,48.544685,10829.083323,

47,26560,2351,38.2281,0.0,38.2281,9379.754542,

35,18559,1751,24.732405,4.9335485,29.665953,6862.755069,

36,19766,1801,26.751911,0.0,26.751911,7298.967719,

38,21604,1901,33.55589,0.0,33.55589,7955.080721,

38,21136,1901,28.548088,0.7614251,29.309513,7430.175208,
