x1,y1,x2,y2
0.0,1.0,6.0,1.0
6.0,1.0,6.0,2.0
6.0,2.0,0.0,2.0
0.0,2.0,0.0,1.0
0.0,0.0,2.0,0.0
2.0,0.0,2.0,1.0
2.0,1.0,0.0,1.0
0.0,1.0,0.0,0.0
0.0,2.0,2.0,2.0
2.0,2.0,2.0,3.0
2.0,3.0,0.0,3.0
0.0,3.0,0.0,2.0
2.0,0.0,4.0,0.0
4.0,0.0,4.0,1.0
4.0,1.0,2.0,1.0
2.0,1.0,2.0,0.0
2.0,2.0,4.0,2.0
4.0,2.0,4.0,3.0
4.0,3.0,2.0,3.0
2.0,3.0,2.0,2.0
4.0,0.0,6.0,0.0
6.0,0.0,6.0,1.0
6.0,1.0,4.0,1.0
4.0,1.0,4.0,0.0
4.0,2.0,6.0,2.0
6.0,2.0,6.0,3.0
6.0,3.0,4.0,3.0
4.0,3.0,4.0,2.0
0.2229552,0.59584934,0.4729552,0.59584934
0.4729552,0.59584934,0.4729552,0.8458494
0.4729552,0.8458494,0.2229552,0.8458494
0.2229552,0.8458494,0.2229552,0.59584934
0.14497861,2.2430518,0.3949786,2.2430518
0.3949786,2.2430518,0.3949786,2.4930515
0.3949786,2.4930515,0.14497861,2.4930515
0.14497861,2.4930515,0.14497861,2.2430518
3.6604626,0.28188336,3.9104624,0.28188336
3.9104624,0.28188336,3.9104624,0.53188336
3.9104624,0.53188336,3.6604626,0.53188336
3.6604626,0.53188336,3.6604626,0.28188336
3.6613224,2.562492,3.911322,2.562492
3.911322,2.562492,3.911322,2.8124917
3.911322,2.8124917,3.6613224,2.8124917
3.6613224,2.8124917,3.6613224,2.562492
4.9093604,0.57972676,5.1593604,0.57972676
5.1593604,0.57972676,5.1593604,0.8297268
5.1593604,0.8297268,4.9093604,0.8297268
4.9093604,0.8297268,4.9093604,0.57972676
4.2174664,2.1832228,4.4674664,2.1832228
4.4674664,2.1832228,4.4674664,2.4332225
4.4674664,2.4332225,4.2174664,2.4332225
4.2174664,2.4332225,4.2174664,2.1832228
1.0618342,0.015176401,1.7618343,0.015176401
1.7618343,0.015176401,1.7618343,0.5151764
1.7618343,0.5151764,1.0618342,0.5151764
1.0618342,0.5151764,1.0618342,0.015176401
0.92609715,2.5316575,1.6260972,2.5316575
1.6260972,2.5316575,1.6260972,3.0316572
1.6260972,3.0316572,0.92609715,3.0316572
0.92609715,3.0316572,0.92609715,2.5316575
3.2417676,-0.039101526,3.9417675,-0.039101526
3.9417675,-0.039101526,3.9417675,0.4608985
3.9417675,0.4608985,3.2417676,0.4608985
3.2417676,0.4608985,3.2417676,-0.039101526
2.5090756,2.540786,3.2090755,2.540786
3.2090755,2.540786,3.2090755,3.0407858
3.2090755,3.0407858,2.5090756,3.0407858
2.5090756,3.0407858,2.5090756,2.540786
4.4807835,0.017361209,5.1807833,0.017361209
5.1807833,0.017361209,5.1807833,0.5173612
5.1807833,0.5173612,4.4807835,0.5173612
4.4807835,0.5173612,4.4807835,0.017361209
4.824883,2.3883014,5.524883,2.3883014
5.524883,2.3883014,5.524883,2.8883011
5.524883,2.8883011,4.824883,2.8883011
4.824883,2.8883011,4.824883,2.3883014
