x1,y1,x2,y2
0.0,0.0,6.0,0.0
6.0,0.0,6.0,3.0
6.0,3.0,0.0,3.0
0.0,3.0,0.0,0.0
1.1618342,0.1151764,1.6618342,0.1151764
1.6618342,0.1151764,1.6618342,0.41517642
1.6618342,0.41517642,1.1618342,0.41517642
1.1618342,0.41517642,1.1618342,0.1151764
1.0260972,2.6316574,1.5260972,2.6316574
1.5260972,2.6316574,1.5260972,2.9316573
1.5260972,2.9316573,1.0260972,2.9316573
1.0260972,2.9316573,1.0260972,2.6316574
3.3417675,0.060898475,3.8417675,0.060898475
3.8417675,0.060898475,3.8417675,0.3608985
3.8417675,0.3608985,3.3417675,0.3608985
3.3417675,0.3608985,3.3417675,0.060898475
2.6090755,2.640786,3.1090755,2.640786
3.1090755,2.640786,3.1090755,2.940786
3.1090755,2.940786,2.6090755,2.940786
2.6090755,2.940786,2.6090755,2.640786
4.5807834,0.11736121,5.0807834,0.11736121
5.0807834,0.11736121,5.0807834,0.41736123
5.0807834,0.41736123,4.5807834,0.41736123
4.5807834,0.41736123,4.5807834,0.11736121
4.924883,2.4883013,5.424883,2.4883013
5.424883,2.4883013,5.424883,2.7883012
5.424883,2.7883012,4.924883,2.7883012
4.924883,2.7883012,4.924883,2.4883013
0.0,0.95,0.8,0.95
0.8,0.95,0.8,1.05
0.8,1.05,0.0,1.05
0.0,1.05,0.0,0.95
1.2,0.95,2.0,0.95
2.0,0.95,2.0,1.05
2.0,1.05,1.2,1.05
1.2,1.05,1.2,0.95
0.0,1.95,0.8,1.95
0.8,1.95,0.8,2.05
0.8,2.05,0.0,2.05
0.0,2.05,0.0,1.95
1.2,1.95,2.0,1.95
2.0,1.95,2.0,2.05
2.0,2.05,1.2,2.05
1.2,2.05,1.2,1.95
2.0,0.95,2.8,0.95
2.8,0.95,2.8,1.05
2.8,1.05,2.0,1.05
2.0,1.05,2.0,0.95
3.2,0.95,4.0,0.95
4.0,0.95,4.0,1.05
4.0,1.05,3.2,1.05
3.2,1.05,3.2,0.95
2.0,1.95,2.8,1.95
2.8,1.95,2.8,2.05
2.8,2.05,2.0,2.05
2.0,2.05,2.0,1.95
3.2,1.95,4.0,1.95
4.0,1.95,4.0,2.05
4.0,2.05,3.2,2.05
3.2,2.05,3.2,1.95
4.0,0.95,4.8,0.95
4.8,0.95,4.8,1.05
4.8,1.05,4.0,1.05
4.0,1.05,4.0,0.95
5.2,0.95,6.0,0.95
6.0,0.95,6.0,1.05
6.0,1.05,5.2,1.05
5.2,1.05,5.2,0.95
4.0,1.95,4.8,1.95
4.8,1.95,4.8,2.05
4.8,2.05,4.0,2.05
4.0,2.05,4.0,1.95
5.2,1.95,6.0,1.95
6.0,1.95,6.0,2.05
6.0,2.05,5.2,2.05
5.2,2.05,5.2,1.95
1.95,0.0,2.05,0.0
2.05,0.0,2.05,0.95
2.05,0.95,1.95,0.95
1.95,0.95,1.95,0.0
1.95,2.05,2.05,2.05
2.05,2.05,2.05,3.0
2.05,3.0,1.95,3.0
1.95,3.0,1.95,2.05
3.95,0.0,4.05,0.0
4.05,0.0,4.05,0.95
4.05,0.95,3.95,0.95
3.95,0.95,3.95,0.0
3.95,2.05,4.05,2.05
4.05,2.05,4.05,3.0
4.05,3.0,3.95,3.0
3.95,3.0,3.95,2.05
