iterations,sampled,rrgsize,movement,remaining,total,time,

37,2050,1851,40.727993,13.858458,54.58645,6304.770459,

30,1740,1501,39.81052,17.590487,57.40101,5194.869374,

21,1180,1051,21.248531,22.51381,43.76234,3002.277382,

36,2025,1801,40.71391,24.730572,65.44448,5819.512901,

36,2073,1801,39.899715,17.876225,57.77594,5605.144076,

44,2465,2201,40.80529,11.062377,51.86767,7945.645923,

36,2058,1801,45.1714,18.338118,63.509514,6197.683604,

22,1239,1101,23.85084,20.842407,44.693245,3265.762314,

38,2167,1901,46.22724,14.093228,60.32047,6105.949548,

61,3471,3051,34.97206,21.98147,56.95353,12265.657731,

37,2084,1851,41.820137,19.574417,61.394554,6228.712394,

34,1957,1701,28.511982,22.533012,51.044994,5321.12531,

30,1795,1501,40.60417,11.009281,51.613453,4709.382191,

39,2197,1951,38.27031,17.690863,55.961174,6726.562808,

28,1590,1401,26.271362,21.474815,47.746178,4415.197751,

23,1287,1151,16.911646,14.85924,31.770885,3251.926972,

26,1445,1301,28.695705,14.088482,42.784187,3834.829823,

45,2541,2251,49.29153,18.729212,68.020744,8356.546566,

32,1799,1601,24.813005,15.185018,39.998024,6151.3739,

23,1277,1151,23.093185,17.390512,40.483696,3729.089963,

29,1690,1451,40.28887,19.84431,60.133183,4527.921443,

36,2038,1801,37.239883,15.5006895,52.740574,5616.381542,

28,1554,1401,26.59609,19.044212,45.640305,4577.974153,

39,2184,1951,45.732635,10.680027,56.412663,6549.275428,

27,1579,1351,25.919298,17.811295,43.73059,4420.868623,

35,1967,1751,43.770786,18.840061,62.610847,5933.516436,

43,2559,2151,40.41766,22.380217,62.797874,8354.761876,

42,2353,2101,37.162655,16.390049,53.552704,7276.003505,

37,2049,1851,40.063896,13.854473,53.91837,6416.953595,

16,886,801,13.802552,21.170235,34.972786,2309.953149,

35,1959,1751,35.532997,16.710524,52.243523,6779.547514,

40,2288,2001,25.080704,16.945074,42.02578,9035.610915,

24,1364,1201,19.713396,27.452288,47.165684,3883.78012,

26,1474,1301,21.952482,15.652258,37.60474,4289.820693,

27,1560,1351,43.14966,15.814577,58.964233,4424.11982,

40,2255,2001,35.3484,21.371824,56.720222,7613.163108,

37,2096,1851,40.732506,17.113276,57.84578,7037.698665,

40,2195,2001,40.27123,23.001143,63.27237,6647.710395,

41,2330,2051,43.16936,20.580826,63.750187,6944.268254,

33,1859,1651,45.558575,19.377155,64.93573,5446.464943,

36,2005,1801,39.05927,22.715271,61.77454,5717.465006,

44,2484,2201,37.023304,13.799676,50.82298,8372.949156,

60,3291,3001,43.909775,21.26467,65.174446,12631.088061,

71,4138,3551,36.81046,16.42504,53.235497,17025.64309,

25,1398,1251,23.016687,22.151224,45.16791,3948.818955,

36,2045,1801,36.251305,20.114061,56.365364,6345.540816,

26,1466,1301,23.883484,24.386894,48.27038,4029.931966,

22,1249,1101,21.397953,21.160553,42.558506,3305.050678,

22,1252,1101,25.0002,15.059586,40.059784,3300.599203,

30,1705,1501,26.089901,16.644775,42.734676,5293.358046,

58,3322,2901,37.608063,21.327814,58.935875,11109.411188,

50,2796,2501,40.663685,27.192411,67.856094,10452.399367,

77,4192,3851,40.45668,19.815565,60.272247,16215.995004,

31,1751,1551,21.394783,19.129839,40.52462,5375.736248,

37,2166,1851,43.889187,21.440298,65.32948,6786.347495,

46,2578,2301,45.975815,17.43899,63.414803,9827.344833,

34,1874,1701,38.67708,17.415403,56.092484,6294.223234,

35,1989,1751,30.189295,20.723738,50.913033,6189.809862,

27,1534,1351,41.251553,19.023151,60.274704,4764.648995,

42,2331,2101,38.821236,24.195482,63.016716,8309.931278,

23,1317,1151,22.054789,20.194475,42.249264,3529.963087,

27,1541,1351,33.084286,20.049099,53.133385,5050.343856,

42,2387,2101,40.599796,22.031025,62.63082,8929.488755,

43,2442,2151,18.108456,21.515114,39.62357,8415.682293,

24,1409,1201,21.09531,18.021124,39.116432,3979.340417,

49,2731,2451,33.690224,17.886112,51.576336,8593.957959,

28,1605,1401,33.235565,13.159318,46.394882,4480.866789,

25,1448,1251,27.02759,18.542147,45.569736,3980.182362,

31,1767,1551,29.852812,17.707403,47.560215,5008.758354,

37,2036,1851,42.143738,17.576752,59.72049,6387.46108,

53,2966,2651,46.26246,20.093859,66.356316,10063.948028,

30,1773,1501,36.46346,22.37623,58.83969,4596.748644,

21,1177,1051,15.869088,14.525261,30.394348,3054.482132,

25,1429,1251,24.476257,22.312824,46.78908,3689.860499,

28,1572,1401,30.071749,25.895731,55.96748,4517.662485,

33,1863,1651,33.72503,20.038248,53.763275,5751.530669,

34,1898,1701,34.302994,10.586244,44.889236,5740.042137,

24,1338,1201,24.752153,20.777962,45.530113,3454.013449,

71,3989,3551,32.259857,19.875055,52.13491,15961.891581,

27,1528,1351,31.077627,19.150414,50.228043,5083.214822,

30,1729,1501,19.062946,22.992914,42.055862,5354.175854,

