iterations,sampled,rrgsize,movement,remaining,total,time,

32,18805,1601,60.100014,27.902704,88.002716,5433.956895,

28,15531,1401,60.100014,28.870985,88.971,5386.449232,

54,30280,2701,60.100014,27.16682,87.26683,11108.402192,

16,9196,801,60.100014,28.27594,88.37595,3554.497191,

50,28827,2501,60.100014,28.847902,88.947914,10464.82124,

52,29691,2601,60.100014,29.01852,89.11853,11559.313056,

21,12552,1051,60.100014,28.349337,88.44935,4291.423209,

27,15413,1351,60.100014,27.402367,87.50238,5247.162645,

37,21712,1851,60.100014,27.641926,87.74194,7343.439127,

10,6137,501,60.100014,28.676226,88.77624,2886.134434,

13,7614,651,60.100014,29.988104,90.08812,3198.506351,

41,23848,2051,60.100014,28.905897,89.00591,7782.298056,

10,5863,501,60.100014,29.591318,89.69133,2498.379608,

54,30021,2701,60.100014,27.582352,87.682365,10530.518466,

12,7988,601,60.100014,29.362036,89.46205,2997.098444,

19,10959,951,60.100014,28.343746,88.443756,4355.647255,

16,9732,801,60.100014,28.023624,88.12364,3198.286407,

8,4645,401,60.100014,28.596203,88.69621,2536.555863,

7,4233,351,60.100014,28.119465,88.21948,2316.139574,

30,17037,1501,60.100014,26.930532,87.03055,5578.249111,

12,7280,601,60.100014,29.198748,89.29876,3146.107093,

11,6173,551,60.100014,28.768494,88.86851,2702.652306,

22,13025,1101,60.100014,28.806622,88.90663,4465.831621,

42,24234,2101,60.100014,29.12903,89.22904,7822.662221,

49,27986,2451,60.100014,27.763556,87.86357,10282.236116,

23,12913,1151,60.100014,27.819448,87.919464,4721.869691,

67,37985,3351,60.100014,28.569551,88.66956,15456.048294,

18,10739,901,60.100014,28.816097,88.91611,3762.483981,

15,8389,751,60.100014,29.11149,89.2115,3377.10806,

29,16665,1451,60.100014,29.018606,89.11862,5017.679527,

8,5153,401,60.100014,28.273655,88.37367,2493.717594,

24,13979,1201,60.100014,28.060066,88.16008,4662.480937,

17,10377,851,60.100014,28.37101,88.47102,3530.456973,

20,10563,1001,60.100014,30.486784,90.5868,4061.509555,

62,33898,3101,60.100014,28.415985,88.516,13939.034789,

26,14663,1301,60.100014,28.30531,88.40532,5388.352638,

35,19610,1751,60.100014,29.084705,89.18472,6773.57358,

19,10878,951,60.100014,29.10293,89.20294,3556.129555,

6,3529,301,60.100014,29.241375,89.341385,2341.97096,

27,15924,1351,60.100014,27.712847,87.81286,4868.325025,

28,15811,1401,60.100014,28.28475,88.384766,5629.715417,

9,5547,451,60.100014,28.923536,89.02355,2588.072561,

56,31873,2801,60.100014,28.449942,88.54996,12261.466155,

26,14519,1301,60.100014,27.937416,88.03743,5150.495508,

9,5555,451,60.100014,27.66123,87.761246,2544.549217,

6,3106,301,60.100014,29.39263,89.492645,2275.162924,

26,15527,1301,60.100014,28.37705,88.477066,4401.320211,

20,11005,1001,60.100014,29.109287,89.209305,4108.706568,

9,5200,451,60.100014,29.698084,89.798096,2636.494213,

54,29700,2701,60.100014,28.344318,88.444336,12043.060516,

20,11744,1001,60.100014,28.254835,88.35485,4195.924123,

35,20396,1751,60.100014,27.307587,87.4076,7237.631539,

10,5679,501,60.100014,28.696636,88.796646,2727.297729,

10,6081,501,60.100014,29.622454,89.722466,2657.657528,

29,16665,1451,60.100014,28.265263,88.36528,5745.547498,

20,11575,1001,60.100014,29.50292,89.602936,4153.326453,

12,6965,601,60.100014,29.66338,89.7634,2916.509947,

15,8561,751,60.100014,29.410395,89.51041,3248.246438,

30,17416,1501,60.100014,28.620558,88.72057,5810.241648,

11,6220,551,60.100014,28.790625,88.89064,2725.799416,

15,8982,751,60.100014,28.642643,88.74266,3169.550823,

62,34989,3101,60.100014,27.919357,88.01937,13817.064563,

14,8010,701,60.100014,29.174805,89.27482,2951.069819,

7,3818,351,60.100014,28.87518,88.97519,2326.815995,

53,30153,2651,60.100014,27.931362,88.03137,10746.135852,

5,2918,251,60.100014,28.21887,88.318886,2124.902862,

5,2818,251,60.100014,28.382631,88.48264,2150.58378,

62,34804,3101,60.100014,28.586622,88.68664,13997.09256,

22,13119,1101,60.100014,28.175833,88.27585,4587.843805,

18,11197,901,60.100014,28.501066,88.60108,3843.845431,

25,13935,1251,60.100014,28.185238,88.28525,4797.594955,

9,5133,451,60.100014,29.037579,89.13759,2713.897558,

31,17525,1551,60.100014,29.035337,89.13535,5650.682521,

23,13500,1151,60.100014,28.53046,88.63048,4028.467398,

6,3783,301,60.100014,30.83849,90.93851,2263.169575,

32,19872,1601,60.100014,28.073055,88.173065,6845.515829,

