iterations,sampled,rrgsize,movement,remaining,total,time,

92,5123,4601,60.100014,28.187216,88.28723,25229.562281,

22,1333,1101,60.100014,28.657713,88.75773,3793.634835,

25,1525,1251,60.100014,28.688606,88.78862,4265.302057,

68,3843,3401,60.100014,28.601595,88.70161,14843.102616,

40,2325,2001,60.100014,27.709154,87.809166,7691.644449,

33,1944,1651,60.100014,28.390467,88.49048,5627.445637,

41,2415,2051,60.100014,28.958755,89.05877,6682.480789,

46,2737,2301,60.100014,28.09087,88.19089,8408.593857,

29,1723,1451,60.100014,29.18715,89.28716,4797.276954,

65,3629,3251,60.100014,27.144096,87.24411,14796.877688,

20,1185,1001,60.100014,27.917494,88.01751,3588.059995,

39,2269,1951,60.100014,28.487843,88.58786,6677.072226,

60,3375,3001,60.100014,28.111425,88.21144,12187.650026,

47,2685,2351,60.100014,26.974977,87.07499,8902.358408,

25,1444,1251,60.100014,28.526735,88.62675,4674.042794,

32,1898,1601,60.100014,29.348568,89.44858,5142.498955,

27,1583,1351,60.100014,27.462662,87.562675,4594.103973,

24,1457,1201,60.100014,28.50617,88.606186,3820.040542,

47,2683,2351,60.100014,26.925901,87.02592,8754.064319,

41,2379,2051,60.100014,27.62277,87.722786,7202.5171,

27,1592,1351,60.100014,29.241879,89.34189,4695.458466,

17,1048,851,60.100014,27.208939,87.30895,3430.143685,

28,1606,1401,60.100014,27.845165,87.945175,4707.459877,

32,1892,1601,60.100014,28.19816,88.29817,5536.186781,

58,3322,2901,60.100014,27.055664,87.15568,12310.051089,

45,2535,2251,60.100014,27.852854,87.952866,8976.607048,

46,2672,2301,60.100014,28.380236,88.48025,8384.134916,

39,2209,1951,60.100014,28.924086,89.0241,6872.17252,

45,2563,2251,60.100014,27.155418,87.25543,8023.545271,

48,2733,2401,60.100014,28.121109,88.22112,9165.949872,

25,1468,1251,60.100014,27.896809,87.996826,4375.176688,

35,2014,1751,60.100014,27.708733,87.80875,5916.886384,

25,1433,1251,60.100014,28.65817,88.75819,4141.935119,

20,1219,1001,60.100014,27.329475,87.42949,3592.588356,

69,3873,3451,60.100014,28.149063,88.24908,14956.593571,

15,965,751,60.100014,29.421778,89.52179,3000.29796,

24,1398,1201,60.100014,28.456104,88.55612,4331.777904,

76,4255,3801,60.100014,28.601265,88.70128,16756.260217,

21,1266,1051,60.100014,27.929214,88.02923,3744.405621,

20,1175,1001,60.100014,29.459766,89.559784,3502.879372,

31,1802,1551,60.100014,28.679487,88.7795,4883.615798,

36,2126,1801,60.100014,28.678822,88.77884,6723.323637,

60,3397,3001,60.100014,28.635195,88.73521,12433.339871,

24,1448,1201,60.100014,29.222246,89.32226,4232.425798,

12,764,601,60.100014,27.881008,87.98102,2575.732321,

22,1346,1101,60.100014,29.415207,89.51522,3420.995178,

26,1499,1301,60.100014,28.488283,88.588295,4745.62499,

28,1663,1401,60.100014,29.313623,89.413635,4631.239678,

40,2299,2001,60.100014,28.676796,88.77681,6655.547902,

87,4859,4351,60.100014,28.681398,88.78141,21487.942666,

58,3289,2901,60.100014,28.908373,89.008385,12414.103548,

16,985,801,60.100014,29.446423,89.54643,3025.658298,

28,1618,1401,60.100014,28.72621,88.826225,4393.066542,

25,1439,1251,60.100014,29.820549,89.92056,4149.823406,

18,1057,901,60.100014,30.168562,90.26858,3302.612968,

12,769,601,60.100014,28.447414,88.547424,2794.025778,

9,591,451,60.100014,27.633005,87.73302,2294.711223,

24,1386,1201,60.100014,27.856836,87.95685,4428.322948,

31,1788,1551,60.100014,28.870148,88.97016,5396.701615,

33,1915,1651,60.100014,28.187231,88.28725,5467.90031,

32,1846,1601,60.100014,28.979235,89.07925,5560.588858,

13,798,651,60.100014,28.847647,88.94766,2755.299527,

17,1093,851,60.100014,29.706667,89.80668,3064.200564,

50,2906,2501,60.100014,28.858072,88.958084,9823.043377,

36,2080,1801,60.100014,27.99971,88.099724,5751.104425,

24,1416,1201,60.100014,27.210705,87.310715,4323.091999,

14,873,701,60.100014,29.102806,89.20282,2956.039322,

62,3564,3101,60.100014,28.320404,88.42042,12641.482458,

54,3092,2701,60.100014,28.145689,88.245705,11042.09593,

34,1990,1701,60.100014,28.374031,88.474045,5700.102511,

