iterations,sampled,rrgsize,movement,remaining,total,time,

48,26106,2401,51.293888,3.9197145,55.213604,10044.558381,

45,23364,2251,37.38756,3.5963907,40.98395,9088.670015,

48,26421,2401,54.274433,0.0,54.274433,10314.708743,

59,32196,2952,51.76688,8.428263,60.195145,12762.326369,

40,21132,2001,29.982162,8.687544,38.66971,8751.279942,

45,23866,2252,56.78187,0.0,56.78187,9938.645259,

62,34281,3102,62.267925,4.6258206,66.893745,13363.847133,

82,44578,4101,48.243385,4.3743787,52.617764,18390.950332,

83,44434,4152,54.619133,1.945417,56.56455,21999.053826,

37,20136,1851,28.683329,9.995172,38.6785,8037.932663,

43,23502,2151,49.99385,0.0,49.99385,10016.619389,

59,31575,2951,49.786865,2.3697991,52.156666,11970.83502,

69,37177,3451,40.123962,6.4776316,46.601593,16852.476415,

44,23620,2201,38.953358,8.386201,47.339558,10008.766813,

46,24607,2301,38.689438,0.0,38.689438,9000.508389,

44,23717,2201,35.192677,4.667024,39.8597,10355.099274,

60,32434,3002,61.436844,10.34744,71.78429,12160.496057,

90,48950,4501,53.21708,4.4660335,57.683113,25619.680208,

45,25054,2252,50.12259,6.9611983,57.083786,8476.462902,

64,34800,3203,53.34483,2.4901328,55.83496,15744.963029,

72,38752,3601,54.57067,6.754691,61.325363,19550.744539,

50,27575,2501,52.83183,1.7674958,54.599323,10716.887868,

39,21043,1952,51.480663,0.0,51.480663,8088.659513,

46,24743,2301,42.773148,3.6257913,46.398937,10702.969621,

42,23217,2101,60.31261,0.0,60.31261,8762.074809,

48,26941,2401,62.173058,0.0,62.173058,12086.922927,

74,40149,3701,52.735367,4.898393,57.63376,17766.340959,

50,27890,2501,43.762936,4.5221133,48.28505,10093.313964,

51,27551,2552,56.785168,5.3387794,62.123947,11911.697386,

49,26939,2451,46.67682,0.0,46.67682,10147.969273,

41,22401,2052,37.27686,0.0,37.27686,7972.150112,

62,34241,3101,48.434753,10.201954,58.636707,13042.781283,

45,24824,2252,33.21739,4.42003,37.637417,10160.011764,

44,23642,2202,46.063545,0.14192595,46.20547,8724.288331,

51,27295,2551,50.507774,6.2693434,56.77712,10874.89407,

45,24467,2251,41.83081,0.7079824,42.53879,10674.062613,

47,26550,2352,45.244038,0.0,45.244038,10448.107909,

38,20390,1901,30.973373,5.7152777,36.688652,7418.721459,

46,24646,2304,44.900505,5.047986,49.94849,9763.008052,

41,22416,2051,36.469215,5.2039824,41.6732,7760.891529,

55,29822,2755,50.919704,3.8192089,54.738914,10711.977843,

52,28338,2601,52.755478,7.1803503,59.93583,14100.228133,

57,31050,2851,55.762722,5.4814157,61.244137,12225.871808,

59,32779,2952,55.460686,4.4089274,59.869614,13149.936986,

39,19884,1953,36.006622,9.834771,45.841393,8129.450364,

51,27727,2551,54.72792,1.9556158,56.683537,9620.806818,

80,43981,4001,51.816742,4.343022,56.159763,20499.763168,

49,26754,2451,49.576603,0.13314658,49.70975,10097.178788,

49,27134,2451,44.432693,4.7792587,49.211952,10753.10329,

55,30712,2752,54.65295,4.139649,58.7926,13489.808289,

69,37548,3451,41.05216,8.64429,49.69645,14572.930853,

83,44859,4151,51.440735,5.346705,56.78744,21843.68418,

40,21778,2001,35.381733,9.671243,45.052975,7935.427522,

60,32852,3001,57.585766,4.477883,62.06365,13724.739529,

45,25201,2253,30.336943,7.8988595,38.2358,8375.654448,

44,23723,2201,53.152153,0.0,53.152153,10756.836761,

49,27757,2453,52.72012,0.0,52.72012,10933.252021,

32,17753,1602,28.729418,13.47555,42.204967,5369.463267,

48,25844,2401,50.808292,7.079091,57.887383,10277.320317,

52,27111,2602,49.378815,0.54077303,49.919586,11960.170962,

77,41838,3851,45.610847,4.835515,50.44636,18498.911147,

45,24695,2251,39.183956,5.31236,44.496315,10759.90752,

42,22455,2103,37.249443,5.726458,42.975903,8622.333068,

47,26667,2353,55.682617,12.37699,68.05961,9854.208189,

47,25165,2352,51.223972,0.0,51.223972,10915.703266,

81,44063,4051,49.07336,6.954928,56.02829,19413.112764,

74,40056,3701,46.920815,9.161221,56.082035,15542.342874,

44,22964,2201,37.05032,0.0,37.05032,9152.010243,

66,36732,3301,40.67642,10.414281,51.0907,13514.938633,

38,20121,1901,32.243797,6.577021,38.82082,7633.909814,

52,29140,2602,54.20854,0.268623,54.477165,10874.091957,

45,25265,2251,58.12652,4.3642116,62.49073,9945.958786,

44,23256,2201,35.58779,3.9040298,39.49182,9165.79838,

40,22146,2001,29.11396,8.722666,37.836624,7464.123653,

47,25576,2351,43.030983,0.26602253,43.297005,10416.404473,

61,34190,3051,42.93492,9.885871,52.820793,12274.438675,

51,28427,2552,54.75405,4.957682,59.711735,12079.029906,

47,25351,2352,43.863487,0.9407517,44.804237,11078.095791,

48,26077,2402,42.697914,0.06824094,42.766155,12202.711586,

67,36809,3351,52.282074,9.76991,62.051983,14508.54271,

46,25000,2301,36.650448,1.5272554,38.177704,11004.016335,

49,26024,2451,54.782196,4.77464,59.556835,11229.285305,

37,19392,1851,32.59739,8.65539,41.252777,7389.380463,

54,28886,2701,51.917057,7.261828,59.178886,12716.453695,

43,23110,2153,38.36769,3.9059057,42.273598,9860.882158,

60,32271,3003,47.587303,5.360243,52.947548,14757.832032,

52,28611,2602,44.79628,0.0,44.79628,10842.659332,

39,21034,1952,40.925884,0.7173664,41.64325,8501.47483,

50,26890,2501,44.63029,0.0,44.63029,12096.000891,

128,70436,6401,41.173866,16.838158,58.012024,42431.173756,

43,23310,2151,35.14533,8.502322,43.64765,8853.935574,

62,34145,3101,49.593414,9.25827,58.851685,13745.158631,

41,22956,2051,40.223663,4.5223885,44.74605,7541.391979,

96,52019,4801,55.228256,4.9765267,60.204784,25536.261278,

123,65410,6151,49.555035,4.8621626,54.4172,40588.229523,

40,21535,2002,32.507736,10.108311,42.616047,8039.759229,

38,20787,1901,30.454521,5.6999393,36.15446,6974.088206,

62,34050,3101,46.097622,6.445613,52.543236,13946.407363,

48,27210,2401,37.95936,10.205193,48.16455,8399.97171,

47,25018,2351,42.557457,4.1279387,46.685394,9107.669397,
