iterations,sampled,rrgsize,movement,remaining,total,time,

56,3129,2801,40.01148,23.943617,63.955093,10570.083054,

60,3352,3001,31.631725,28.275068,59.90679,11006.648427,

51,2813,2551,42.735207,20.829466,63.564674,9069.86453,

46,2585,2301,40.49604,24.090874,64.586914,7470.870461,

47,2627,2351,38.40124,25.423227,63.82447,7825.332285,

42,2305,2101,36.238106,23.734396,59.972504,6037.357425,

60,3258,3001,42.509586,23.405642,65.91523,11505.234914,

57,3143,2851,39.64248,25.35145,64.99393,10494.97973,

86,4699,4301,39.90115,23.405443,63.306595,19530.02313,

34,1912,1701,44.891468,23.15261,68.04408,5809.31983,

60,3295,3001,40.936554,21.043633,61.980186,12239.266563,

65,3564,3251,37.70951,28.016224,65.72574,13304.885104,

65,3598,3251,41.70919,27.649612,69.3588,13318.962078,

78,4280,3901,41.182236,26.693716,67.87595,16454.688698,

91,5004,4551,37.71469,21.161621,58.876312,22381.289449,

41,2286,2051,40.941624,22.537327,63.47895,6562.253708,

37,2028,1851,43.001194,21.399202,64.4004,6144.00482,

70,3844,3501,44.09513,9.958352,54.053482,14569.236273,

67,3699,3351,33.668247,27.574474,61.24272,13535.332517,

66,3638,3301,31.587845,24.612492,56.200336,12632.641363,

48,2641,2401,31.60873,24.356756,55.965485,8149.622844,

73,4026,3651,43.42018,27.293821,70.714005,14623.711825,

47,2599,2351,36.812405,28.38524,65.19765,8470.024695,

49,2681,2451,32.264793,24.91508,57.17987,8027.68042,

48,2652,2401,40.84034,22.784485,63.624825,8140.066647,

79,4346,3951,44.91117,22.225582,67.13675,16406.076196,

43,2407,2151,41.09857,25.702085,66.80066,6737.367292,

67,3724,3351,42.390167,26.99457,69.384735,13573.301567,

58,3226,2901,41.897274,19.768818,61.666092,10985.460518,

35,1957,1751,44.024124,25.79699,69.82111,5851.879438,

63,3475,3151,38.569168,27.593332,66.1625,11213.703784,

54,2974,2701,35.020653,20.50953,55.53018,9721.38844,

56,3060,2801,33.55774,26.404547,59.962288,9998.480369,

55,2994,2751,43.03134,22.086706,65.11805,10244.192207,

71,3924,3551,39.4079,22.287037,61.69494,12905.097954,

60,3345,3001,40.349155,22.469189,62.818344,12006.825865,

46,2510,2301,41.343174,21.318707,62.66188,8198.4936,

48,2662,2401,41.30779,27.189665,68.49745,8302.362974,

32,1756,1601,44.496296,26.049698,70.54599,4803.010035,

85,4666,4251,32.185135,27.82075,60.005882,20793.97292,

54,2988,2701,45.521683,27.615528,73.13721,10122.976978,

37,2069,1851,39.37555,24.086493,63.462044,5938.949104,

35,1978,1751,38.851967,23.978704,62.830673,5056.200034,

41,2323,2051,45.567547,23.594751,69.1623,6619.621507,

55,3036,2751,39.29411,17.724289,57.0184,10234.115329,

64,3467,3201,44.78934,23.382357,68.1717,12203.789523,

47,2588,2351,34.73275,25.323256,60.056007,8207.422682,

55,3074,2751,41.784348,24.808199,66.592545,9852.824528,

34,1944,1701,41.520134,18.16193,59.682064,4914.008673,

38,2146,1901,32.60365,25.571707,58.175354,5552.815188,

61,3341,3051,40.75276,23.319042,64.07181,11628.339175,

64,3554,3201,41.95083,28.64799,70.598816,11265.5359,

104,5707,5201,40.64356,23.715992,64.35955,28780.733512,

90,4890,4501,40.09302,22.472965,62.565987,23085.214428,

49,2678,2451,42.890446,28.88256,71.77301,8292.047432,

