iterations,sampled,rrgsize,movement,remaining,total,time
36,20100,1802,54.9,27.699295,82.5993,8646.024106
40,23359,2002,54.9,22.372871,77.27287,9033.99368
45,26172,2252,54.9,19.7163,74.6163,10300.007841
54,30774,2702,63.34999,22.438698,85.78869,12028.94363
45,26371,2252,63.34999,23.819267,87.16926,9881.235513
42,24422,2102,63.34999,20.079012,83.429,9112.641887
43,24674,2152,58.949993,24.936693,83.88669,10535.660331
39,23156,1952,58.949993,19.806358,78.75635,8546.346191
44,24422,2202,58.949993,23.595148,82.54514,9505.457818
36,21194,1802,63.349995,24.418673,87.76867,8757.126574
37,22231,1852,63.349995,23.700151,87.05015,8679.884635
43,23618,2152,63.349995,22.279299,85.629295,9581.295287
33,20159,1652,64.950005,19.797155,84.74716,9125.974578
46,26101,2302,64.950005,19.0251,83.975105,10036.521379
38,21814,1902,64.950005,22.855383,87.80539,8711.402166
31,17749,1552,66.05001,19.890059,85.94007,7164.629334
32,17785,1602,66.05001,21.673351,87.72336,7632.328847
44,27075,2202,66.05001,21.905668,87.95568,10093.324367
48,26824,2402,50.149998,24.020819,74.170815,11400.253676
49,28076,2452,50.149998,24.469831,74.61983,10883.37492
52,30496,2602,50.149998,20.733423,70.88342,11455.216877
54,31311,2702,56.75,23.382002,80.132,12670.54726
50,30340,2502,56.75,23.410532,80.16053,11295.243785
42,23731,2102,56.75,18.963705,75.71371,9604.023884
38,21730,1902,64.04999,25.69478,89.74477,8942.291784
42,24017,2102,64.04999,18.037067,82.08705,9480.549027
41,23741,2052,64.04999,24.817656,88.867645,9182.724167
36,20335,1802,57.699997,22.84652,80.54652,8586.535204
50,27704,2502,57.699997,22.960714,80.66071,11533.288169
40,22944,2002,57.699997,22.86542,80.565414,8828.468748
56,33075,2802,60.250004,21.43041,81.68041,12184.245555
48,26920,2402,60.250004,27.460165,87.71017,10962.810396
38,22695,1902,60.250004,25.604374,85.85438,8105.991978
53,31110,2652,53.799995,28.353771,82.15376,10845.251552
