iterations,sampled,rrgsize,movement,remaining,total,time
40,2251,2001,64.80888,16.603703,81.41258,9500.229508
40,2209,2001,42.429615,22.223696,64.65331,9031.907301
31,1726,1551,27.001326,23.016027,50.017353,6472.542519
37,2039,1851,31.364868,22.496675,53.86154,9999.802711
27,1481,1351,27.10279,17.138395,44.241188,5780.375657
30,1657,1501,31.304604,13.028887,44.33349,6990.480316
30,1607,1501,37.66359,21.84645,59.51004,6354.301757
38,2102,1901,46.15147,21.759203,67.910675,10074.174849
34,1857,1701,34.708935,19.95406,54.662994,7863.70346
55,2998,2751,76.03741,16.930002,92.96741,14496.95209
34,1856,1701,23.50936,24.543837,48.053196,7435.595684
35,1870,1751,35.573532,26.503668,62.0772,8648.912086
46,2503,2301,53.516953,13.869006,67.385956,12665.625858
33,1793,1651,36.48374,19.736977,56.22072,8243.715019
26,1436,1301,22.744946,20.662987,43.407932,5636.261297
29,1596,1451,43.32993,21.511219,64.84115,5839.41525
31,1685,1551,37.708904,21.38408,59.092987,5569.186556
30,1766,1501,26.185913,16.834991,43.020905,6186.256744
45,2416,2251,52.39631,11.315002,63.71131,11931.056244
36,2049,1801,33.85098,20.502392,54.35337,8864.820562
27,1464,1351,28.447401,11.700409,40.14781,5989.477746
28,1587,1401,23.81302,15.752085,39.565105,5510.704069
39,2168,1951,34.396553,18.143698,52.540253,8774.266193
22,1221,1101,23.269756,13.931994,37.20175,4016.508122
37,2056,1851,34.59799,21.735891,56.333878,9212.154055
25,1382,1251,23.385923,19.278082,42.664005,5201.946308
44,2384,2201,81.716835,20.645298,102.36214,11493.780568
42,2346,2101,36.085323,17.698864,53.784187,10566.792348
41,2246,2051,39.247993,23.119387,62.36738,8486.324782
59,3268,2951,74.456566,18.273811,92.73038,13668.40367
52,2880,2601,75.069214,17.116793,92.186005,14142.609808
45,2472,2251,40.721325,22.052563,62.773888,11377.129721
33,1814,1651,38.678074,20.15198,58.830055,6722.083608
39,2205,1951,35.036453,13.814739,48.851192,9137.603679
49,2690,2451,61.408577,21.757957,83.166534,11772.031126
44,2482,2201,52.792763,19.375563,72.16833,11051.932167
25,1356,1251,27.574146,21.395988,48.970135,5160.476212
29,1592,1451,43.98711,18.406155,62.393265,6492.338558
25,1364,1251,26.913708,14.973122,41.88683,4428.323232
25,1409,1251,24.569223,22.5692,47.138424,4556.523689
39,2172,1951,48.080265,19.211004,67.29127,8632.845786
32,1764,1601,38.14908,17.483381,55.63246,6127.24286
34,1891,1701,38.52772,22.071737,60.599457,7751.028281
31,1733,1551,32.347164,19.983162,52.330326,6953.679855
30,1645,1501,29.695185,22.540628,52.235813,6441.99852
55,3075,2751,67.50429,11.247598,78.751884,16300.584285
47,2575,2351,63.640053,16.459543,80.099594,12148.234149
29,1655,1451,39.625065,17.688942,57.314007,6494.951653
53,2939,2651,82.323524,19.827787,102.15131,13108.101557
37,2005,1851,45.119278,19.897654,65.01693,9203.984527
25,1363,1251,26.288439,18.97199,45.26043,5103.44512
37,2026,1851,45.38631,24.803986,70.19029,8223.234294
23,1245,1151,27.062376,22.111135,49.17351,4180.742071
29,1597,1451,40.60636,18.947428,59.553787,6623.907902
33,1788,1651,39.281433,14.454843,53.736275,7287.160905
22,1261,1101,21.722692,17.264862,38.987556,4235.323915
38,2058,1901,42.48514,20.782116,63.267258,9329.907035
30,1677,1501,24.541628,14.071616,38.613243,6799.106084
32,1782,1601,27.573307,13.500355,41.07366,7069.820233
26,1456,1301,24.856594,15.632324,40.48892,5257.640507
35,1925,1751,43.407967,19.273956,62.681923,8059.476349
32,1761,1601,42.733425,14.716919,57.450344,7386.245381
24,1357,1201,23.475843,10.12385,33.599693,4540.334523
30,1675,1501,31.803043,17.98566,49.788704,5874.629568
27,1472,1351,30.34039,21.26749,51.60788,4356.097627
39,2149,1951,58.93516,17.918402,76.85356,8457.777707
36,1965,1801,49.150063,17.228092,66.37816,8168.218055
25,1378,1251,25.034733,21.68197,46.716705,5456.497449
29,1597,1451,25.258947,20.667904,45.92685,6022.888386
25,1361,1251,24.62594,22.817,47.44294,4874.399652
30,1632,1501,34.499527,21.652134,56.15166,6147.913535
31,1711,1551,31.435465,18.674534,50.11,6834.342329
43,2406,2151,53.547134,14.9705925,68.51773,10222.639331
32,1760,1601,47.61072,17.806074,65.416794,5747.892172
48,2713,2401,77.35311,18.407047,95.76016,12386.345795
48,2607,2401,53.587387,15.956072,69.54346,10927.636905
26,1410,1301,27.242296,20.69766,47.939957,4685.896458
31,1705,1551,34.52988,22.033825,56.563705,6330.784669
31,1711,1551,30.121351,20.455181,50.57653,6060.465831
32,1748,1601,26.285297,20.16736,46.45266,7181.226768
31,1724,1551,26.946781,21.684534,48.631317,6789.003226
35,2016,1751,36.552322,6.5703726,43.122696,6882.570656
25,1361,1251,25.218185,23.779762,48.997948,4587.540259
66,3767,3301,76.480644,16.246254,92.7269,18937.005657
21,1160,1051,27.752235,15.802755,43.554993,4743.783102
24,1326,1201,21.794771,19.960548,41.755318,4317.835547
21,1122,1051,23.116417,19.729631,42.846046,4111.668161
38,2178,1901,34.30152,16.061317,50.36284,7679.374963
33,1884,1651,30.675108,21.854017,52.529125,8259.1752
29,1620,1451,28.727379,7.9192367,36.646614,5759.293943
32,1783,1601,30.460974,20.21685,50.677826,6148.877866
34,1950,1701,29.04132,19.854918,48.89624,7560.724123
44,2410,2201,68.256065,20.43792,88.693985,10511.959795
52,2889,2601,58.833714,17.042582,75.8763,12086.121563
48,2628,2401,59.685333,19.94637,79.6317,9917.658965
35,1995,1751,28.006672,21.86872,49.87539,7813.799903
36,1968,1801,43.06498,20.565725,63.630707,7684.163962
44,2423,2201,65.6152,18.458584,84.07378,10619.956894
46,2540,2301,59.713123,17.984537,77.69766,9963.983037
32,1750,1601,39.144524,22.632895,61.77742,5300.539498
57,3224,2851,51.074482,18.94601,70.02049,11333.877062
27,1489,1351,23.636044,17.000702,40.636745,4764.190122
26,1470,1301,22.302103,23.90858,46.210686,5066.650537
38,2145,1901,46.318493,13.067657,59.38615,7674.324866
34,1962,1701,49.784634,16.23308,66.017715,7074.461771
35,1942,1751,38.227234,16.392385,54.61962,7503.651874
34,1836,1701,37.84826,21.939238,59.7875,7098.390295
56,3055,2801,68.53864,19.133436,87.67208,11626.53519
58,3222,2901,66.332115,20.556192,86.888306,14985.737268
43,2380,2151,57.039333,19.10401,76.14334,10092.296562
34,1845,1701,53.033012,15.1757145,68.208725,7657.035696
41,2284,2051,57.129215,11.822913,68.952126,8492.766322
36,1952,1801,37.525356,17.3085,54.833855,6678.093575
64,3484,3201,58.42444,15.607158,74.03159,14861.605176
44,2461,2201,62.743862,22.481956,85.225815,10045.515945
36,2017,1801,49.845566,11.30921,61.154778,8192.243511
40,2210,2001,54.96819,14.401996,69.370186,9198.559959
29,1574,1451,24.417448,14.056659,38.474106,5781.238933
36,1971,1801,45.014328,22.244553,67.25888,7328.053418
34,1880,1701,43.46871,21.398094,64.866806,6988.083273
29,1678,1451,34.165176,17.317842,51.483017,6087.95771
61,3406,3051,98.49731,17.352262,115.84957,14610.129877
36,2034,1801,55.21335,16.88177,72.095116,7495.60274
30,1681,1501,32.59552,17.894232,50.489754,5847.258839
38,2065,1901,49.891304,17.5792,67.470505,9236.405352
39,2222,1951,54.272724,19.557737,73.83046,9543.305104
47,2575,2351,57.928814,16.490063,74.41888,9815.706457
47,2595,2351,83.986145,20.825401,104.81155,10739.247277
40,2181,2001,53.784805,16.647049,70.431854,8952.670576
37,2045,1851,46.98941,14.594925,61.584335,8187.878702
37,2029,1851,35.550816,20.73377,56.284584,7714.764151
24,1328,1201,24.304419,19.955645,44.260063,4702.039161
39,2161,1951,35.874405,23.28039,59.154793,9015.925095
54,3006,2701,61.177757,21.564407,82.742165,15716.245559
34,1868,1701,52.88397,17.008778,69.892746,7083.696453
36,2107,1801,37.507122,19.014608,56.52173,7006.230929
31,1716,1551,34.01574,25.352839,59.368576,6365.358778
31,1728,1551,31.315006,18.915375,50.23038,5780.617682
