x1,y1,x2,y2
0.0,1.0,6.0,1.0
6.0,1.0,6.0,2.0
6.0,2.0,0.0,2.0
0.0,2.0,0.0,1.0
0.0,0.0,2.0,0.0
2.0,0.0,2.0,1.0
2.0,1.0,0.0,1.0
0.0,1.0,0.0,0.0
0.0,2.0,2.0,2.0
2.0,2.0,2.0,3.0
2.0,3.0,0.0,3.0
0.0,3.0,0.0,2.0
2.0,0.0,4.0,0.0
4.0,0.0,4.0,1.0
4.0,1.0,2.0,1.0
2.0,1.0,2.0,0.0
2.0,2.0,4.0,2.0
4.0,2.0,4.0,3.0
4.0,3.0,2.0,3.0
2.0,3.0,2.0,2.0
4.0,0.0,6.0,0.0
6.0,0.0,6.0,1.0
6.0,1.0,4.0,1.0
4.0,1.0,4.0,0.0
4.0,2.0,6.0,2.0
6.0,2.0,6.0,3.0
6.0,3.0,4.0,3.0
4.0,3.0,4.0,2.0
0.28451866,0.13355772,0.48451868,0.13355772
0.48451868,0.13355772,0.48451868,0.33355772
0.48451868,0.33355772,0.28451866,0.33355772
0.28451866,0.33355772,0.28451866,0.13355772
0.91924417,2.4818761,1.1192442,2.4818761
1.1192442,2.4818761,1.1192442,2.6818762
1.1192442,2.6818762,0.91924417,2.6818762
0.91924417,2.6818762,0.91924417,2.4818761
3.3859785,0.048724692,3.5859785,0.048724692
3.5859785,0.048724692,3.5859785,0.2487247
3.5859785,0.2487247,3.3859785,0.2487247
3.3859785,0.2487247,3.3859785,0.048724692
2.1060452,2.4842246,2.306045,2.4842246
2.306045,2.4842246,2.306045,2.6842244
2.306045,2.6842244,2.1060452,2.6842244
2.1060452,2.6842244,2.1060452,2.4842246
4.4177284,0.046594217,4.6177287,0.046594217
4.6177287,0.046594217,4.6177287,0.24659422
4.6177287,0.24659422,4.4177284,0.24659422
4.4177284,0.24659422,4.4177284,0.046594217
4.550696,2.464488,4.7506957,2.464488
4.7506957,2.464488,4.7506957,2.6644878
4.7506957,2.6644878,4.550696,2.6644878
4.550696,2.6644878,4.550696,2.464488
0.7629962,0.04387284,1.4629962,0.04387284
1.4629962,0.04387284,1.4629962,0.54387283
1.4629962,0.54387283,0.7629962,0.54387283
0.7629962,0.54387283,0.7629962,0.04387284
0.42725638,2.3623743,0.9272564,2.3623743
0.9272564,2.3623743,0.9272564,3.0623744
0.9272564,3.0623744,0.42725638,3.0623744
0.42725638,3.0623744,0.42725638,2.3623743
2.8828287,0.0,3.3828287,0.0
3.3828287,0.0,3.3828287,0.6194232
3.3828287,0.6194232,2.8828287,0.6194232
2.8828287,0.6194232,2.8828287,0.0
3.4372227,2.378973,3.9372227,2.378973
3.9372227,2.378973,3.9372227,3.078973
3.9372227,3.078973,3.4372227,3.078973
3.4372227,3.078973,3.4372227,2.378973
5.441561,0.0,5.941561,0.0
5.941561,0.0,5.941561,0.6448082
5.941561,0.6448082,5.441561,0.6448082
5.441561,0.6448082,5.441561,0.0
5.126817,2.3832383,5.626817,2.3832383
5.626817,2.3832383,5.626817,3.0832384
5.626817,3.0832384,5.126817,3.0832384
5.126817,3.0832384,5.126817,2.3832383
