iterations,sampled,rrgsize,movement,remaining,total,time
38,20950,1901,28.996664,0.13776396,29.134428,8106.973161
30,16712,1501,24.602133,7.6037335,32.205868,6493.545382
36,19375,1801,31.303589,0.08643687,31.390026,8126.39486
31,16813,1551,22.129187,4.403893,26.53308,6634.484957
55,31642,2751,32.787167,1.8558095,34.642975,12377.83071
38,20578,1901,34.48475,0,34.48475,8621.773589
31,17012,1551,28.052362,1.6369334,29.689297,6265.702211
34,18627,1701,25.402742,2.1262774,27.52902,7695.682101
38,21896,1902,36.095722,4.7772007,40.872925,8926.868577
29,15287,1451,22.877043,0,22.877043,6436.348201
33,17734,1651,26.856989,1.543222,28.400211,6696.653924
37,19908,1851,25.94801,0,25.94801,7432.784769
32,17809,1601,24.702538,0.359229,25.061766,6227.811109
35,18860,1751,24.532654,0,24.532654,7622.349461
36,19981,1801,24.92083,0.31404564,25.234875,7332.716727
33,18055,1651,30.35329,1.1142778,31.467567,6582.41963
35,18996,1751,34.005352,0,34.005352,7301.100332
33,18102,1651,28.497547,0,28.497547,7241.581413
40,21522,2001,24.717196,1.6425515,26.359747,8448.282861
39,20657,1952,32.133118,0,32.133118,8775.553929
39,21670,1951,32.80236,0,32.80236,8599.20804
42,22602,2101,33.899334,0.17552875,34.074863,8781.440711
37,20507,1851,26.649794,0,26.649794,7057.094743
34,18673,1701,32.083714,0.17101905,32.254734,7172.481429
37,19598,1851,26.842758,0.83679235,27.67955,8215.508842
35,18935,1751,29.142635,1.048234,30.190868,6986.660863
32,16986,1601,23.28783,0.93512833,24.22296,6735.253277
38,20575,1901,26.476355,0.068344735,26.544699,8224.373714
34,18639,1701,24.717464,1.0632395,25.780704,7030.275727
32,17540,1601,22.908867,3.5535672,26.462435,6961.583443
36,20203,1801,24.673029,3.142003,27.815033,6265.27056
28,15194,1401,21.985044,3.6933396,25.678385,5239.14484
52,28699,2601,38.904797,4.976217,43.881012,12074.456256
33,17872,1651,26.552834,1.8404855,28.393318,6030.212345
32,17730,1602,26.231653,4.972462,31.204115,5843.675531
37,20060,1852,31.661629,0,31.661629,6914.941201
35,19961,1753,30.27147,2.991833,33.2633,6609.979836
32,17644,1601,24.485577,0.99278903,25.478365,5708.476381
33,17422,1651,30.468872,0,30.468872,6941.783783
34,19083,1701,28.532713,0,28.532713,6342.578306
31,17772,1551,25.094336,1.7121727,26.806509,5852.583017
34,18285,1701,33.024418,0,33.024418,6577.765916
28,15521,1402,24.30176,3.5983143,27.900074,5638.885844
35,19722,1751,33.264275,0.20916824,33.473442,7536.61955
28,15692,1401,22.639359,4.4713984,27.110756,6189.914294
41,21746,2051,30.768398,1.8415009,32.609898,9432.399166
33,18169,1652,27.039278,0.27383974,27.313118,7640.734875
