iterations,sampled,rrgsize,movement,remaining,total,time
46,2588,2301,33.488613,20.895586,54.3842,8134.292149
50,2954,2501,42.97478,18.667984,61.642765,10280.029059
32,1810,1601,45.854027,20.76236,66.61639,5860.668958
29,1622,1451,40.805923,16.754723,57.560646,5294.258315
30,1740,1501,35.98674,12.228797,48.215538,5640.000272
44,2450,2201,39.861347,15.639402,55.500748,8748.447722
31,1810,1551,41.279305,17.656824,58.936127,6100.172363
35,2026,1751,39.233337,17.900667,57.134003,6676.760014
33,1861,1651,44.947773,17.044092,61.991867,7450.660323
33,1813,1651,41.853523,13.198426,55.05195,6353.67009
29,1567,1451,45.68826,21.074366,66.76263,6200.180366
25,1370,1251,27.20455,24.25981,51.46436,4654.858102
26,1458,1301,36.63652,21.07656,57.71308,4619.606713
35,1970,1751,37.42164,18.095875,55.517513,6933.955469
26,1468,1301,38.507088,20.559532,59.06662,5287.949201
24,1353,1201,31.120165,18.993973,50.114136,4638.584627
29,1655,1451,39.431675,17.727093,57.158768,5596.677995
32,1805,1601,44.85203,21.154907,66.00694,6713.722254
47,2744,2351,42.86929,20.776371,63.64566,10292.93841
31,1916,1551,34.844463,16.957008,51.80147,5992.777405
23,1290,1151,33.65827,24.786251,58.444523,4124.065877
35,1934,1751,41.976715,14.638761,56.615475,7367.122561
40,2252,2001,31.486414,19.702026,51.18844,7084.059075
27,1496,1351,39.56869,25.432163,65.000854,5089.841907
29,1589,1451,41.70514,21.673418,63.378555,5508.888971
43,2365,2151,36.862564,25.124098,61.986664,8955.412668
30,1711,1501,32.380047,13.724953,46.105,5040.284755
23,1267,1151,25.180885,13.753296,38.93418,4465.177053
27,1535,1351,36.39842,18.568464,54.96688,5011.281366
24,1380,1201,29.929325,13.979369,43.908695,4073.242749
24,1386,1201,23.883911,21.218468,45.10238,4324.222479
48,2731,2401,36.48669,20.331654,56.818344,8263.292121
31,1735,1551,33.504433,20.580053,54.084488,5172.145024
70,3952,3501,42.998993,21.634119,64.63311,15399.551953
36,2035,1801,43.714397,15.013284,58.72768,6801.671925
31,1756,1551,46.254887,24.000387,70.25527,5139.215644
25,1461,1251,28.099281,22.160585,50.259865,5103.427057
23,1267,1151,37.141403,20.69337,57.834774,4141.683146
46,2575,2301,35.667,26.407206,62.074203,8665.889811
33,1810,1651,37.29511,22.348211,59.64332,6136.687522
44,2446,2201,40.291237,24.032328,64.32356,8922.730871
43,2495,2151,38.415092,24.819809,63.2349,7911.771062
31,1780,1551,29.451317,15.511955,44.963272,6601.246957
23,1315,1151,25.702873,25.916327,51.6192,4944.922837
