x1,y1,x2,y2
0.0,1.0,6.0,1.0
6.0,1.0,6.0,2.0
6.0,2.0,0.0,2.0
0.0,2.0,0.0,1.0
0.0,0.0,2.0,0.0
2.0,0.0,2.0,1.0
2.0,1.0,0.0,1.0
0.0,1.0,0.0,0.0
0.0,2.0,2.0,2.0
2.0,2.0,2.0,3.0
2.0,3.0,0.0,3.0
0.0,3.0,0.0,2.0
2.0,0.0,4.0,0.0
4.0,0.0,4.0,1.0
4.0,1.0,2.0,1.0
2.0,1.0,2.0,0.0
2.0,2.0,4.0,2.0
4.0,2.0,4.0,3.0
4.0,3.0,2.0,3.0
2.0,3.0,2.0,2.0
4.0,0.0,6.0,0.0
6.0,0.0,6.0,1.0
6.0,1.0,4.0,1.0
4.0,1.0,4.0,0.0
4.0,2.0,6.0,2.0
6.0,2.0,6.0,3.0
6.0,3.0,4.0,3.0
4.0,3.0,4.0,2.0
0.0,0.0,0.2,0.0
0.2,0.0,0.2,0.2
0.2,0.2,0.0,0.2
0.0,0.2,0.0,0.0
1.75,2.8,1.95,2.8
1.95,2.8,1.95,3.0
1.95,3.0,1.75,3.0
1.75,3.0,1.75,2.8
2.05,0.0,2.25,0.0
2.25,0.0,2.25,0.2
2.25,0.2,2.05,0.2
2.05,0.2,2.05,0.0
2.05,2.8,2.25,2.8
2.25,2.8,2.25,3.0
2.25,3.0,2.05,3.0
2.05,3.0,2.05,2.8
4.05,0.75,4.25,0.75
4.25,0.75,4.25,0.95
4.25,0.95,4.05,0.95
4.05,0.95,4.05,0.75
5.75,2.8,5.95,2.8
5.95,2.8,5.95,3.0
5.95,3.0,5.75,3.0
5.75,3.0,5.75,2.8
0.1,0.1,0.8,0.1
0.8,0.1,0.8,0.6
0.8,0.6,0.1,0.6
0.1,0.6,0.1,0.1
1.4,2.2,1.9,2.2
1.9,2.2,1.9,2.9
1.9,2.9,1.4,2.9
1.4,2.9,1.4,2.2
2.1,0.1,2.6,0.1
2.6,0.1,2.6,0.8
2.6,0.8,2.1,0.8
2.1,0.8,2.1,0.1
2.1,2.4,2.8,2.4
2.8,2.4,2.8,2.9
2.8,2.9,2.1,2.9
2.1,2.9,2.1,2.4
5.4,0.1,5.9,0.1
5.9,0.1,5.9,0.8
5.9,0.8,5.4,0.8
5.4,0.8,5.4,0.1
5.4,2.2,5.9,2.2
5.9,2.2,5.9,2.9
5.9,2.9,5.4,2.9
5.4,2.9,5.4,2.2
