x1,y1,x2,y2
0.0,0.0,6.0,0.0
6.0,0.0,6.0,3.0
6.0,3.0,0.0,3.0
0.0,3.0,0.0,0.0
0.2,0.2,0.7,0.2
0.7,0.2,0.7,0.5
0.7,0.5,0.2,0.5
0.2,0.5,0.2,0.2
1.5,2.3,1.8,2.3
1.8,2.3,1.8,2.8
1.8,2.8,1.5,2.8
1.5,2.8,1.5,2.3
2.2,0.2,2.5,0.2
2.5,0.2,2.5,0.7
2.5,0.7,2.2,0.7
2.2,0.7,2.2,0.2
2.2,2.5,2.7,2.5
2.7,2.5,2.7,2.8
2.7,2.8,2.2,2.8
2.2,2.8,2.2,2.5
5.5,0.2,5.8,0.2
5.8,0.2,5.8,0.7
5.8,0.7,5.5,0.7
5.5,0.7,5.5,0.2
5.5,2.3,5.8,2.3
5.8,2.3,5.8,2.8
5.8,2.8,5.5,2.8
5.5,2.8,5.5,2.3
0.0,0.95,0.8,0.95
0.8,0.95,0.8,1.05
0.8,1.05,0.0,1.05
0.0,1.05,0.0,0.95
1.2,0.95,2.0,0.95
2.0,0.95,2.0,1.05
2.0,1.05,1.2,1.05
1.2,1.05,1.2,0.95
0.0,1.95,0.8,1.95
0.8,1.95,0.8,2.05
0.8,2.05,0.0,2.05
0.0,2.05,0.0,1.95
1.2,1.95,2.0,1.95
2.0,1.95,2.0,2.05
2.0,2.05,1.2,2.05
1.2,2.05,1.2,1.95
2.0,0.95,2.8,0.95
2.8,0.95,2.8,1.05
2.8,1.05,2.0,1.05
2.0,1.05,2.0,0.95
3.2,0.95,4.0,0.95
4.0,0.95,4.0,1.05
4.0,1.05,3.2,1.05
3.2,1.05,3.2,0.95
2.0,1.95,2.8,1.95
2.8,1.95,2.8,2.05
2.8,2.05,2.0,2.05
2.0,2.05,2.0,1.95
3.2,1.95,4.0,1.95
4.0,1.95,4.0,2.05
4.0,2.05,3.2,2.05
3.2,2.05,3.2,1.95
4.0,0.95,4.8,0.95
4.8,0.95,4.8,1.05
4.8,1.05,4.0,1.05
4.0,1.05,4.0,0.95
5.2,0.95,6.0,0.95
6.0,0.95,6.0,1.05
6.0,1.05,5.2,1.05
5.2,1.05,5.2,0.95
4.0,1.95,4.8,1.95
4.8,1.95,4.8,2.05
4.8,2.05,4.0,2.05
4.0,2.05,4.0,1.95
5.2,1.95,6.0,1.95
6.0,1.95,6.0,2.05
6.0,2.05,5.2,2.05
5.2,2.05,5.2,1.95
1.95,0.0,2.05,0.0
2.05,0.0,2.05,0.95
2.05,0.95,1.95,0.95
1.95,0.95,1.95,0.0
1.95,2.05,2.05,2.05
2.05,2.05,2.05,3.0
2.05,3.0,1.95,3.0
1.95,3.0,1.95,2.05
3.95,0.0,4.05,0.0
4.05,0.0,4.05,0.95
4.05,0.95,3.95,0.95
3.95,0.95,3.95,0.0
3.95,2.05,4.05,2.05
4.05,2.05,4.05,3.0
4.05,3.0,3.95,3.0
3.95,3.0,3.95,2.05
