x1,y1,x2,y2
0.0,0.0,6.0,0.0
6.0,0.0,6.0,3.0
6.0,3.0,0.0,3.0
0.0,3.0,0.0,0.0
0.0,0.95,0.8,0.95
0.8,0.95,0.8,1.05
0.8,1.05,0.0,1.05
0.0,1.05,0.0,0.95
1.2,0.95,2.0,0.95
2.0,0.95,2.0,1.05
2.0,1.05,1.2,1.05
1.2,1.05,1.2,0.95
0.0,1.95,0.8,1.95
0.8,1.95,0.8,2.05
0.8,2.05,0.0,2.05
0.0,2.05,0.0,1.95
1.2,1.95,2.0,1.95
2.0,1.95,2.0,2.05
2.0,2.05,1.2,2.05
1.2,2.05,1.2,1.95
2.0,0.95,2.8,0.95
2.8,0.95,2.8,1.05
2.8,1.05,2.0,1.05
2.0,1.05,2.0,0.95
3.2,0.95,4.0,0.95
4.0,0.95,4.0,1.05
4.0,1.05,3.2,1.05
3.2,1.05,3.2,0.95
2.0,1.95,2.8,1.95
2.8,1.95,2.8,2.05
2.8,2.05,2.0,2.05
2.0,2.05,2.0,1.95
3.2,1.95,4.0,1.95
4.0,1.95,4.0,2.05
4.0,2.05,3.2,2.05
3.2,2.05,3.2,1.95
4.0,0.95,4.8,0.95
4.8,0.95,4.8,1.05
4.8,1.05,4.0,1.05
4.0,1.05,4.0,0.95
5.2,0.95,6.0,0.95
6.0,0.95,6.0,1.05
6.0,1.05,5.2,1.05
5.2,1.05,5.2,0.95
4.0,1.95,4.8,1.95
4.8,1.95,4.8,2.05
4.8,2.05,4.0,2.05
4.0,2.05,4.0,1.95
5.2,1.95,6.0,1.95
6.0,1.95,6.0,2.05
6.0,2.05,5.2,2.05
5.2,2.05,5.2,1.95
1.95,0.0,2.05,0.0
2.05,0.0,2.05,0.95
2.05,0.95,1.95,0.95
1.95,0.95,1.95,0.0
1.95,2.05,2.05,2.05
2.05,2.05,2.05,3.0
2.05,3.0,1.95,3.0
1.95,3.0,1.95,2.05
3.95,0.0,4.05,0.0
4.05,0.0,4.05,0.95
4.05,0.95,3.95,0.95
3.95,0.95,3.95,0.0
3.95,2.05,4.05,2.05
4.05,2.05,4.05,3.0
4.05,3.0,3.95,3.0
3.95,3.0,3.95,2.05
0.86299616,0.14387284,1.3629962,0.14387284
1.3629962,0.14387284,1.3629962,0.44387284
1.3629962,0.44387284,0.86299616,0.44387284
0.86299616,0.44387284,0.86299616,0.14387284
0.52725637,2.4623744,0.8272564,2.4623744
0.8272564,2.4623744,0.8272564,2.9623744
0.8272564,2.9623744,0.52725637,2.9623744
0.52725637,2.9623744,0.52725637,2.4623744
2.9828286,0.019423205,3.2828286,0.019423205
3.2828286,0.019423205,3.2828286,0.5194232
3.2828286,0.5194232,2.9828286,0.5194232
2.9828286,0.5194232,2.9828286,0.019423205
3.5372226,2.478973,3.8372228,2.478973
3.8372228,2.478973,3.8372228,2.978973
3.8372228,2.978973,3.5372226,2.978973
3.5372226,2.978973,3.5372226,2.478973
5.541561,0.044808194,5.841561,0.044808194
5.841561,0.044808194,5.841561,0.5448082
5.841561,0.5448082,5.541561,0.5448082
5.541561,0.5448082,5.541561,0.044808194
5.226817,2.4832385,5.5268173,2.4832385
5.5268173,2.4832385,5.5268173,2.9832385
5.5268173,2.9832385,5.226817,2.9832385
5.226817,2.9832385,5.226817,2.4832385
