iterations,sampled,rrgsize,movement,remaining,total,time
40,2292,2002,54.9,18.194405,73.094406,8636.784448
41,2366,2052,54.9,27.223322,82.12332,9200.340402
49,2765,2452,54.9,25.236012,80.13602,10249.549063
54,3233,2702,63.34999,21.84021,85.1902,11921.128138
49,2733,2452,63.34999,18.940428,82.29042,9902.064157
41,2400,2052,63.34999,20.324564,83.67455,9019.452562
49,2736,2452,58.949993,20.623125,79.57312,10362.964856
31,1851,1552,58.949993,0,58.949993,8625.271566
43,2456,2152,58.949993,19.441288,78.39128,9611.387501
39,2198,1952,63.349995,18.502502,81.85249,8574.315657
40,2233,2002,63.349995,21.617168,84.96716,8510.911523
43,2426,2152,63.349995,0,63.349995,9742.135827
43,2544,2152,64.950005,17.280209,82.23021,9292.541922
45,2609,2252,64.950005,24.008478,88.95848,10057.582237
41,2414,2052,64.950005,18.638243,83.58825,8642.145159
31,1811,1552,66.05001,19.386099,85.43611,7307.624649
35,2009,1752,66.05001,20.585466,86.635475,7726.474488
50,2922,2502,66.05001,23.70025,89.75026,10341.423623
49,2984,2452,50.149998,20.37862,70.52862,11550.010829
51,2926,2552,50.149998,22.133163,72.28316,10785.357348
55,3111,2752,50.149998,22.70601,72.85601,11516.064663
56,3227,2802,56.75,23.632296,80.38229,12483.418121
54,3186,2702,56.75,18.106796,74.8568,11385.444221
47,2753,2352,56.75,18.854218,75.60422,9722.458006
40,2280,2002,64.04999,23.16031,87.2103,8757.790398
44,2564,2202,64.04999,25.23524,89.28523,9397.545083
38,2226,1902,64.04999,21.7768,85.82679,9383.531738
39,2286,1952,57.699997,21.796381,79.496376,8654.448579
49,2791,2452,57.699997,22.157095,79.85709,11649.463183
38,2339,1902,57.699997,20.969797,78.66979,8760.516273
58,3369,2902,60.250004,25.645376,85.89538,12120.97407
54,3083,2702,60.250004,20.38344,80.633446,10987.053848
41,2459,2052,60.250004,19.007011,79.25702,8132.456333
53,3081,2652,53.799995,28.095766,81.89576,11019.975744
53,3048,2652,53.799995,28.84909,82.649086,11188.302745
40,2475,2002,53.799995,27.563848,81.363846,8611.654721
44,2594,2202,60.35,23.290773,83.64077,8634.401569
34,1972,1702,60.35,22.91523,83.26523,6834.835568
45,2496,2252,60.35,21.330103,81.6801,9147.122752
44,2528,2202,57.049988,22.41129,79.46127,10455.448846
48,2809,2402,57.049988,23.824078,80.87407,9671.268225
35,2143,1752,57.049988,22.837088,79.88708,7759.255861
57,3163,2852,62.39999,24.419544,86.819534,12657.693008
45,2653,2252,62.39999,24.22591,86.6259,9562.682014
42,2488,2102,62.39999,22.456911,84.8569,9855.00265
52,3006,2602,59.25,21.370949,80.62095,10684.951363
58,3243,2902,59.25,20.219833,79.46983,13960.224093
56,3284,2802,59.25,22.248505,81.498505,12143.695513
60,3476,3002,57.20002,23.302322,80.50234,13101.041109
97,5359,4852,57.20002,26.84263,84.04265,24618.798738
59,3450,2952,57.20002,0,57.20002,12514.857187
53,3047,2652,56.849983,21.90316,78.75314,11777.082116
29,1625,1452,56.849983,20.010777,76.86076,7239.576745
45,2592,2252,56.849983,25.607336,82.45732,10279.342626
40,2299,2002,60.19999,24.049772,84.24976,9135.88268
38,2155,1902,60.19999,25.626099,85.82609,8313.036017
45,2641,2252,60.19999,21.57035,81.77034,9672.059093
37,2113,1852,58.549988,0,58.549988,8557.867998
43,2433,2152,58.549988,0,58.549988,9183.108542
38,2295,1902,58.549988,20.965425,79.51541,8898.737515
32,1947,1602,58.449997,20.54121,78.99121,7476.337744
43,2477,2152,58.449997,19.100967,77.550964,8774.037025
47,2678,2352,58.449997,19.03859,77.48859,10232.082846
59,3427,2952,52.099987,20.306416,72.4064,12093.204007
45,2625,2252,52.099987,20.316166,72.41615,9489.141782
40,2431,2002,52.099987,19.69868,71.79867,8331.386576
38,2422,1902,54.75,19.83084,74.58084,8626.194229
46,2694,2302,54.75,18.875217,73.62521,9529.876614
55,3171,2752,54.75,22.19053,76.94053,10714.141439
46,2854,2302,66.45,21.435867,87.885864,9490.458472
57,3236,2852,66.45,24.645767,91.095764,11631.742251
47,2718,2352,66.45,21.162464,87.61246,9477.13406
53,3009,2652,62.34999,23.199928,85.54992,11192.452948
71,4053,3552,62.34999,25.236443,87.58643,14907.617432
73,4101,3652,62.34999,25.035894,87.38589,14999.002158
55,2998,2752,63.349987,19.928017,83.278,10824.300225
46,2639,2302,63.349987,21.002577,84.35256,8804.529454
56,3107,2802,63.349987,19.368324,82.71831,10743.70399
41,2350,2052,68.59999,22.182444,90.78243,8065.687659
46,2679,2302,68.59999,20.33365,88.93364,9261.840745
40,2316,2002,68.59999,24.20927,92.809265,7797.087325
62,3466,3102,51.54999,19.608885,71.158875,13356.4449
60,3438,3002,51.54999,24.462635,76.01263,13371.21359
74,4215,3702,51.54999,25.24649,76.79648,16248.083541
29,1787,1452,59.250008,24.036602,83.286606,6711.51409
42,2489,2102,59.250008,20.301516,79.55152,8453.578078
37,2140,1852,59.250008,19.485651,78.73566,8171.123704
41,2546,2052,57.40003,0,57.40003,8130.647596
57,3593,2852,57.40003,22.476202,79.87623,12805.488503
50,3000,2502,57.40003,20.054941,77.45497,10259.251929
56,3196,2802,62.249992,22.342617,84.592606,10967.478036
44,2539,2202,62.249992,19.289192,81.539185,9539.66398
52,3093,2602,62.249992,22.35411,84.6041,10713.821567
23,1429,1152,58.999985,22.315586,81.31557,5690.417574
30,1750,1502,58.999985,22.248741,81.248726,6790.692568
35,2067,1752,58.999985,24.060863,83.06085,8000.320594
72,4089,3602,62.19999,26.072353,88.27234,15184.129289
51,2963,2552,62.19999,19.626425,81.826416,10116.242206
44,2572,2202,62.19999,18.848122,81.04811,8417.531345
26,1572,1302,48.89999,23.587036,72.48703,5662.141786
36,2169,1802,48.89999,25.755459,74.65545,7408.598576
39,2322,1952,48.89999,21.205908,70.105896,7891.063509
47,2775,2352,55.55,19.10102,74.65102,9074.829605
58,3312,2902,55.55,20.795902,76.3459,11204.206311
39,2437,1952,55.55,22.70412,78.25412,7744.108376
50,2786,2502,49.649986,0,49.649986,10810.855298
67,3788,3352,49.649986,23.050138,72.70013,14617.710281
57,3344,2852,49.649986,23.093687,72.743675,12698.427376
37,2388,1852,53.999992,20.367481,74.36748,8780.898573
60,3360,3002,53.999992,18.587944,72.58794,12956.650111
44,2548,2202,53.999992,22.1568,76.15679,8948.676085
56,3173,2802,55.700005,21.323683,77.02369,11567.104631
50,2911,2502,55.700005,19.51475,75.21475,11318.804625
33,2020,1652,55.700005,20.32758,76.02759,7421.769656
37,2209,1852,60.949997,21.035303,81.9853,8084.640578
47,2684,2352,60.949997,21.73767,82.68767,9574.844393
35,2123,1752,60.949997,22.403967,83.353966,7617.411519
29,1690,1452,48.699993,24.376146,73.07614,6455.723996
41,2260,2052,48.699993,21.530954,70.23095,8523.410908
45,2803,2252,48.699993,21.453283,70.153275,8772.091331
98,5402,4902,52.149998,22.203072,74.35307,22902.551647
44,2476,2202,52.149998,22.737766,74.887764,8573.193624
32,1891,1602,52.149998,0,52.149998,6603.240111
41,2359,2052,62.800003,18.93652,81.73653,8995.362297
46,2599,2302,62.800003,18.185894,80.9859,8706.4549
52,2992,2602,62.800003,25.222013,88.02202,9849.504645
48,2702,2402,66.40002,18.638039,85.038055,8937.670002
36,2217,1802,66.40002,23.18614,89.58616,7923.282192
43,2398,2152,66.40002,23.69232,90.09234,8783.25509
47,2637,2352,64.45001,25.133379,89.58339,8922.85825
43,2428,2152,64.45001,24.985405,89.43542,8555.805192
38,2231,1902,64.45001,25.849691,90.299706,8829.210579
45,2597,2252,58.200005,23.616598,81.816605,10016.254566
52,3059,2602,58.200005,19.03309,77.23309,9839.079307
51,2871,2552,58.200005,17.468029,75.66803,10209.477644
41,2353,2052,57.09999,20.26161,77.3616,8301.555282
42,2490,2102,57.09999,20.256731,77.35672,8858.95228
43,2484,2152,57.09999,20.577383,77.677376,8882.445937
50,2948,2502,55.399994,21.944315,77.34431,10473.76223
49,2889,2452,55.399994,23.720238,79.12023,10548.592523
44,2580,2202,55.399994,20.736744,76.136734,8821.260585
44,2640,2202,62.150017,20.697573,82.84759,8908.017132
50,2894,2502,62.150017,22.347204,84.49722,9623.771061
59,3313,2952,62.150017,24.539715,86.68973,12382.41402
38,2233,1902,57.6,19.478374,77.07837,7740.454424
50,2826,2502,57.6,24.965216,82.565216,9997.985937
54,3088,2702,57.6,24.733421,82.33342,10680.429498
34,1964,1702,57.749992,19.218166,76.968155,6707.731786
32,1911,1602,57.749992,23.372133,81.12212,6576.282683
33,1891,1652,57.749992,20.945736,78.695724,6698.421167
41,2325,2052,64.700005,22.533148,87.233154,8161.132928
45,2564,2252,64.700005,22.573017,87.273026,8807.957534
60,3427,3002,64.700005,23.170786,87.87079,11834.485845
34,1939,1702,63.75001,20.43624,84.18625,7157.205897
39,2202,1952,63.75001,22.357304,86.107315,8660.855665
42,2402,2102,63.75001,23.031519,86.78153,8642.721238
48,2715,2402,59.100002,24.956413,84.05641,9609.320947
45,2567,2252,59.100002,25.592447,84.69245,9295.735554
52,3014,2602,59.100002,19.17431,78.274315,10260.337416
37,2208,1852,57.449997,0,57.449997,8191.936284
42,2387,2102,57.449997,22.709003,80.159,8642.995669
41,2411,2052,57.449997,25.06267,82.512665,8157.187581
54,3080,2702,58.44999,22.657804,81.107796,10711.729741
56,3141,2802,58.44999,22.18931,80.6393,11125.956767
52,3096,2602,58.44999,23.132936,81.582924,10800.904846
40,2329,2002,65.4,23.915085,89.31509,8855.119292
31,1910,1552,65.4,20.529015,85.929016,6825.1605
43,2524,2152,65.4,24.270239,89.67024,8810.37159
47,2833,2352,58.15,20.2531,78.4031,10192.114606
35,1997,1752,58.15,19.398947,77.54895,7163.505863
45,2649,2252,58.15,22.578672,80.728676,9359.017664
50,2931,2502,58.19999,24.210745,82.410736,9975.726785
39,2381,1952,58.19999,18.304375,76.504364,8469.888845
48,3009,2402,58.19999,22.25555,80.455536,9717.268663
34,2154,1702,59.199993,22.20996,81.40996,7209.454453
49,2849,2452,59.199993,24.018934,83.218925,9594.002215
43,2471,2152,59.199993,21.17413,80.37412,8632.213647
50,2811,2502,56.049995,17.882568,73.93256,9866.855419
48,2708,2402,56.049995,18.791029,74.84103,9667.524874
33,1972,1652,56.049995,18.027687,74.07768,7188.808789
62,3539,3102,56.049995,20.608452,76.65845,12467.277012
74,4153,3702,56.049995,19.791643,75.84164,15191.375707
56,3142,2802,56.049995,20.107353,76.15735,11672.764982
57,3239,2852,58.59999,22.938866,81.53886,11376.185397
41,2523,2052,58.59999,27.121044,85.72104,8036.043224
36,2101,1802,58.59999,24.368029,82.96802,7224.547455
43,2629,2152,60.549995,23.512976,84.06297,8685.190352
40,2296,2002,60.549995,27.872997,88.42299,8296.171629
45,2624,2252,60.549995,22.787762,83.33775,8766.524955
46,2650,2302,53.850002,21.030825,74.88083,9168.293418
41,2332,2052,53.850002,25.891851,79.74185,8004.927317
35,2373,1752,53.850002,21.91913,75.769135,7160.420865
48,2819,2402,58.04999,23.113388,81.163376,9187.494161
34,2082,1702,58.04999,0,58.04999,7687.644601
39,2334,1952,58.04999,20.445742,78.495735,7957.306973
46,2651,2302,55.849995,22.378458,78.228455,9903.104301
51,2860,2552,55.849995,18.711975,74.561966,10326.838793
43,2509,2152,55.849995,24.23591,80.08591,8792.381595
47,2991,2352,47.29999,19.995087,67.295074,9317.241518
45,2712,2252,47.29999,25.538877,72.83887,8737.585656
61,3521,3052,47.29999,22.397984,69.697975,11596.480172
39,2218,1952,61.000004,0,61.000004,7744.875391
47,2656,2352,61.000004,23.83138,84.83138,10193.203467
41,2488,2052,61.000004,23.829351,84.82935,8727.904056
51,2912,2552,53.400005,26.110313,79.510315,10361.77044
55,3073,2752,53.400005,25.641163,79.04117,11048.013666
47,2726,2352,53.400005,22.371334,75.77134,9500.186486
41,2556,2052,65.15,23.378666,88.52867,7936.577758
38,2168,1902,65.15,24.74275,89.89275,7738.997872
38,2297,1902,65.15,21.356554,86.50655,7898.939503
41,2441,2052,56.600006,25.480658,82.080666,9091.272027
32,2032,1602,56.600006,25.139614,81.739624,6702.79155
36,2203,1802,56.600006,25.093903,81.69391,7327.238547
59,3305,2952,54.399982,21.144941,75.54492,11316.472845
73,4060,3652,54.399982,21.95709,76.35707,14876.046891
59,3441,2952,54.399982,19.346773,73.74676,12111.857502
36,2147,1802,57.749996,21.415295,79.16529,7273.119497
50,2924,2502,57.749996,20.900064,78.65006,9596.720464
47,2777,2352,57.749996,23.194717,80.94472,9696.042903
49,2859,2452,50.049995,19.874825,69.92482,9525.446123
45,2557,2252,50.049995,19.283731,69.333725,8916.145561
43,2472,2152,50.049995,19.455914,69.505905,8512.209788
38,2347,1902,65.00001,23.16457,88.16458,7698.467009
42,2456,2102,65.00001,27.064856,92.064865,9077.35197
43,2543,2152,65.00001,27.473158,92.47317,9080.320146
42,2385,2102,48.499992,23.590443,72.09044,8047.80714
61,3589,3052,48.499992,19.523935,68.023926,12208.944491
59,3318,2952,48.499992,23.038866,71.53886,11147.777183
62,3492,3102,50.549995,22.191078,72.74107,12054.253833
37,2088,1852,50.549995,27.065313,77.61531,6961.696197
34,2063,1702,50.549995,25.257837,75.80783,6807.230943
54,3165,2702,48.89999,25.375854,74.27585,10130.866113
53,3179,2652,48.89999,19.103495,68.00349,10263.020413
52,2970,2602,48.89999,22.833282,71.73328,9976.992021
47,2871,2352,53.09999,18.79353,71.893524,9197.583481
47,2717,2352,53.09999,19.260653,72.36064,8987.962184
59,3345,2952,53.09999,20.15417,73.25416,11797.86501
38,2157,1902,58.799988,24.397491,83.19748,7415.43304
44,2458,2202,58.799988,24.134914,82.934906,8419.004368
33,1856,1652,58.799988,20.786314,79.5863,7228.357216
50,2913,2502,64.75001,23.785084,88.535095,9780.097007
48,2810,2402,64.75001,18.659657,83.40967,9636.735288
46,2586,2302,64.75001,21.58062,86.33063,8985.554229
46,2663,2302,59.70001,26.211544,85.91155,9687.10537
44,2438,2202,59.70001,18.139023,77.839035,8908.801385
38,2147,1902,59.70001,19.13194,78.83195,7827.500808
39,2456,1952,56.200005,22.967426,79.167435,7858.444643
49,2849,2452,56.200005,22.930544,79.13055,9807.087863
51,2908,2552,56.200005,24.552416,80.75242,10127.756251
42,2507,2102,61.249996,25.528355,86.77835,8574.933364
35,2127,1752,61.249996,23.033306,84.2833,7126.364215
43,2512,2152,61.249996,24.954905,86.2049,9368.180833
36,2142,1802,61.30001,22.853384,84.1534,7368.380813
53,3158,2652,61.30001,22.395355,83.695366,10981.219206
30,1720,1502,61.30001,22.483135,83.78314,6385.312513
54,3098,2702,62.700012,24.479733,87.17975,10436.773242
64,3675,3202,62.700012,21.774014,84.47403,12743.307441
47,3002,2352,62.700012,21.684223,84.38423,9416.635063
61,3450,3052,56.249992,24.014166,80.26416,12773.896706
37,2300,1852,56.249992,21.960646,78.21064,7899.251805
41,2364,2052,56.249992,25.68829,81.93828,9222.025831
57,3310,2852,58.5,28.58562,87.08562,11403.787543
46,2729,2302,58.5,20.141113,78.64111,8976.600807
40,2298,2002,58.5,27.550074,86.05007,7736.147955
25,1653,1252,61.2,0,61.2,6147.953852
55,3327,2752,61.2,20.672522,81.87252,11289.615149
45,2641,2252,61.2,22.487087,83.68709,8888.470869
126,6937,6302,58.250008,19.606075,77.85608,31690.506749
55,3101,2752,58.250008,20.182182,78.43219,10584.578448
56,3094,2802,58.250008,21.288029,79.53804,10952.499299
48,2936,2402,56.5,21.001116,77.501114,9345.411517
39,2411,1952,56.5,20.72098,77.22098,8211.408845
41,2450,2052,56.5,22.333794,78.83379,8243.61815
40,2496,2002,50.600002,20.7753,71.375305,8210.923133
57,3346,2852,50.600002,25.595448,76.19545,12074.970506
55,3247,2752,50.600002,28.010284,78.61029,11159.754408
38,2275,1902,58.35,21.49188,79.84188,7952.640839
43,2510,2152,58.35,19.593687,77.94369,8858.737825
30,1802,1502,58.35,20.722149,79.07214,6745.595612
30,1880,1502,51,0,51,6131.327045
35,2016,1752,51,19.487167,70.48717,6867.675854
41,2491,2052,51,19.977213,70.97721,8205.090383
39,2239,1952,52.69999,25.536125,78.236115,7655.312662
33,2004,1652,52.69999,24.63882,77.338806,7176.570131
56,3275,2802,52.69999,24.095222,76.79521,10959.151904
48,2682,2402,50.25,22.19447,72.44447,9715.508417
62,3463,3102,50.25,21.464285,71.71429,12628.648401
46,2761,2302,50.25,19.153614,69.40361,9290.657571
48,2732,2402,53.04999,22.767756,75.81775,9577.118427
44,2641,2202,53.04999,20.154926,73.20492,9033.569537
34,2033,1702,53.04999,22.127956,75.17795,6708.396856
60,3424,3002,47.200005,25.442068,72.642075,11864.703928
36,2166,1802,47.200005,24.871311,72.07132,7241.366233
44,2667,2202,47.200005,20.165249,67.36525,8590.784403
47,2731,2352,58.950005,26.563368,85.513374,9648.239216
49,2857,2452,58.950005,26.695953,85.64596,10011.124076
43,2541,2152,58.950005,25.952824,84.90283,8576.481514
48,2923,2402,54.60001,21.696516,76.296524,10136.601787
33,2053,1652,54.60001,19.290052,73.89006,6990.253115
46,2783,2302,54.60001,22.436775,77.03679,8931.553677
