iterations,sampled,rrgsize,movement,remaining,total,time
37,19489,1851,33.197113,6.4932933,39.690407,8161.472941
35,18623,1752,28.315065,1.2037069,29.518772,8547.863853
38,20324,1901,41.748096,0.17348626,41.92158,9716.447169
43,23217,2153,57.976604,0,57.976604,11304.41811
36,20214,1801,33.63792,0.6789948,34.316914,9314.006829
37,20457,1851,26.57966,0.50207007,27.08173,8626.025251
34,18073,1701,23.070862,0.6794895,23.75035,9718.897386
35,19542,1751,25.595577,0,25.595577,8144.53903
39,20601,1951,26.678198,0.8337735,27.51197,9029.724251
32,17148,1601,31.687702,0,31.687702,8179.032984
34,18025,1701,23.451025,4.048173,27.499199,7999.169119
36,19340,1801,26.12297,1.6648711,27.787842,9049.362307
33,17539,1651,26.677628,1.489862,28.16749,8738.988727
37,19902,1851,22.764727,0.12925695,22.893984,9415.545485
34,18686,1702,24.842243,0,24.842243,8102.62748
35,19168,1751,27.951492,0,27.951492,6834.676041
33,18331,1651,26.508566,0.87253165,27.381098,7249.90886
37,20461,1851,24.430819,0.6988723,25.12969,9578.78501
41,22336,2051,40.795097,0,40.795097,10772.962507
42,21969,2101,25.349318,0,25.349318,10254.796535
38,20492,1901,29.959333,0,29.959333,10757.709497
44,23468,2201,46.32283,0,46.32283,11874.017576
39,21415,1951,26.739183,2.0517523,28.790936,10686.394089
37,19989,1851,31.226725,1.54896,32.775684,9189.340863
38,20753,1901,34.59349,0.9378086,35.5313,8339.168258
34,18510,1703,24.508944,3.3294082,27.838352,8995.415813
35,19715,1751,27.58412,4.5831285,32.167248,8686.475151
35,19196,1751,28.36456,0,28.36456,8133.922622
40,22550,2001,25.647507,0,25.647507,10936.385923
36,19092,1801,23.358225,0,23.358225,8250.980938
44,23577,2201,43.05262,0,43.05262,11463.664612
40,21554,2001,39.014595,0,39.014595,10481.591208
33,17753,1651,26.055834,0.50115323,26.556988,7483.906774
42,23372,2101,41.278206,0,41.278206,10341.957741
42,23815,2101,51.22183,0,51.22183,10519.64516
36,19658,1801,27.102394,3.4986918,30.601086,8081.811258
34,17804,1701,25.410051,0,25.410051,8171.993885
31,16968,1551,22.761627,0.76986265,23.53149,6512.657316
37,19980,1852,32.511806,0,32.511806,8707.799824
36,19721,1801,29.41426,0,29.41426,9861.755988
37,20194,1851,34.993904,0.27873775,35.27264,9015.358154
33,17471,1651,23.996925,5.235499,29.232424,7181.157712
40,22501,2002,30.665474,0,30.665474,11815.197956
38,20125,1901,37.497665,0,37.497665,9057.738211
36,19687,1801,35.020744,0.96521866,35.985962,9187.451883
40,22769,2001,31.968395,0,31.968395,10186.05943
48,25123,2402,39.75449,0,39.75449,13052.94333
39,21111,1951,37.043316,0,37.043316,11412.839813
46,25863,2301,48.94264,0,48.94264,12429.935045
68,37229,3401,109.787506,0,109.787506,23285.007984
45,24449,2251,31.595045,0,31.595045,11823.839247
42,23130,2101,32.453865,0,32.453865,11132.344744
29,15773,1451,24.515102,4.096255,28.611357,6856.688311
37,19875,1851,29.280893,0.30460703,29.5855,9646.359188
35,18982,1751,31.989155,0.26527756,32.254433,8574.255547
33,16881,1652,29.03022,0,29.03022,7741.285732
34,18024,1701,23.85089,0,23.85089,9083.840686
32,17031,1601,22.510174,0.6006373,23.110811,8162.046033
34,19693,1701,24.21103,2.5904503,26.80148,8664.728832
36,20557,1801,24.437332,0.6715281,25.10886,8451.670619
31,16681,1551,18.720665,5.0218863,23.742552,7107.128704
32,16629,1601,20.31407,5.244706,25.558777,8173.534101
39,20765,1951,30.369333,1.9088825,32.278217,9672.227578
43,23399,2151,40.68408,0,40.68408,11464.580744
39,20967,1951,32.845875,0,32.845875,9069.10111
36,19803,1801,26.59446,5.3848343,31.979294,7834.969395
35,18638,1751,27.781006,1.2819399,29.062946,8237.503725
40,21255,2002,31.230803,1.469163,32.699966,8921.00093
45,25194,2251,29.994373,0.0961811,30.090555,10160.669501
36,20348,1801,30.900938,0,30.900938,8972.956037
41,22170,2051,26.436817,0.4398103,26.876627,10982.432335
38,20547,1902,30.340576,0,30.340576,8826.959749
41,22186,2052,33.81986,0,33.81986,10619.899592
53,29400,2651,46.03892,0,46.03892,13942.072419
49,26033,2452,48.60573,0,48.60573,14133.439885
43,24170,2151,34.127934,0,34.127934,10098.01361
37,20302,1851,34.98395,0.5680753,35.55203,8249.887478
40,21847,2001,30.746439,0,30.746439,10214.729695
33,17741,1651,22.818169,0.8388316,23.657,7669.77952
35,18586,1751,23.688244,0.7122884,24.400532,8659.648118
34,17815,1701,31.050398,0,31.050398,7393.047883
46,25670,2301,48.81646,0,48.81646,12689.715523
47,25742,2352,32.417065,0,32.417065,12723.41289
55,29770,2751,61.41973,0,61.41973,15467.774103
30,16223,1501,24.762959,0,24.762959,6322.298308
34,18030,1701,27.3173,0,27.3173,8035.711745
33,18888,1652,24.88924,0.33031416,25.219555,7657.398414
33,18239,1652,23.070595,0.84986866,23.920464,7492.58433
44,24832,2201,44.82174,0,44.82174,12087.171109
42,22320,2101,33.242893,1.8273165,35.07021,9512.269566
42,22330,2101,27.373478,0.56710696,27.940584,10226.197152
35,19482,1751,22.473612,5.8864827,28.360094,8937.712766
38,20417,1901,25.658075,0.31827402,25.976349,10069.522623
27,15339,1351,24.088007,3.8511786,27.939186,5482.012278
33,17567,1651,27.846483,0.39524603,28.24173,6406.623881
34,17710,1701,23.087675,4.08469,27.172365,7523.646577
56,30069,2801,62.797718,0.15677975,62.9545,14290.404765
43,22956,2151,52.697754,6.889699,59.587452,9522.762641
37,20968,1851,38.43396,0.21780236,38.651764,8004.462627
28,14233,1401,31.8445,0.77246344,32.616962,5415.988429
35,18683,1753,32.42879,0,32.42879,6941.850456
36,20716,1801,24.60974,3.284634,27.894373,7357.659401
38,20145,1901,32.538647,1.7679024,34.30655,8436.861139
41,22053,2052,24.5721,0.2544853,24.826586,10525.396202
33,17924,1652,25.50871,0.7715316,26.280243,7135.778157
39,20269,1952,28.941975,9.175376,38.11735,10248.918319
50,26632,2502,42.351284,0,42.351284,13856.60492
44,23767,2201,37.93372,5.52395,43.45767,11941.376629
37,21138,1851,25.324947,1.0020801,26.327028,8098.151529
47,25434,2351,45.54002,0,45.54002,12261.55439
35,18908,1751,25.399323,3.8054895,29.204811,8440.076542
41,22468,2051,32.89736,3.6891685,36.58653,11017.215311
45,24054,2253,34.927914,0,34.927914,10669.33148
34,19096,1701,24.527765,3.5692012,28.096966,6958.249263
36,19259,1801,28.55243,0.28973,28.84216,7584.813012
40,22032,2001,28.816557,0.77368397,29.59024,9143.626213
36,19714,1802,27.612265,0.24700339,27.859268,7153.331299
32,17342,1601,26.496569,0.94135684,27.437925,6084.951478
36,19216,1802,31.260113,0.29028073,31.550394,7819.230328
38,19968,1901,37.492424,0,37.492424,8292.279164
70,37966,3501,166.97803,0,166.97803,21935.902129
34,18563,1701,26.703167,1.1535666,27.856733,8066.955346
29,15572,1451,22.115648,3.3484235,25.464071,6150.024174
40,21987,2001,33.22371,0,33.22371,8359.763537
37,20507,1854,31.382784,0.11508453,31.497868,8209.211044
40,22141,2001,35.431625,0.19841772,35.630043,9137.488754
37,19727,1851,29.557316,1.0162897,30.573605,8429.341754
38,20253,1901,27.833166,4.338403,32.17157,7312.360492
