iterations,sampled,rrgsize,movement,remaining,total,time
41,24894,2052,56.6,25.039017,81.639015,8562.963676
29,18077,1452,56.6,26.69475,83.29475,6830.785908
44,24960,2202,56.6,24.146593,80.74659,8639.06821
31,17586,1552,57.050003,20.74697,77.796974,7095.413553
59,34569,2952,57.050003,21.536709,78.586716,13188.890692
45,27223,2252,57.050003,27.754139,84.80414,9233.640227
29,17542,1452,57.65,23.062668,80.71267,6706.013989
36,21337,1802,57.65,25.808058,83.45806,8210.239928
43,24171,2152,57.65,26.608553,84.25855,9496.581855
29,16457,1452,56.65,21.76175,78.41175,6806.388004
29,17795,1452,56.65,24.533415,81.18342,7090.77808
36,20903,1802,56.65,23.768335,80.418335,7975.507644
25,14846,1252,56.449997,23.313637,79.76363,6515.12503
35,20168,1752,56.449997,23.112267,79.56226,8147.49715
34,19649,1702,56.449997,20.288292,76.73829,7743.090342
29,17780,1452,56.450005,25.964336,82.41434,6931.417013
34,22653,1702,56.450005,20.874666,77.32467,7718.235365
35,22290,1752,56.450005,22.110847,78.56085,7715.479281
43,24565,2152,52.15,27.743025,79.89303,9051.956239
45,25897,2252,52.15,24.632154,76.78216,9283.910169
43,25403,2152,52.15,22.292559,74.44256,8969.690872
45,25295,2252,62.450005,25.659737,88.10974,9388.335673
35,21841,1752,62.450005,30.07397,92.52397,7443.083085
33,19496,1652,62.450005,24.490196,86.9402,7759.465356
42,23759,2102,57.049995,23.268738,80.31873,8569.125802
35,21204,1752,57.049995,24.417988,81.46799,7386.836118
31,18371,1552,57.049995,21.122257,78.17226,7179.944761
38,21656,1902,52.450005,24.924759,77.37476,8725.557601
34,18924,1702,52.450005,21.252213,73.70222,7565.007809
36,21001,1802,52.450005,21.734768,74.18477,7379.494104
30,17652,1502,51.59999,20.174845,71.77483,6601.638909
25,16582,1252,51.59999,22.500368,74.10036,5511.863189
59,34901,2952,51.59999,24.972424,76.57242,12751.814013
26,15368,1302,57.75,24.987411,82.73741,6540.646558
31,18153,1552,57.75,23.483475,81.233475,6181.681794
35,21061,1752,57.75,23.885017,81.63502,7432.833805
35,19390,1752,58.050007,22.410332,80.46034,7042.743332
28,16171,1402,58.050007,24.59999,82.649994,6025.675352
34,20133,1702,58.050007,0,58.050007,7288.729821
32,18910,1602,55.849987,23.081308,78.9313,6708.970483
28,16623,1402,55.849987,21.512592,77.36258,6162.369573
31,19193,1552,55.849987,22.299377,78.14937,6939.997136
21,12938,1052,57.050003,23.347868,80.39787,5874.642085
32,17767,1602,57.050003,22.487194,79.5372,8121.04735
23,12915,1152,57.050003,26.628084,83.678085,6480.053459
45,25081,2252,53.649994,18.781507,72.4315,10172.27065
37,22739,1852,53.649994,23.86328,77.513275,8014.45719
35,19881,1752,53.649994,21.659939,75.30994,7644.69394
35,19355,1752,58.20002,26.624119,84.82414,8492.047226
36,20827,1802,58.20002,27.109573,85.30959,7882.508393
35,19508,1752,58.20002,28.21236,86.412384,8691.227837
43,25047,2152,57.049995,25.502388,82.55238,9565.385338
37,21367,1852,57.049995,23.085503,80.1355,8095.958392
45,24823,2252,57.049995,22.31856,79.36855,9171.871745
23,13768,1152,57.249992,22.211435,79.461426,6377.086515
36,20624,1802,57.249992,24.847898,82.09789,7998.551302
37,21524,1852,57.249992,24.205544,81.455536,7929.681183
51,28870,2552,61.950005,22.267529,84.21753,10781.840412
31,18426,1552,61.950005,26.097319,88.047325,7415.406607
33,19610,1652,61.950005,24.698624,86.64863,7987.255998
43,25403,2152,59.95,23.57629,83.52629,8705.474903
33,19820,1652,59.95,27.21063,87.16063,7409.682378
37,21349,1852,59.95,24.123936,84.07394,7777.693832
48,28367,2402,52.949997,26.1603,79.1103,10070.296203
43,24986,2152,52.949997,28.460445,81.410446,8843.721879
37,21184,1852,52.949997,23.250347,76.20035,8377.274957
26,15862,1302,52.09999,26.273773,78.373764,5696.29282
32,18733,1602,52.09999,24.66992,76.76991,6965.074938
41,23092,2052,52.09999,24.613417,76.71341,8205.070905
40,22454,2002,63.450005,19.867249,83.31725,7624.442373
36,19979,1802,63.450005,20.097334,83.54734,7161.948426
41,23624,2052,63.450005,20.437143,83.887146,7798.718721
40,23702,2002,60.700012,25.987242,86.687256,7666.815667
47,27759,2352,60.700012,24.47903,85.17905,9036.319839
55,30483,2752,60.700012,27.317568,88.01758,12186.881052
45,26017,2252,61.749992,21.052004,82.801994,8846.312181
94,51166,4702,61.749992,22.124443,83.874435,22906.946804
41,23650,2052,61.749992,19.282436,81.032425,8485.843943
