iterations,sampled,rrgsize,movement,remaining,total,time
40,2518,2002,56.6,21.289345,77.88934,8756.542464
34,1991,1702,56.6,0,56.6,6954.130358
41,2385,2052,56.6,24.326036,80.92603,8601.20051
33,1967,1652,57.050003,22.642164,79.69217,7072.735195
60,3410,3002,57.050003,27.310434,84.360435,13221.117741
46,2747,2302,57.050003,22.01903,79.06903,9186.746267
28,1736,1402,57.65,21.016739,78.66674,6587.903342
38,2376,1902,57.65,23.053501,80.70351,8081.732749
39,2474,1952,57.65,26.921757,84.57176,9652.45131
26,1564,1302,56.65,21.69281,78.34281,6904.769932
32,1915,1602,56.65,20.850788,77.50079,7101.044856
38,2237,1902,56.65,22.184443,78.83444,7979.391122
25,1536,1252,56.449997,24.523954,80.97395,6610.321375
41,2349,2052,56.449997,23.183617,79.63361,8191.263888
35,2033,1752,56.449997,23.442707,79.8927,7704.532702
34,2045,1702,56.450005,18.547249,74.99725,7047.770384
37,2319,1852,56.450005,19.46159,75.91159,7725.128808
34,2164,1702,56.450005,19.563469,76.01347,7759.890141
39,2427,1952,52.15,24.101294,76.2513,8946.422297
48,2858,2402,52.15,19.997725,72.14773,9306.054286
45,2551,2252,52.15,21.548473,73.69847,9097.185213
45,2686,2252,62.450005,19.884735,82.33474,9307.442222
36,2205,1802,62.450005,26.501823,88.95183,7544.651252
36,2320,1802,62.450005,29.245323,91.69533,7607.227783
38,2172,1902,57.049995,20.568832,77.61883,8811.160485
35,2034,1752,57.049995,26.007702,83.05769,7567.686845
34,2075,1702,57.049995,26.543682,83.59367,7197.15505
40,2449,2002,52.450005,22.205753,74.65576,8903.326125
38,2253,1902,52.450005,19.69072,72.140724,7426.58976
32,1937,1602,52.450005,24.718887,77.16889,7644.072492
33,1956,1652,51.59999,24.92829,76.52828,6704.285172
27,1690,1352,51.59999,21.326828,72.92682,5620.094197
66,3790,3302,51.59999,21.436666,73.03666,12688.91357
31,1787,1552,57.75,20.680695,78.430695,6378.176677
32,1927,1602,57.75,0,57.75,6227.845602
39,2204,1952,57.75,23.531652,81.281654,7314.969997
34,2105,1702,58.050007,21.319195,79.3692,7039.525709
29,1767,1452,58.050007,0,58.050007,6141.84401
34,1953,1702,58.050007,0,58.050007,7276.207842
35,2050,1752,55.849987,21.425856,77.27584,6861.747547
31,1832,1552,55.849987,19.570362,75.42035,6275.669974
35,2374,1752,55.849987,21.907871,77.75786,6937.978616
23,1469,1152,57.050003,22.992546,80.04255,6057.316443
34,2146,1702,57.050003,20.48283,77.53284,8180.112145
31,1767,1552,57.050003,23.62555,80.67555,6770.806515
46,2758,2302,53.649994,24.07508,77.725075,10044.369898
39,2287,1952,53.649994,23.197092,76.847084,8129.519561
35,2019,1752,53.649994,23.74416,77.39415,7749.354802
37,2344,1852,58.20002,0,58.20002,8392.564778
35,2203,1752,58.20002,23.993612,82.193634,7970.296442
38,2283,1902,58.20002,24.900509,83.100525,8519.341104
44,2488,2202,57.049995,21.537056,78.58705,9337.014991
43,2623,2152,57.049995,19.840363,76.89036,8282.829444
43,2420,2152,57.049995,0,57.049995,9202.905493
29,2016,1452,57.249992,0,57.249992,6496.858689
41,2285,2052,57.249992,20.790678,78.04067,8045.853378
35,2070,1752,57.249992,20.199345,77.44934,8061.822602
53,3106,2652,61.950005,22.135405,84.08541,10812.870952
36,2119,1802,61.950005,21.571962,83.521965,7457.146759
35,2159,1752,61.950005,20.887222,82.83723,8176.443731
41,2489,2052,59.95,21.997665,81.94766,8690.401177
34,2033,1702,59.95,20.119152,80.06915,7349.875795
38,2140,1902,59.95,19.5059,79.4559,7637.227762
49,2935,2452,52.949997,25.921778,78.87177,10039.883252
45,2533,2252,52.949997,27.50916,80.45915,8763.821184
42,2459,2102,52.949997,26.04027,78.990265,8438.880431
30,1740,1502,52.09999,19.840189,71.94018,5694.482331
34,1978,1702,52.09999,18.24455,70.34454,6876.040625
42,2447,2102,52.09999,25.759575,77.859566,8080.288717
39,2296,1952,63.450005,20.547379,83.99738,7490.429312
34,1983,1702,63.450005,21.31717,84.76717,7177.489655
38,2349,1902,63.450005,20.796936,84.24694,7709.620265
38,2388,1902,60.700012,23.332716,84.03273,7691.321352
50,2866,2502,60.700012,20.810448,81.51046,9079.894136
63,3610,3152,60.700012,23.063059,83.76307,12081.158401
46,2763,2302,61.749992,21.074957,82.82495,8946.117406
100,5479,5002,61.749992,23.46414,85.214134,22880.492997
45,2520,2252,61.749992,20.31523,82.06522,8470.374867
32,1831,1602,60.549995,21.223646,81.77364,6263.372974
29,1692,1452,60.549995,0,60.549995,6130.97881
34,2027,1702,60.549995,23.683002,84.233,6535.700281
44,2572,2202,56.649994,22.095613,78.745605,8445.221416
39,2373,1952,56.649994,21.472065,78.122055,7351.231971
37,2501,1852,56.649994,21.048681,77.69868,7741.975772
35,2022,1752,52.55,24.24364,76.79364,6822.790868
29,1730,1452,52.55,21.183405,73.733406,6407.304197
35,2101,1752,52.55,21.3175,73.8675,6977.748374
36,2111,1802,58.100018,0,58.100018,7238.544909
51,2852,2552,58.100018,23.581276,81.68129,9567.167508
40,2252,2002,58.100018,17.781893,75.88191,7600.67391
37,2188,1852,59.44999,22.983099,82.43309,7472.324498
34,1993,1702,59.44999,0,59.44999,6726.045611
42,2483,2102,59.44999,24.686165,84.136154,8776.917648
29,1678,1452,57.35,23.439812,80.78981,5858.602311
25,1601,1252,57.35,26.109201,83.4592,5290.357153
32,1967,1602,57.35,26.60442,83.95442,6355.114674
42,2490,2102,57.049995,24.081633,81.13163,7678.169253
30,1759,1502,57.049995,18.879683,75.92968,5951.553175
37,2142,1852,57.049995,20.795874,77.84587,7458.956266
37,2217,1852,58.550003,26.28137,84.831375,7341.199341
41,2451,2052,58.550003,0,58.550003,7402.22847
28,1643,1402,58.550003,25.091778,83.641785,6233.747743
41,2351,2052,52.949997,20.840246,73.790245,8398.211528
39,2275,1952,52.949997,18.23935,71.18935,7647.849006
37,2173,1852,52.949997,19.704136,72.65413,7441.765119
44,2499,2202,60.449997,23.652897,84.10289,8512.068791
46,2618,2302,60.449997,21.11602,81.56602,8537.290133
56,3235,2802,60.449997,21.64849,82.09849,11535.599852
42,2500,2102,52.94999,21.085176,74.035164,8515.411196
40,2395,2002,52.94999,19.793615,72.74361,7432.770475
40,2325,2002,52.94999,19.59622,72.54621,7884.391601
56,3322,2802,53.44998,18.773565,72.22355,10818.934233
42,2458,2102,53.44998,20.159824,73.6098,8430.489393
43,2573,2152,53.44998,19.836878,73.28686,8749.459402
46,2648,2302,56.949997,24.040874,80.990875,9087.214481
38,2193,1902,56.949997,24.278801,81.2288,7888.054857
44,2480,2202,56.949997,21.640133,78.59013,7908.785924
36,2094,1802,50.90001,21.203932,72.10394,6944.050851
32,1866,1602,50.90001,20.707247,71.607254,6179.558715
34,2070,1702,50.90001,0,50.90001,6815.591137
40,2331,2002,54.6,19.534714,74.13471,7941.873699
33,1952,1652,54.6,22.70831,77.308304,6717.623906
33,2046,1652,54.6,20.756186,75.356186,6402.914796
33,2002,1652,57.85,19.693987,77.54398,6678.838452
28,1654,1402,57.85,0,57.85,6078.200569
31,1811,1552,57.85,0,57.85,6423.004189
30,1774,1502,59.950012,22.676722,82.62673,6386.567358
37,2416,1852,59.950012,25.469902,85.419914,7365.492575
43,2502,2152,59.950012,21.393084,81.343094,8206.261034
38,2262,1902,57.950012,21.7558,79.70581,8038.071065
45,2625,2252,57.950012,20.386496,78.33651,8295.588599
35,2133,1752,57.950012,23.033895,80.98391,7019.255452
42,2433,2102,59.35,22.789965,82.13996,8011.463615
44,2591,2202,59.35,22.577402,81.9274,8520.803847
39,2255,1952,59.35,21.641174,80.99117,7847.595509
36,2201,1802,57.25,21.28524,78.53524,7477.715833
35,2071,1752,57.25,0,57.25,7398.181681
