x1,y1,x2,y2
0.0,0.0,6.0,0.0
6.0,0.0,6.0,3.0
6.0,3.0,0.0,3.0
0.0,3.0,0.0,0.0
0.0,0.95,0.8,0.95
0.8,0.95,0.8,1.05
0.8,1.05,0.0,1.05
0.0,1.05,0.0,0.95
1.2,0.95,2.0,0.95
2.0,0.95,2.0,1.05
2.0,1.05,1.2,1.05
1.2,1.05,1.2,0.95
0.0,1.95,0.8,1.95
0.8,1.95,0.8,2.05
0.8,2.05,0.0,2.05
0.0,2.05,0.0,1.95
1.2,1.95,2.0,1.95
2.0,1.95,2.0,2.05
2.0,2.05,1.2,2.05
1.2,2.05,1.2,1.95
2.0,0.95,2.8,0.95
2.8,0.95,2.8,1.05
2.8,1.05,2.0,1.05
2.0,1.05,2.0,0.95
3.2,0.95,4.0,0.95
4.0,0.95,4.0,1.05
4.0,1.05,3.2,1.05
3.2,1.05,3.2,0.95
2.0,1.95,2.8,1.95
2.8,1.95,2.8,2.05
2.8,2.05,2.0,2.05
2.0,2.05,2.0,1.95
3.2,1.95,4.0,1.95
4.0,1.95,4.0,2.05
4.0,2.05,3.2,2.05
3.2,2.05,3.2,1.95
4.0,0.95,4.8,0.95
4.8,0.95,4.8,1.05
4.8,1.05,4.0,1.05
4.0,1.05,4.0,0.95
5.2,0.95,6.0,0.95
6.0,0.95,6.0,1.05
6.0,1.05,5.2,1.05
5.2,1.05,5.2,0.95
4.0,1.95,4.8,1.95
4.8,1.95,4.8,2.05
4.8,2.05,4.0,2.05
4.0,2.05,4.0,1.95
5.2,1.95,6.0,1.95
6.0,1.95,6.0,2.05
6.0,2.05,5.2,2.05
5.2,2.05,5.2,1.95
1.95,0.0,2.05,0.0
2.05,0.0,2.05,0.95
2.05,0.95,1.95,0.95
1.95,0.95,1.95,0.0
1.95,2.05,2.05,2.05
2.05,2.05,2.05,3.0
2.05,3.0,1.95,3.0
1.95,3.0,1.95,2.05
3.95,0.0,4.05,0.0
4.05,0.0,4.05,0.95
4.05,0.95,3.95,0.95
3.95,0.95,3.95,0.0
3.95,2.05,4.05,2.05
4.05,2.05,4.05,3.0
4.05,3.0,3.95,3.0
3.95,3.0,3.95,2.05
0.82747597,0.021428838,1.127476,0.021428838
1.127476,0.021428838,1.127476,0.5214288
1.127476,0.5214288,0.82747597,0.5214288
0.82747597,0.5214288,0.82747597,0.021428838
1.5787294,2.477835,1.8787293,2.477835
1.8787293,2.477835,1.8787293,2.977835
1.8787293,2.977835,1.5787294,2.977835
1.5787294,2.977835,1.5787294,2.477835
2.9856963,0.10235824,3.4856963,0.10235824
3.4856963,0.10235824,3.4856963,0.40235823
3.4856963,0.40235823,2.9856963,0.40235823
2.9856963,0.40235823,2.9856963,0.10235824
2.5916796,2.461754,2.8916795,2.461754
2.8916795,2.461754,2.8916795,2.961754
2.8916795,2.961754,2.5916796,2.961754
2.5916796,2.961754,2.5916796,2.461754
4.9974923,0.033332266,5.2974925,0.033332266
5.2974925,0.033332266,5.2974925,0.5333323
5.2974925,0.5333323,4.9974923,0.5333323
4.9974923,0.5333323,4.9974923,0.033332266
5.611359,2.4870796,5.9113593,2.4870796
5.9113593,2.4870796,5.9113593,2.9870796
5.9113593,2.9870796,5.611359,2.9870796
5.611359,2.9870796,5.611359,2.4870796
